SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
978454,USD,2011,Q2,2011-08-10,2012-08-09,31591412.0,32969824.0,31334000.0,-10917000.0,20417000.0,-17223000.0,-5258000.0,,-1578000.0,3194000.0,916000.0,-184000.0,4110000,-42000.0,4068000,-1621000.0,2447000,,2447000,2447000,ENV,2011-06-30
978454,USD,2011,Q3,2011-11-09,2012-11-08,31760998.0,32871269.0,32040000.0,-11429000.0,20611000.0,-17385000.0,-5675000.0,,-1550000.0,3226000.0,-187000.0,-187000.0,3039000,-8000.0,3031000,-1106000.0,1925000,,1925000,1925000,ENV,2011-09-30
978454,USD,2011,Q4,2012-03-09,2014-03-17,31787186.0,32741643.0,30542000.0,-10357000.0,20185000.0,-17359000.0,-6047000.0,,-1700000.0,2826000.0,-1336000.0,-153000.0,1490000,-381000.0,1109000,720000.0,1829000,,1829000,1829000,ENV,2011-12-31
978454,USD,2012,Q1,2012-05-09,2013-06-14,31857598.0,32901969.0,32642000.0,-11526000.0,21116000.0,-19857000.0,-6773000.0,,-2399000.0,1259000.0,6000.0,6000.0,1265000,-27000.0,1238000,-498000.0,740000,,740000,740000,ENV,2012-03-31
978454,USD,2012,Q2,2012-08-09,2013-08-09,32149957.0,32149957.0,37962000.0,-13549000.0,24413000.0,-25457000.0,-8148000.0,,-3224000.0,-1044000.0,14000.0,14000.0,-1030000,-88000.0,-1118000,450000.0,-668000,,-668000,-668000,ENV,2012-06-30
978454,USD,2012,Q3,2012-11-08,2013-11-07,32296636.0,33358706.0,42283000.0,-15088000.0,27195000.0,-26275000.0,-7621000.0,,-3393000.0,920000.0,3000.0,3000.0,923000,,923000,-372000.0,551000,,551000,551000,ENV,2012-09-30
978454,USD,2012,Q4,2013-10-08,2015-03-02,32346497.0,34955828.0,44379000.0,-15956000.0,28423000.0,-26401000.0,-8075000.0,,-3384000.0,2022000.0,3000.0,3000.0,2025000,0.0,2025000,-2183000.0,-158000,,-158000,-158000,ENV,2012-12-31
978454,USD,2013,Q1,2013-06-14,2014-05-09,32374976.0,34269939.0,46625000.0,-16808000.0,29817000.0,-29229000.0,-8893000.0,,-3118000.0,588000.0,5000.0,,593000,,593000,-52000.0,541000,,541000,541000,ENV,2013-03-31
978454,USD,2013,Q2,2013-08-09,2014-08-11,32661196.0,35164106.0,51632000.0,-19638000.0,31994000.0,-30237000.0,-9962000.0,,-3081000.0,1757000.0,186000.0,,1943000,,1943000,-825000.0,1118000,,1118000,1118000,ENV,2013-06-30
978454,USD,2013,Q3,2013-11-07,2014-11-07,33686112.0,35871975.0,69880000.0,-30154000.0,39726000.0,-37515000.0,-11985000.0,,-4467000.0,2211000.0,4000.0,,2215000,-474000.0,1741000,-435000.0,1306000,,1306000,1306000,ENV,2013-09-30
978454,USD,2013,Q4,2014-11-17,2016-02-29,34042068.0,37360280.0,74398000.0,-32370000.0,42028000.0,-40598000.0,-13968000.0,,-4663000.0,1430000.0,5000.0,,1435000,0.0,1435000,-740000.0,695000,,695000,695000,ENV,2013-12-31
978454,USD,2014,Q1,2014-05-09,2015-05-08,34115444.0,36558983.0,78539000.0,-34437000.0,44102000.0,-40031000.0,-12150000.0,,-4422000.0,4071000.0,81000.0,,4152000,,4152000,-1284000.0,2868000,,2994000,2994000,ENV,2014-03-31
978454,USD,2014,Q2,2014-08-11,2015-08-10,34547277.0,36805758.0,84829000.0,-37955000.0,46874000.0,-42708000.0,-12936000.0,,-4615000.0,4166000.0,1839000.0,,6005000,,6005000,-2355000.0,3650000,,3719000,3719000,ENV,2014-06-30
978454,USD,2014,Q3,2014-11-07,2015-11-09,34674245.0,37006796.0,88577000.0,-39111000.0,49466000.0,-43514000.0,-13428000.0,,-4253000.0,5952000.0,-11000.0,,5941000,,5941000,-2173000.0,3768000,,3768000,3768000,ENV,2014-09-30
978454,USD,2014,Q4,2015-03-02,2017-03-24,34901266.0,37138859.0,96803000.0,-38564000.0,58239000.0,-51176000.0,-15807000.0,,-5361000.0,7063000.0,-654000.0,-487000.0,6409000,,6409000,-2716000.0,3693000,,3693000,3693000,ENV,2014-12-31
978454,USD,2015,Q1,2015-05-08,2016-05-06,35147043.0,37316934.0,96454000.0,-38695000.0,57759000.0,-51077000.0,-14209000.0,,-5333000.0,6682000.0,-2203000.0,,4479000,,4479000,-1968000.0,2511000,,2511000,2511000,ENV,2015-03-31
978454,USD,2015,Q2,2015-08-10,2016-08-09,35776125.0,37654074.0,102663000.0,-42486000.0,60177000.0,-53193000.0,-15512000.0,,-5725000.0,6984000.0,-2251000.0,,4733000,-518000.0,4215000,-1679000.0,2536000,,2536000,2536000,ENV,2015-06-30
978454,USD,2015,Q3,2015-11-09,2016-11-09,36021784.0,37614701.0,103367000.0,-41027000.0,62340000.0,-54012000.0,-15184000.0,,-6157000.0,8328000.0,-2347000.0,,5981000,,5981000,-2679000.0,3302000,,3302000,3302000,ENV,2015-09-30
978454,USD,2015,Q4,2016-02-29,2018-02-28,39058420.0,40961783.0,118435000.0,-39101000.0,79334000.0,-82336000.0,-27995000.0,,-10747000.0,-3002000.0,-3203000.0,-9933000.0,-6205000,518000.0,-5687000,1774000.0,-3913000,,-3913000,-3913000,ENV,2015-12-31
