SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
625336,USD,2013,Q4,2014-03-17,2016-03-07,33000000.0,33000000.0,208770000.0,-86505000.0,122265000.0,-85713000.0,-63285000.0,,-4157000.0,36552000.0,-5203000.0,-5050000.0,31349000,,31349000,-11635000.0,19714000,,19714000,19714000,ENVA,2013-12-31
625336,USD,2014,Q1,2014-05-08,2015-05-08,33000000.0,33000000.0,208465000.0,-66436000.0,142029000.0,-74908000.0,-52905000.0,,-4118000.0,67121000.0,-4855000.0,-4754000.0,62266000,,62266000,-22211000.0,40055000,,40055000,40055000,ENVA,2014-03-31
625336,USD,2014,Q2,2014-08-11,2015-08-11,33000000.0,33000000.0,201482000.0,-66840000.0,134642000.0,-79198000.0,-57759000.0,,-4316000.0,55444000.0,-7610000.0,-7311000.0,47834000,,47834000,-17205000.0,30629000,,30629000,30629000,ENVA,2014-06-30
625336,USD,2014,Q3,2014-11-11,2015-11-12,33000000.0,33000000.0,205168000.0,-72919000.0,132249000.0,-89260000.0,-64560000.0,,-5338000.0,42989000.0,-13291000.0,-13136000.0,29698000,,29698000,-11213000.0,18485000,,18485000,18485000,ENVA,2014-09-30
625336,USD,2014,Q4,2015-02-11,2017-02-24,33000000.0,33032000.0,194722000.0,-60592000.0,134130000.0,-84676000.0,-60513000.0,,-4960000.0,49454000.0,-12753000.0,-13273000.0,36701000,,36701000,-14199000.0,22502000,,22502000,22502000,ENVA,2014-12-31
625336,USD,2015,Q1,2015-05-08,2016-05-06,33000000.0,33008000.0,165676000.0,-38570000.0,127106000.0,-73017000.0,-49722000.0,,-5283000.0,54089000.0,-14249000.0,-13305000.0,39840000,,39840000,-15310000.0,24530000,,24530000,24530000,ENVA,2015-03-31
625336,USD,2015,Q2,2015-08-11,2016-08-04,33000000.0,33015000.0,146280000.0,-41536000.0,104744000.0,-74383000.0,-51796000.0,,-5033000.0,30361000.0,-12935000.0,-12904000.0,17426000,,17426000,-6562000.0,10864000,,10864000,10864000,ENVA,2015-06-30
625336,USD,2015,Q3,2015-11-12,2016-11-02,33000000.0,33022000.0,165227000.0,-65614000.0,99613000.0,-80667000.0,-58195000.0,,-3882000.0,18946000.0,-13504000.0,-13292000.0,5442000,,5442000,-1025000.0,4417000,,4417000,4417000,ENVA,2015-09-30
625336,USD,2015,Q4,2016-03-07,2018-02-26,33024000.0,33059000.0,175417000.0,-71138000.0,104279000.0,-83288000.0,-59242000.0,,-4190000.0,20991000.0,-13180000.0,-13382000.0,7811000,,7811000,-3630000.0,4181000,,4181000,4181000,ENVA,2015-12-31
625336,USD,2016,Q1,2016-06-13,2017-05-03,33142000.0,33187000.0,174653000.0,-69577000.0,105076000.0,-73227000.0,-49106000.0,,-3987000.0,31849000.0,-14347000.0,-15915000.0,17502000,,17502000,-7639000.0,9863000,,9863000,9863000,ENVA,2016-03-31
625336,USD,2016,Q2,2016-08-04,2017-08-02,33175000.0,33335000.0,172535000.0,-65453000.0,107082000.0,-78275000.0,-53112000.0,,-4228000.0,28807000.0,-15555000.0,-16026000.0,13252000,,13252000,-5064000.0,8188000,,8188000,8188000,ENVA,2016-06-30
625336,USD,2016,Q3,2016-11-02,2017-11-01,33211000.0,33558000.0,195943000.0,-95391000.0,100552000.0,-72455000.0,-48029000.0,,-3789000.0,28097000.0,-15972000.0,-16117000.0,12125000,,12125000,-4288000.0,7837000,,7837000,7837000,ENVA,2016-09-30
