SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
989883,USD,2010,Q3,2010-05-06,2011-05-06,25664000.0,27440000.0,39820000.0,-17551000.0,22269000.0,-17403000.0,-12444000.0,-4959000.0,,4866000.0,45000.0,,4911000,-3282000.0,1629000,-679000.0,950000,,950000,950000,EPAY,2010-03-31
989883,USD,2010,Q4,2010-08-08,2012-08-27,27051000.0,28599000.0,41492000.0,-18456000.0,23036000.0,-17762000.0,-12706000.0,-5056000.0,,5274000.0,-266000.0,172000.0,5008000,-3265000.0,1743000,-615000.0,1128000,,1128000,1128000,EPAY,2010-06-30
989883,USD,2011,Q1,2010-11-08,2011-11-08,30754000.0,31984000.0,42038000.0,-18536000.0,23502000.0,-18300000.0,-13288000.0,-5012000.0,,5202000.0,282000.0,,5484000,-2882000.0,2602000,73000.0,2675000,,2675000,2675000,EPAY,2010-09-30
989883,USD,2011,Q2,2011-02-07,2012-02-07,31330000.0,33253000.0,44282000.0,-19001000.0,25281000.0,-19278000.0,-13802000.0,-5476000.0,,6003000.0,32000.0,,6035000,-2905000.0,3130000,-1065000.0,2065000,,2065000,2065000,EPAY,2010-12-31
989883,USD,2011,Q3,2011-05-06,2012-05-10,32017000.0,34142000.0,48811000.0,-23193000.0,25618000.0,-21735000.0,-15568000.0,-6167000.0,,3883000.0,134000.0,,4017000,-2786000.0,1231000,-136000.0,1095000,,1095000,1095000,EPAY,2011-03-31
989883,USD,2011,Q4,2011-08-07,2013-08-29,32539000.0,34433000.0,54250000.0,-24955000.0,29295000.0,-21853000.0,-16646000.0,-5207000.0,,7442000.0,110000.0,358000.0,7552000,-4089000.0,3463000,26595000.0,30058000,,30058000,30058000,EPAY,2011-06-30
989883,USD,2012,Q1,2011-11-08,2012-11-08,33710000.0,34841000.0,52476000.0,-23251000.0,29225000.0,-22107000.0,-16175000.0,-5932000.0,,7118000.0,-113000.0,,7005000,-3884000.0,3121000,-1380000.0,1741000,,1741000,1741000,EPAY,2011-09-30
989883,USD,2012,Q2,2012-02-07,2013-02-08,34160000.0,35090000.0,55094000.0,-24548000.0,30546000.0,-22274000.0,-16342000.0,-5932000.0,,8272000.0,28000.0,,8300000,-3433000.0,4867000,-2403000.0,2464000,,2464000,2464000,EPAY,2011-12-31
989883,USD,2012,Q3,2012-05-10,2013-05-08,34460000.0,34460000.0,55316000.0,-26005000.0,29311000.0,-25692000.0,-18196000.0,-7496000.0,,3619000.0,119000.0,,3738000,-3734000.0,4000,-1336000.0,-1332000,,-1332000,-1332000,EPAY,2012-03-31
989883,USD,2012,Q4,2012-08-27,2014-08-28,34742000.0,36585000.0,61398000.0,-27383000.0,34015000.0,-30011000.0,-20684000.0,-9327000.0,,4004000.0,7000.0,430000.0,4011000,-4702000.0,-691000,-477000.0,-1168000,,-1168000,-1168000,EPAY,2012-06-30
