SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
918449,USD,2010,Q3,2010-11-02,2011-11-01,12726000.0,13241000.0,28565000.0,-19369000.0,9196000.0,-6837000.0,-6469000.0,,-368000.0,2359000.0,52000.0,-223000.0,2411000,,2411000,-1239000.0,1172000,,1172000,1172000,ESCA,2010-09-30
918449,USD,2010,Q4,2011-06-16,2013-02-26,12726000.0,13241000.0,31185000.0,-23662000.0,7523000.0,-6552000.0,-6306000.0,,-246000.0,971000.0,1306000.0,-158000.0,2277000,0.0,2277000,-54000.0,2223000,,2223000,2223000,ESCA,2010-12-31
918449,USD,2011,Q1,2011-04-21,2012-04-24,12809000.0,13256000.0,27998000.0,-17873000.0,10125000.0,-8058000.0,-7741000.0,,-317000.0,2067000.0,-62000.0,-184000.0,2005000,,2005000,-802000.0,1203000,,1203000,1203000,ESCA,2011-03-31
918449,USD,2011,Q2,2011-08-09,2012-08-14,12839000.0,13268000.0,40850000.0,-28043000.0,12807000.0,-10090000.0,-9598000.0,,-492000.0,2717000.0,285000.0,-228000.0,3002000,,3002000,-1517000.0,1485000,,1485000,1485000,ESCA,2011-06-30
918449,USD,2011,Q3,2011-11-01,2012-11-16,12871000.0,13414000.0,28734000.0,-20428000.0,8306000.0,-9161000.0,-8725000.0,,-436000.0,-855000.0,948000.0,-117000.0,93000,0.0,93000,-473000.0,-380000,,-380000,-380000,ESCA,2011-09-30
918449,USD,2011,Q4,2012-03-05,2014-02-25,12882000.0,13435000.0,36668000.0,-26197000.0,10471000.0,-10229000.0,-9878000.0,,-351000.0,242000.0,1533000.0,-164000.0,1775000,0.0,1775000,358000.0,2133000,,2133000,2133000,ESCA,2011-12-31
918449,USD,2012,Q1,2012-04-24,2013-04-26,12894000.0,13430000.0,30565000.0,-20009000.0,10556000.0,-7814000.0,-7297000.0,,-517000.0,2742000.0,18000.0,-154000.0,2760000,,2760000,-1184000.0,1576000,,1576000,1576000,ESCA,2012-03-31
918449,USD,2012,Q2,2012-08-14,2013-08-13,13260000.0,13448000.0,42029000.0,-29685000.0,12344000.0,-9655000.0,-8966000.0,,-689000.0,2689000.0,48000.0,-192000.0,2737000,,2737000,-1650000.0,1087000,,1087000,1087000,ESCA,2012-06-30
918449,USD,2012,Q3,2012-11-16,2013-11-05,13391000.0,13556000.0,34206000.0,-23249000.0,10957000.0,-7982000.0,-7466000.0,,-516000.0,2975000.0,393000.0,-144000.0,3368000,-13362000.0,-9994000,-1509000.0,-11503000,,-11503000,-11503000,ESCA,2012-09-30
918449,USD,2012,Q4,2013-02-26,2015-02-25,13431000.0,13182000.0,5800000.0,-6989000.0,-1189000.0,4827000.0,5279000.0,,-452000.0,3638000.0,2099000.0,402000.0,5737000,13362000.0,19099000,495000.0,19594000,-15684000.0,3910000,3910000,ESCA,2012-12-31
