SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
1059906,USD,2008,Q4,2009-03-13,2011-03-09,15545000.0,15545000.0,41876000.0,-42854000.0,-978000.0,-13576000.0,-2840000.0,,-1025000.0,-14554000.0,-371000.0,,-14925000,-1596000.0,-16521000,3757000.0,-12764000,-294000.0,-5336000,-5336000,EVR,2008-12-31
1059906,USD,2009,Q1,2009-05-06,2010-05-05,15545000.0,15545000.0,58217000.0,-44345000.0,13872000.0,-12127000.0,-1598000.0,,-1057000.0,1745000.0,,,1745000,-290000.0,1455000,-1058000.0,397000,,191000,191000,EVR,2009-03-31
1059906,USD,2009,Q2,2009-07-29,2010-08-06,15545000.0,15545000.0,77252000.0,-58068000.0,19184000.0,-15561000.0,-2457000.0,,-1141000.0,3623000.0,,,3623000,-16560000.0,-12937000,,-12937000,-1373000.0,-6043000,-6043000,EVR,2009-06-30
1059906,USD,2009,Q3,2009-11-05,2010-11-05,15545000.0,15545000.0,87694000.0,-59602000.0,28092000.0,-15806000.0,-2445000.0,,-1155000.0,12286000.0,,,12286000,,12286000,-4602000.0,7684000,,2633000,2633000,EVR,2009-09-30
1059906,USD,2009,Q4,2010-02-22,2012-02-29,15545000.0,15545000.0,113523000.0,-69846000.0,43677000.0,-17042000.0,-3102000.0,,-1047000.0,26635000.0,-1406000.0,,25229000,-3991000.0,21238000,-14019000.0,7219000,949000.0,1649000,1649000,EVR,2009-12-31
1059906,USD,2010,Q1,2010-05-05,2011-04-29,18676000.0,22421000.0,93625000.0,-61325000.0,32300000.0,-20036000.0,-3370000.0,,-1350000.0,12264000.0,-180000.0,,12084000,-1456000.0,10628000,-4659000.0,5969000,,2020000,2020000,EVR,2010-03-31
1059906,USD,2010,Q2,2010-08-06,2011-08-05,19016000.0,22363000.0,70903000.0,-51695000.0,19208000.0,-21049000.0,-3979000.0,,-1948000.0,-1841000.0,-130000.0,,-1971000,-1280000.0,-3251000,,-3251000,1698000.0,117000,117000,EVR,2010-06-30
1059906,USD,2010,Q3,2010-11-05,2011-11-08,18973000.0,21091000.0,129571000.0,-88120000.0,41451000.0,-23370000.0,-4441000.0,,-3379000.0,18081000.0,-131000.0,,17950000,-385000.0,17565000,-8547000.0,9018000,,3530000,3530000,EVR,2010-09-30
1059906,USD,2010,Q4,2011-03-09,2013-02-27,21917000.0,25614000.0,104647000.0,-69438000.0,35209000.0,-23454000.0,-4685000.0,,-3244000.0,11755000.0,-116000.0,,11639000,-278000.0,11361000,-2971000.0,8390000,-4019000.0,3287000,3287000,EVR,2010-12-31
1059906,USD,2011,Q1,2011-04-29,2012-05-09,22677000.0,26398000.0,112192000.0,-74191000.0,38001000.0,-25704000.0,-4513000.0,,-2957000.0,12297000.0,400000.0,,12697000,-533000.0,12164000,-4436000.0,7728000,-30000.0,3588000,3588000,EVR,2011-03-31
1059906,USD,2011,Q2,2011-08-05,2012-08-08,23724000.0,27364000.0,146953000.0,-105818000.0,41135000.0,-28919000.0,-5416000.0,,-3039000.0,12216000.0,69000.0,,12285000,-601000.0,11684000,-6064000.0,5620000,-85000.0,2261000,2261000,EVR,2011-06-30
1059906,USD,2011,Q3,2011-11-08,2012-11-07,28967000.0,31235000.0,167754000.0,-118207000.0,49547000.0,-32301000.0,-5856000.0,,-4886000.0,17246000.0,195000.0,,17441000,-3804000.0,13637000,-11144000.0,2493000,-1200000.0,1759000,1759000,EVR,2011-09-30
1059906,USD,2011,Q4,2012-03-30,2014-02-28,28708000.0,32591000.0,116756000.0,-78855000.0,37901000.0,-36489000.0,-7387000.0,,-6864000.0,1412000.0,255000.0,,1667000,-2421000.0,-754000,-1080000.0,-1834000,-2161000.0,-656000,-656000,EVR,2011-12-31
1059906,USD,2012,Q1,2012-05-09,2013-05-08,29101000.0,29101000.0,106555000.0,-84484000.0,22071000.0,-34141000.0,-6733000.0,,-5362000.0,-12070000.0,2385000.0,,-9685000,-73000.0,-9758000,,-9758000,4638000.0,-3368000,-3368000,EVR,2012-03-31
1059906,USD,2012,Q2,2012-08-08,2013-08-07,29213000.0,31664000.0,176055000.0,-117848000.0,58207000.0,-36275000.0,-7648000.0,,-3680000.0,21932000.0,719000.0,,22651000,-737000.0,21914000,-9773000.0,12141000,,7934000,7934000,EVR,2012-06-30
1059906,USD,2012,Q3,2012-11-07,2013-11-12,28841000.0,31440000.0,157044000.0,-105379000.0,51665000.0,-37420000.0,-6802000.0,,-3828000.0,14245000.0,415000.0,,14660000,,14660000,-7187000.0,7473000,,5301000,5301000,EVR,2012-09-30
1059906,USD,2012,Q4,2013-02-27,2015-02-27,29945000.0,37987000.0,218020000.0,-138005000.0,80015000.0,-37085000.0,-7290000.0,,-3964000.0,42930000.0,1333000.0,,44263000,-692000.0,43571000,-13948000.0,29623000,-4638000.0,19022000,19022000,EVR,2012-12-31
