SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
809598,USD,2016,Q4,2017-02-08,2018-03-09,146909.0,146909.0,11000.0,,11000.0,-7985000.0,-1352000.0,-6633000.0,,-7974000.0,-488000.0,-488000.0,-8462000,32000.0,-8430000,,-8430000,,-8430000,-8430000,FBRX,2016-12-31
809598,USD,2017,Q1,2017-05-23,2018-05-11,147257.0,147257.0,11000.0,,11000.0,-8564000.0,-1940000.0,-6624000.0,,-8553000.0,-579000.0,-579000.0,-9132000,59000.0,-9073000,,-9073000,,-9073000,-9073000,FBRX,2017-03-31
809598,USD,2017,Q2,2017-08-09,2018-08-09,1089277.0,1089277.0,10000.0,,10000.0,-8662000.0,-2030000.0,-6632000.0,,-8652000.0,-392000.0,-392000.0,-9044000,-22000.0,-9066000,,-9066000,,-9066000,-9066000,FBRX,2017-06-30
809598,USD,2017,Q3,2017-11-08,2018-11-08,1321290.0,1321290.0,10000.0,,10000.0,-9747000.0,-2184000.0,-7563000.0,,-9737000.0,-216000.0,-216000.0,-9953000,,-9953000,,-9953000,,-9953000,-9953000,FBRX,2017-09-30
809598,USD,2017,Q4,2018-03-09,2018-03-09,1339486.0,1339486.0,10000.0,,10000.0,-10697000.0,-2403000.0,-8294000.0,,-10687000.0,-150000.0,-150000.0,-10837000,0.0,-10837000,,-10837000,,-10837000,-10837000,FBRX,2017-12-31
809598,USD,2018,Q1,2018-05-11,2018-05-11,1327722.0,1327722.0,9000.0,,9000.0,-12855000.0,-2419000.0,-10436000.0,,-12846000.0,-34000.0,-34000.0,-12880000,,-12880000,,-12880000,,-12880000,-12880000,FBRX,2018-03-31
809598,USD,2018,Q2,2018-08-09,2018-08-09,1328821.0,1328821.0,9000.0,,9000.0,-15336000.0,-2573000.0,-12763000.0,,-15327000.0,-762000.0,-762000.0,-16089000,,-16089000,,-16089000,,-16089000,-16089000,FBRX,2018-06-30
809598,USD,2018,Q3,2018-11-08,2018-11-08,1330749.0,1330749.0,18009000.0,,18009000.0,-16582000.0,-4320000.0,-12262000.0,,1427000.0,-301000.0,-301000.0,1126000,,1126000,-1509000.0,-383000,,-383000,-383000,FBRX,2018-09-30
809598,USD,2018,Q4,2019-02-27,2019-02-27,1364594.0,1364594.0,9000.0,,9000.0,-19116000.0,-3497000.0,-15619000.0,,-19107000.0,-306000.0,-306000.0,-19413000,,-19413000,-190000.0,-19603000,,-19603000,-19603000,FBRX,2018-12-31
809598,USD,2019,Q1,2019-05-07,2019-05-07,1536831.0,1536831.0,9000.0,,9000.0,-16880000.0,-4446000.0,-12434000.0,,-16871000.0,-213000.0,-213000.0,-17084000,,-17084000,,-17084000,,-17084000,-17084000,FBRX,2019-03-31
809598,USD,2019,Q2,2019-08-08,2019-08-08,1578993.0,1578993.0,9000.0,,9000.0,-16824000.0,-4850000.0,-11974000.0,,-16815000.0,-299000.0,-299000.0,-17114000,,-17114000,,-17114000,,-17114000,-17114000,FBRX,2019-06-30
809598,USD,2019,Q3,2019-11-12,2019-11-12,1593946.0,1593946.0,9000.0,,9000.0,-17132000.0,-3837000.0,-13295000.0,,-17123000.0,-1612000.0,-1612000.0,-18735000,,-18735000,,-18735000,,-18735000,-18735000,FBRX,2019-09-30
809598,USD,2019,Q4,2020-02-27,2020-02-27,1594826.0,1594826.0,-27000.0,,-27000.0,46772000.0,11753000.0,35019000.0,,46745000.0,2119000.0,2124000.0,48864000,,48864000,,48864000,,48864000,48864000,FBRX,2019-12-31
809598,USD,2020,Q1,2020-04-23,2021-05-10,1594323.0,1594323.0,,,,-2027000.0,-673000.0,-1354000.0,,-2027000.0,-23000.0,,-2050000,,-2050000,,-2050000,,-2050000,-2050000,FBRX,2020-03-31
