SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
367930,USD,2010,Q2,2010-08-06,2011-08-08,154495000.0,161643000.0,331133000.0,-147810000.0,183323000.0,-93508000.0,-65199000.0,-28309000.0,,89815000.0,1026000.0,-708000.0,90841000,,90841000,-31387000.0,59454000,,59454000,59454000,FLIR,2010-06-30
367930,USD,2010,Q3,2010-11-09,2011-11-08,158215000.0,160925000.0,332497000.0,-150389000.0,182108000.0,-96321000.0,-67801000.0,-28520000.0,,85787000.0,736000.0,105000.0,86523000,,86523000,-23568000.0,62955000,,62955000,62955000,FLIR,2010-09-30
367930,USD,2010,Q4,2011-03-01,2013-03-01,158955000.0,162348000.0,437509000.0,-204653000.0,232856000.0,-132490000.0,-97487000.0,-35003000.0,,100366000.0,1544000.0,-53000.0,101910000,,101910000,-31840000.0,70070000,-248000.0,69822000,69822000,FLIR,2010-12-31
367930,USD,2011,Q1,2011-05-10,2012-05-10,159400000.0,162310000.0,375969000.0,-179457000.0,196512000.0,-120196000.0,-82607000.0,-37589000.0,,76316000.0,-938000.0,-86000.0,75378000,,75378000,-23772000.0,51606000,-291000.0,51315000,51315000,FLIR,2011-03-31
367930,USD,2011,Q2,2011-08-08,2012-08-06,159796000.0,162550000.0,391555000.0,-186144000.0,205411000.0,-163608000.0,-124127000.0,-39481000.0,,41803000.0,1775000.0,-349000.0,43578000,,43578000,-13755000.0,29823000,-514000.0,29309000,29309000,FLIR,2011-06-30
367930,USD,2011,Q3,2011-11-08,2012-11-05,158665000.0,160798000.0,371327000.0,-169430000.0,201897000.0,-116488000.0,-81300000.0,-35188000.0,,85409000.0,-1437000.0,-1371000.0,83972000,,83972000,-19582000.0,64390000,329000.0,64719000,64719000,FLIR,2011-09-30
367930,USD,2011,Q4,2012-02-29,2014-03-03,155431000.0,157746000.0,405211000.0,-179712000.0,225499000.0,-115832000.0,-80913000.0,-34919000.0,,109667000.0,-1516000.0,-2408000.0,108151000,0.0,108151000,-31318000.0,76833000,-702000.0,76131000,76131000,FLIR,2011-12-31
367930,USD,2012,Q1,2012-05-10,2013-05-08,154485000.0,156972000.0,348452000.0,-165725000.0,182727000.0,-114431000.0,-77860000.0,-36571000.0,,68296000.0,-1413000.0,-2638000.0,66883000,,66883000,-18058000.0,48825000,-686000.0,48139000,48139000,FLIR,2012-03-31
367930,USD,2012,Q2,2012-08-06,2013-08-08,153172000.0,155033000.0,338291000.0,-168262000.0,170029000.0,-109308000.0,-71798000.0,-37510000.0,,60721000.0,-2631000.0,-2391000.0,58090000,,58090000,-15685000.0,42405000,-1312000.0,41093000,41093000,FLIR,2012-06-30
367930,USD,2012,Q3,2012-11-05,2013-11-08,150878000.0,152327000.0,332230000.0,-158877000.0,173353000.0,-99116000.0,-69523000.0,-29593000.0,,74237000.0,-5003000.0,-2828000.0,69234000,,69234000,-13285000.0,55949000,-44000.0,55905000,55905000,FLIR,2012-09-30
