SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
63100,USD,2013,Q3,2013-11-13,2014-11-14,11315000.0,11315000.0,62458000.0,-31877000.0,30581000.0,-34827000.0,-30363000.0,-4464000.0,,-4246000.0,-96000.0,-251000.0,-4342000,-2385000.0,-6727000,-133000.0,-6860000,,-6860000,-6860000,FUEL,2013-09-30
63100,USD,2013,Q4,2014-02-14,2016-03-14,32699000.0,32699000.0,85566000.0,-43991000.0,41575000.0,-43216000.0,-36089000.0,-7127000.0,,-1641000.0,-408000.0,-313000.0,-2049000,0.0,-2049000,-112000.0,-2161000,,-2161000,-2161000,FUEL,2013-12-31
63100,USD,2014,Q1,2014-05-15,2015-05-08,34033000.0,34033000.0,74397000.0,-37535000.0,36862000.0,-47340000.0,-40099000.0,-7241000.0,,-10478000.0,-433000.0,-414000.0,-10911000,,-10911000,-314000.0,-11225000,,-11225000,-11225000,FUEL,2014-03-31
63100,USD,2014,Q2,2014-08-14,2015-08-07,35172000.0,35172000.0,92642000.0,-46923000.0,45719000.0,-54358000.0,-45924000.0,-8434000.0,,-8639000.0,-939000.0,-514000.0,-9578000,0.0,-9578000,-181000.0,-9759000,,-9759000,-9759000,FUEL,2014-06-30
63100,USD,2014,Q3,2014-11-14,2015-11-06,37230000.0,37230000.0,102098000.0,-54952000.0,47146000.0,-70941000.0,-59741000.0,-11200000.0,,-23795000.0,-3156000.0,-1157000.0,-26951000,0.0,-26951000,4120000.0,-22831000,,-22831000,-22831000,FUEL,2014-09-30
63100,USD,2014,Q4,2015-03-11,2017-03-16,41569000.0,41569000.0,139504000.0,-82653000.0,56851000.0,-74130000.0,-61211000.0,-12919000.0,,-17279000.0,-3831000.0,-1007000.0,-21110000,0.0,-21110000,614000.0,-20496000,,-20496000,-20496000,FUEL,2014-12-31
63100,USD,2015,Q1,2015-06-09,2016-05-10,41981000.0,41981000.0,104334000.0,-65517000.0,38817000.0,-71775000.0,-60452000.0,-11323000.0,,-32958000.0,-3548000.0,-1340000.0,-36506000,0.0,-36506000,-357000.0,-36863000,,-36863000,-36863000,FUEL,2015-03-31
63100,USD,2015,Q2,2015-09-08,2016-08-08,42296000.0,42296000.0,120065000.0,-68981000.0,51084000.0,-68302000.0,-56511000.0,-11791000.0,,-17218000.0,-349000.0,-1045000.0,-17567000,-6471000.0,-24038000,-372000.0,-24410000,,-24410000,-24410000,FUEL,2015-06-30
63100,USD,2015,Q3,2015-11-06,2016-11-08,42763000.0,42763000.0,111836000.0,-63778000.0,48058000.0,-65031000.0,-54009000.0,-11022000.0,,-16973000.0,-1884000.0,-1087000.0,-18857000,-117521000.0,-136378000,-213000.0,-136591000,,-136591000,-136591000,FUEL,2015-09-30
63100,USD,2015,Q4,2016-06-21,2017-03-16,43164000.0,43164000.0,125402000.0,-70680000.0,54722000.0,-64308000.0,-53522000.0,-10786000.0,,-9586000.0,-1894000.0,-1091000.0,-11480000,-922000.0,-12402000,-279000.0,-12681000,,-12681000,-12681000,FUEL,2015-12-31
63100,USD,2016,Q1,2016-05-10,2017-05-09,43601000.0,43601000.0,104745000.0,-62644000.0,42101000.0,-61800000.0,-51161000.0,-10639000.0,,-19699000.0,-1043000.0,-1237000.0,-20742000,199000.0,-20543000,-230000.0,-20773000,,-20773000,-20773000,FUEL,2016-03-31
63100,USD,2016,Q2,2016-08-08,2017-08-09,44056000.0,44056000.0,116968000.0,-71319000.0,45649000.0,-58393000.0,-48955000.0,-9438000.0,,-12744000.0,-1898000.0,-1032000.0,-14642000,-1766000.0,-16408000,-285000.0,-16693000,,-16693000,-16693000,FUEL,2016-06-30
63100,USD,2016,Q3,2016-11-08,2016-11-08,44353000.0,44353000.0,109720000.0,-69882000.0,39838000.0,-48909000.0,-40996000.0,-7913000.0,,-9071000.0,-1493000.0,-1082000.0,-10564000,0.0,-10564000,-171000.0,-10735000,,-10735000,-10735000,FUEL,2016-09-30
63100,USD,2016,Q4,2017-03-16,2017-03-16,46306000.0,46306000.0,124830000.0,-85443000.0,39387000.0,-47468000.0,-40104000.0,-7364000.0,,-8081000.0,-2419000.0,-1115000.0,-10500000,-6555000.0,-17055000,-439000.0,-17494000,,-17494000,-17494000,FUEL,2016-12-31
63100,USD,2017,Q1,2017-05-09,2017-05-09,46261000.0,46261000.0,95172000.0,-69261000.0,25911000.0,-43869000.0,-36599000.0,-7270000.0,,-17958000.0,-585000.0,-1137000.0,-18543000,-3768000.0,-22311000,-158000.0,-22469000,,-22469000,-22469000,FUEL,2017-03-31
