SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
1039023,USD,2016,Q2,2016-08-14,2017-08-02,9481405.0,9481405.0,1906998.0,-1337093.0,569905.0,-712473.0,-117830.0,,-11121.0,-142568.0,-1113.0,-1113.0,-143681,,-143681,,-143681,,-143681,-143681,GRWG,2016-06-30
1039023,USD,2016,Q3,2016-11-14,2017-11-08,10584262.0,10584262.0,2169129.0,-1560359.0,608770.0,-596542.0,-98731.0,,-17158.0,12228.0,-1384.0,-1384.0,10844,,10844,,10844,,10844,10844,GRWG,2016-09-30
1039023,USD,2016,Q4,2017-02-14,2018-03-27,7573656.0,7573656.0,2362745.0,-1828842.0,533903.0,-751265.0,119158.0,,-24683.0,-217362.0,-2201.0,-2201.0,-219563,,-219563,,-219563,,-219563,-219563,GRWG,2016-12-31
1039023,USD,2017,Q1,2017-05-15,2018-05-15,12115322.0,12115322.0,2583925.0,-1903065.0,680860.0,-963018.0,-187153.0,,-20523.0,-282158.0,-1151.0,-1151.0,-283309,,-283309,,-283309,,-283309,-283309,GRWG,2017-03-31
1039023,USD,2017,Q2,2017-08-02,2018-08-14,14045692.0,14045692.0,4111036.0,-2960275.0,1150761.0,-1488526.0,-225092.0,,-19524.0,-337765.0,-2610.0,-2610.0,-340375,,-340375,,-340375,,-340375,-340375,GRWG,2017-06-30
1039023,USD,2017,Q3,2017-11-08,2018-11-09,14819742.0,14819742.0,4028170.0,-2912328.0,1115842.0,-1573931.0,-237884.0,,-22987.0,-458089.0,-2798.0,-3419.0,-460887,,-460887,,-460887,,-460887,-460887,GRWG,2017-09-30
1039023,USD,2017,Q4,2018-03-27,2019-04-01,17061572.0,17061572.0,3640755.0,-3318663.0,322092.0,-2094593.0,-372272.0,,-88527.0,-1772501.0,-7568.0,-8159.0,-1780069,322058.0,-1458011,,-1458011,,-1458011,-1458011,GRWG,2017-12-31
1039023,USD,2018,Q1,2018-05-15,2019-05-07,18419519.0,18419519.0,4381018.0,-3191402.0,1189616.0,-1849580.0,-363778.0,,-45012.0,-659964.0,23789.0,-8018.0,-636175,-317255.0,-953430,,-953430,,-953430,-953430,GRWG,2018-03-31
1039023,USD,2018,Q2,2018-08-14,2019-08-08,21901093.0,21901093.0,7152299.0,-5423069.0,1729230.0,-2351207.0,-399130.0,,-70899.0,-621977.0,-3140.0,2726.0,-625117,-304842.0,-929959,,-929959,,-929959,-929959,GRWG,2018-06-30
1039023,USD,2018,Q3,2018-11-09,2019-11-12,25646011.0,25646011.0,8406255.0,-6249129.0,2157126.0,-2732337.0,-375002.0,,-114159.0,-575211.0,27165.0,28379.0,-548046,-236527.0,-784573,,-784573,,-784573,-784573,GRWG,2018-09-30
1039023,USD,2018,Q4,2019-04-01,2020-03-27,28003977.0,28003977.0,9061158.0,-7692572.0,1368586.0,-3767082.0,-465511.0,,-121000.0,-2398496.0,123680.0,32532.0,-2274816,-130977.0,-2405793,,-2405793,,-2405793,-2405793,GRWG,2018-12-31
1039023,USD,2019,Q1,2019-05-07,2020-05-14,28844552.0,34263302.0,13087222.0,-9400591.0,3686631.0,-3337120.0,-493096.0,,-146624.0,349511.0,-120090.0,-112804.0,229421,,229421,,229421,,229421,229421,GRWG,2019-03-31
1039023,USD,2019,Q2,2019-08-08,2020-08-13,30326304.0,36311850.0,19483383.0,-13663173.0,5820210.0,-4646499.0,-549129.0,,-150842.0,1173711.0,-111711.0,-104878.0,1062000,,1062000,,1062000,,1062000,1062000,GRWG,2019-06-30
1039023,USD,2019,Q3,2019-11-12,2020-11-12,35707788.0,37606678.0,21778487.0,-15276906.0,6501581.0,-5369740.0,-803707.0,,-247715.0,1131841.0,-82142.0,-80304.0,1049699,,1049699,,1049699,,1049699,1049699,GRWG,2019-09-30
1039023,USD,2019,Q4,2020-03-27,2021-03-29,36455732.0,48732954.0,25384476.0,-19388013.0,5996463.0,-7068367.0,-1326087.0,,-499372.0,-1071904.0,52626.0,41214.0,-1019278,,-1019278,,-1019278,,-1019278,-1019278,GRWG,2019-12-31
1039023,USD,2020,Q1,2020-05-14,2021-05-13,37823304.0,37823304.0,32982000.0,-24036000.0,8946000.0,-11063000.0,-7065000.0,,-359000.0,-2117000.0,23000.0,18000.0,-2094000,,-2094000,,-2094000,,-2094000,-2094000,GRWG,2020-03-31
