SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
358061,USD,2011,Q3,2011-08-04,2012-08-02,12077102.0,12230436.0,143122000.0,-117801000.0,25321000.0,-11443000.0,-10710000.0,-733000.0,,13878000.0,52000.0,52000.0,13930000,,13930000,-5533000.0,8397000,,8397000,8397000,HAYN,2011-06-30
358061,USD,2011,Q4,2011-11-17,2013-11-21,12078295.0,11939836.0,154309000.0,-124312000.0,29997000.0,-12138000.0,-11227000.0,-911000.0,,17859000.0,-2000.0,-2000.0,17857000,,17857000,-6598000.0,11259000,,11259000,11259000,HAYN,2011-09-30
358061,USD,2012,Q1,2012-02-02,2013-01-31,12095599.0,12180001.0,128851000.0,-105360000.0,23491000.0,-10581000.0,-9816000.0,-765000.0,,12910000.0,36000.0,36000.0,12946000,,12946000,-4503000.0,8443000,,8443000,8443000,HAYN,2011-12-31
358061,USD,2012,Q2,2012-05-03,2013-05-02,12140635.0,12215397.0,158882000.0,-124347000.0,34535000.0,-11501000.0,-10687000.0,-814000.0,,23034000.0,9000.0,9000.0,23043000,,23043000,-7892000.0,15151000,,15151000,15151000,HAYN,2012-03-31
358061,USD,2012,Q3,2012-08-02,2013-08-08,12175935.0,12240535.0,141574000.0,-109185000.0,32389000.0,-11217000.0,-10382000.0,-835000.0,,21172000.0,38000.0,38000.0,21210000,,21210000,-7478000.0,13732000,,13732000,13732000,HAYN,2012-06-30
358061,USD,2012,Q4,2012-11-15,2014-11-20,12176547.0,12228191.0,150254000.0,-119829000.0,30425000.0,-10647000.0,-9776000.0,-871000.0,,19778000.0,18000.0,18000.0,19796000,,19796000,-6940000.0,12856000,,12856000,12856000,HAYN,2012-09-30
358061,USD,2013,Q1,2013-01-31,2014-02-06,12190697.0,12237190.0,114300000.0,-95526000.0,18774000.0,-10669000.0,-9811000.0,-858000.0,,8105000.0,12000.0,12000.0,8117000,,8117000,-2282000.0,5835000,,5835000,5835000,HAYN,2012-12-31
358061,USD,2013,Q2,2013-05-02,2014-05-08,12233308.0,12274391.0,129201000.0,-109117000.0,20084000.0,-10266000.0,-9414000.0,-852000.0,,9818000.0,8000.0,8000.0,9826000,,9826000,-3390000.0,6436000,,6436000,6436000,HAYN,2013-03-31
358061,USD,2013,Q3,2013-08-08,2014-08-07,12235842.0,12275963.0,123587000.0,-104982000.0,18605000.0,-10614000.0,-9761000.0,-853000.0,,7991000.0,11000.0,11000.0,8002000,,8002000,-2705000.0,5297000,,5297000,5297000,HAYN,2013-06-30
358061,USD,2013,Q4,2013-11-21,2015-11-19,12235505.0,12274976.0,115658000.0,-99495000.0,16163000.0,-10121000.0,-9179000.0,-942000.0,,6042000.0,11000.0,11000.0,6053000,,6053000,-2044000.0,4009000,,4009000,4009000,HAYN,2013-09-30
