SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
949691,USD,2014,Q4,2015-02-10,2017-02-07,92084000.0,95135000.0,102067000.0,-36787000.0,65280000.0,-59741000.0,-8334000.0,,-31472000.0,5539000.0,-581000.0,543000.0,4958000,-915000.0,4043000,,4984000,18601000.0,26084000,25458000,HIW,2014-12-31
949691,USD,2015,Q1,2015-04-28,2016-04-26,93222000.0,96279000.0,145236000.0,-52514000.0,92722000.0,-78552000.0,-11243000.0,,-46867000.0,14170000.0,582000.0,,14752000,357000.0,15109000,,16920000,3915000.0,19943000,19316000,HIW,2015-03-31
949691,USD,2015,Q2,2015-08-04,2016-08-02,94055000.0,97049000.0,148543000.0,-52370000.0,96173000.0,-77450000.0,-8665000.0,,-47928000.0,18723000.0,358000.0,-162000.0,19081000,1364000.0,20445000,,22221000,4670000.0,25781000,25155000,HIW,2015-06-30
949691,USD,2015,Q3,2015-10-27,2016-10-25,94693000.0,97661000.0,150766000.0,-54430000.0,96336000.0,-80437000.0,-8990000.0,,-50963000.0,15899000.0,379000.0,,16278000,10294000.0,26572000,,27352000,4265000.0,30375000,29749000,HIW,2015-09-30
949691,USD,2015,Q4,2016-02-09,2018-02-06,95646000.0,98635000.0,160126000.0,-56627000.0,103499000.0,-85366000.0,-8744000.0,,-56160000.0,18133000.0,488000.0,0.0,18621000,-304000.0,18317000,,19028000,2889000.0,23897000,23270000,HIW,2015-12-31
949691,USD,2016,Q1,2016-04-26,2017-04-25,96373000.0,99357000.0,164859000.0,-57580000.0,107279000.0,-84346000.0,-11137000.0,,-53494000.0,22933000.0,517000.0,,23450000,3407000.0,26857000,,28142000,418593000.0,433416000,432790000,HIW,2016-03-31
949691,USD,2016,Q2,2016-08-02,2017-07-25,97648000.0,100628000.0,166860000.0,-57515000.0,109345000.0,-82318000.0,-8327000.0,,-55317000.0,27027000.0,534000.0,,27561000,5050000.0,32611000,,33528000,,32275000,31648000,HIW,2016-06-30
949691,USD,2016,Q3,2016-10-25,2017-10-24,98973000.0,101939000.0,166269000.0,-58620000.0,107649000.0,-80508000.0,-9863000.0,,-52923000.0,27141000.0,833000.0,,27974000,3058000.0,31032000,,33840000,,32595000,31971000,HIW,2016-09-30
949691,USD,2016,Q4,2017-02-07,2019-02-05,100762000.0,103668000.0,167646000.0,-57370000.0,110276000.0,-84263000.0,-8826000.0,,-58406000.0,26013000.0,454000.0,,26467000,-214000.0,26253000,,27036000,0.0,41600000,40976000,HIW,2016-12-31
949691,USD,2017,Q1,2017-04-25,2018-04-24,101738000.0,104661000.0,169408000.0,-57396000.0,112012000.0,-84658000.0,-11490000.0,,-56145000.0,27354000.0,684000.0,,28038000,4492000.0,32530000,,33485000,,32297000,31674000,HIW,2017-03-31
949691,USD,2017,Q2,2017-07-25,2018-07-24,102475000.0,105386000.0,177283000.0,-58854000.0,118429000.0,-80211000.0,-9050000.0,,-55816000.0,38218000.0,564000.0,,38782000,17000.0,38799000,,39554000,,38212000,37589000,HIW,2017-06-30
949691,USD,2017,Q3,2017-10-24,2018-10-23,103237000.0,106145000.0,180185000.0,-61234000.0,118951000.0,-82615000.0,-9247000.0,,-56973000.0,36336000.0,558000.0,,36894000,17608000.0,54502000,,59549000,,57663000,57040000,HIW,2017-09-30
949691,USD,2017,Q4,2018-02-06,2020-02-04,103278000.0,106184000.0,175861000.0,-59404000.0,116457000.0,-19996000.0,-9861000.0,,-58898000.0,96461000.0,-68628000.0,-69105000.0,27833000,30595000.0,58428000,,59075000,,62252000,61629000,HIW,2017-12-31
949691,USD,2018,Q1,2018-04-24,2019-04-23,103324000.0,106165000.0,180438000.0,-59432000.0,121006000.0,-69346000.0,-11778000.0,,-57568000.0,51660000.0,-17936000.0,-18391000.0,33724000,,33724000,,34246000,,33072000,32449000,HIW,2018-03-31
949691,USD,2018,Q2,2018-07-24,2019-07-23,103428000.0,106267000.0,178792000.0,-59663000.0,119129000.0,-66234000.0,-9540000.0,,-56694000.0,52895000.0,-17415000.0,-17877000.0,35480000,16972000.0,52452000,,52998000,,51309000,50686000,HIW,2018-06-30
949691,USD,2018,Q3,2018-10-23,2019-10-22,103471000.0,106333000.0,179417000.0,-61153000.0,118264000.0,-67212000.0,-9551000.0,,-57661000.0,51052000.0,-16619000.0,-17437000.0,34433000,3000.0,34436000,,35009000,,33783000,33160000,HIW,2018-09-30
949691,USD,2018,Q4,2019-02-05,2021-02-09,103533000.0,106307000.0,181388000.0,-62167000.0,119221000.0,-67169000.0,-9137000.0,,-58032000.0,52052000.0,-17512000.0,-17717000.0,34540000,20240000.0,54780000,,55377000,,53671000,53048000,HIW,2018-12-31
949691,USD,2019,Q1,2019-04-23,2020-04-28,103600000.0,106357000.0,172363000.0,-60551000.0,111812000.0,-81585000.0,-12381000.0,,-69204000.0,30227000.0,-22505000.0,-18739000.0,7722000,,7722000,,8386000,,7877000,7255000,HIW,2019-03-31
949691,USD,2019,Q2,2019-07-23,2020-07-28,103693000.0,106445000.0,184070000.0,-60558000.0,123512000.0,-69020000.0,-9560000.0,,-59460000.0,54492000.0,-20035000.0,-20356000.0,34457000,6172000.0,40629000,,41394000,,40044000,39422000,HIW,2019-06-30
949691,USD,2019,Q3,2019-10-22,2020-10-27,103727000.0,106471000.0,187475000.0,-64135000.0,123340000.0,-72567000.0,-11717000.0,,-60850000.0,50773000.0,-20353000.0,-20527000.0,30420000,-1803000.0,28617000,,29557000,,28523000,27901000,HIW,2019-09-30
949691,USD,2019,Q4,2020-02-04,2021-02-09,103748000.0,106507000.0,192071000.0,-63267000.0,128804000.0,-75399000.0,-10409000.0,,-64990000.0,53405000.0,-21265000.0,-22026000.0,32140000,29299000.0,61439000,,62346000,,60474000,59852000,HIW,2019-12-31
949691,USD,2020,Q1,2020-04-28,2021-04-27,103813000.0,106633000.0,192800000.0,-62202000.0,130598000.0,-72080000.0,-10930000.0,,-61150000.0,58518000.0,-21208000.0,-21277000.0,37310000,153067000.0,190377000,,191340000,,186095000,185473000,HIW,2020-03-31
