SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
702606,USD,2014,Q4,2015-02-07,2016-03-25,7561.0,7561.0,1297814.0,-1199642.0,98172.0,-3483386.0,-2781154.0,-702232.0,,-3385214.0,-420837.0,-414854.0,-3806051,-288281.0,-4094332,,-4094332,,-4094332,-4932917,HTGM,2014-12-31
702606,USD,2015,Q1,2015-06-08,2016-05-12,22238.0,22238.0,1024315.0,-894627.0,129688.0,-4127483.0,-3439269.0,-688214.0,,-3997795.0,-479299.0,-479299.0,-4477094,277413.0,-4199681,,-4199681,,-4199681,-4998263,HTGM,2015-03-31
702606,USD,2015,Q2,2015-08-07,2016-08-09,265003.0,265003.0,790551.0,-834949.0,-44398.0,-4679712.0,-3726490.0,-953222.0,,-4724110.0,-394372.0,-465006.0,-5118482,-1384975.0,-6503457,,-6503457,,-6503457,-6870807,HTGM,2015-06-30
702606,USD,2015,Q3,2015-11-12,2016-11-14,455540.0,455540.0,1010956.0,-809015.0,201941.0,-5026975.0,-3717402.0,-1309573.0,,-4825034.0,-332629.0,-340868.0,-5157663,0.0,-5157663,,-5157663,,-5157663,-5157663,HTGM,2015-09-30
702606,USD,2015,Q4,2016-03-25,2017-03-23,462754.0,462754.0,1215753.0,-796920.0,418833.0,-5761958.0,-4111249.0,-1650709.0,,-5343125.0,-346338.0,-348443.0,-5689463,0.0,-5689463,-10189.0,-5699652,,-5699652,-5699652,HTGM,2015-12-31
702606,USD,2016,Q1,2016-05-12,2017-05-15,459264.0,459264.0,865232.0,-843470.0,21762.0,-6687809.0,-4693708.0,-1994101.0,,-6666047.0,-356978.0,-356978.0,-7023025,,-7023025,-3399.0,-7026424,,-7026424,-7026424,HTGM,2016-03-31
702606,USD,2016,Q2,2016-08-09,2017-08-08,468134.0,468134.0,1895816.0,-932976.0,962840.0,-7324228.0,-4712637.0,-2611591.0,,-6361388.0,-489355.0,-507797.0,-6850743,,-6850743,-860.0,-6851603,,-6851603,-6851603,HTGM,2016-06-30
702606,USD,2016,Q3,2016-11-14,2017-11-07,470436.0,470436.0,913901.0,-1125009.0,-211108.0,-5847716.0,-3937600.0,-1910116.0,,-6058824.0,-429618.0,-464629.0,-6488442,,-6488442,,-6488442,,-6488442,-6488442,HTGM,2016-09-30
702606,USD,2016,Q4,2017-03-23,2018-03-23,499934.0,499934.0,1457781.0,-1234429.0,223352.0,-5468335.0,-4083832.0,-1384503.0,,-5244983.0,-422239.0,-425649.0,-5667222,,-5667222,-5859.0,-5673081,,-5673081,-5673081,HTGM,2016-12-31
702606,USD,2017,Q1,2017-05-15,2018-05-10,531672.0,531672.0,1371169.0,-1295302.0,75867.0,-5505530.0,-4238467.0,-1267063.0,,-5429663.0,-386331.0,-386331.0,-5815994,,-5815994,-280.0,-5816274,,-5816274,-5816274,HTGM,2017-03-31
702606,USD,2017,Q2,2017-08-08,2018-08-09,651614.0,651614.0,1760756.0,-1236904.0,523852.0,-6032326.0,-4413437.0,-1618889.0,,-5508474.0,-332428.0,-332428.0,-5840902,,-5840902,,-5840902,,-5840902,-5840902,HTGM,2017-06-30
702606,USD,2017,Q3,2017-11-07,2017-11-07,773961.0,773961.0,3723484.0,-1088987.0,2634497.0,-7736766.0,-4258347.0,-3478419.0,,-5102269.0,-277834.0,-277834.0,-5380103,,-5380103,-743.0,-5380846,,-5380846,-5380846,HTGM,2017-09-30
702606,USD,2017,Q4,2018-03-23,2018-03-23,870117.0,870117.0,7904158.0,-1350613.0,6553545.0,-8235747.0,-4603491.0,-3632256.0,,-1682202.0,-237895.0,-237903.0,-1920097,,-1920097,-1898.0,-1921995,,-1921995,-1921995,HTGM,2017-12-31
702606,USD,2018,Q1,2018-05-10,2018-05-10,1647765.0,1647765.0,4158652.0,-1137063.0,3021589.0,-8247118.0,-5657832.0,-2589286.0,,-5225529.0,-49354.0,-49354.0,-5274883,-105064.0,-5379947,,-5379947,,-5379947,-5379947,HTGM,2018-03-31
702606,USD,2018,Q2,2018-08-09,2018-08-09,1892638.0,1892638.0,4910766.0,-1450682.0,3460084.0,-7523735.0,-4764751.0,-2758984.0,,-4063651.0,-35533.0,-35533.0,-4099184,,-4099184,-3545.0,-4102729,,-4102729,-4102729,HTGM,2018-06-30
