SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
926863,USD,2016,Q4,2017-02-11,2019-03-08,5755840.0,6985528.0,131408000.0,-110003000.0,21405000.0,-11756000.0,-7797000.0,-2154000.0,-1805000.0,9649000.0,-880000.0,-1125000.0,8769000,,8769000,-778000.0,7991000,-78000.0,7913000,1327000,ICHR,2016-12-31
926863,USD,2017,Q1,2017-05-12,2018-05-09,24654415.0,25640089.0,148704000.0,-124689000.0,24015000.0,-10397000.0,-6858000.0,-1744000.0,-1795000.0,13618000.0,-141000.0,-690000.0,13477000,,13477000,-525000.0,12952000,-112000.0,12840000,12840000,ICHR,2017-03-31
926863,USD,2017,Q2,2017-08-11,2018-08-08,24848365.0,26063527.0,159733000.0,-136227000.0,23506000.0,-11737000.0,-7984000.0,-1950000.0,-1803000.0,11769000.0,-826000.0,-675000.0,10943000,,10943000,-473000.0,10470000,-610000.0,9860000,9860000,ICHR,2017-06-30
926863,USD,2017,Q3,2017-11-13,2018-11-07,25267113.0,26278147.0,164519000.0,-140323000.0,24196000.0,-15642000.0,-11430000.0,-1992000.0,-2220000.0,8554000.0,-812000.0,-739000.0,7742000,,7742000,6556000.0,14298000,-8000.0,14290000,14290000,ICHR,2017-09-30
926863,USD,2017,Q4,2018-03-13,2019-03-08,25702231.0,26891933.0,182936000.0,-153892000.0,29044000.0,-16805000.0,-11530000.0,-2213000.0,-3062000.0,12239000.0,-1372000.0,-1173000.0,10867000,,10867000,8328000.0,19195000,269000.0,19464000,19464000,ICHR,2017-12-31
926863,USD,2018,Q1,2018-05-09,2019-05-08,26030298.0,26734710.0,258029000.0,-215430000.0,42599000.0,-22042000.0,-15711000.0,-2452000.0,-3879000.0,20557000.0,-2745000.0,-2504000.0,17812000,,17812000,-1091000.0,16721000,,16721000,16721000,ICHR,2018-03-31
926863,USD,2018,Q2,2018-08-08,2018-08-08,25674173.0,26120717.0,248973000.0,-205098000.0,43875000.0,-17996000.0,-11647000.0,-2577000.0,-3772000.0,25879000.0,-2086000.0,-2303000.0,23793000,,23793000,4247000.0,28040000,,28040000,28040000,ICHR,2018-06-30
926863,USD,2018,Q3,2018-11-07,2018-11-07,24352995.0,24674912.0,175207000.0,-146993000.0,28214000.0,-16666000.0,-10658000.0,-2123000.0,-3885000.0,11548000.0,-2469000.0,-2553000.0,9079000,,9079000,558000.0,9637000,,9637000,9637000,ICHR,2018-09-30
926863,USD,2018,Q4,2019-03-08,2021-03-05,22768702.0,22981881.0,141402000.0,-119953000.0,21449000.0,-15468000.0,-9432000.0,-2203000.0,-3833000.0,5981000.0,-2446000.0,-2627000.0,3535000,,3535000,-50000.0,3485000,,3485000,3485000,ICHR,2018-12-31
926863,USD,2019,Q1,2019-05-08,2019-05-08,22269827.0,22536209.0,137831000.0,-117608000.0,20223000.0,-17286000.0,-11758000.0,-2391000.0,-3137000.0,2937000.0,-2792000.0,-2768000.0,145000,,145000,1373000.0,1518000,,1518000,1518000,ICHR,2019-03-31
926863,USD,2019,Q2,2019-08-07,2019-08-07,22395308.0,22663053.0,139195000.0,-119662000.0,19533000.0,-16521000.0,-10685000.0,-2634000.0,-3202000.0,3012000.0,-2769000.0,-2762000.0,243000,,243000,93000.0,336000,,336000,336000,ICHR,2019-06-30
926863,USD,2019,Q3,2019-11-06,2019-11-06,22454408.0,22718882.0,154456000.0,-133763000.0,20693000.0,-17371000.0,-11048000.0,-2987000.0,-3336000.0,3322000.0,-2620000.0,-2663000.0,702000,,702000,221000.0,923000,,923000,923000,ICHR,2019-09-30
926863,USD,2019,Q4,2020-03-06,2020-03-06,22555665.0,23149468.0,189355000.0,-163440000.0,25915000.0,-20209000.0,-13779000.0,-3090000.0,-3340000.0,5706000.0,-2521000.0,-2454000.0,3185000,,3185000,4767000.0,7952000,,7952000,7952000,ICHR,2019-12-31
926863,USD,2020,Q1,2020-05-05,2021-05-05,22737163.0,23181127.0,220028000.0,-191254000.0,28774000.0,-23274000.0,-16618000.0,-3322000.0,-3334000.0,5500000.0,-2343000.0,-2374000.0,3157000,,3157000,242000.0,3399000,,3399000,3399000,ICHR,2020-03-31
