SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
248180,USD,2010,Q4,2011-07-08,2012-07-09,2303000.0,2303000.0,3586258.0,-2177634.0,1408624.0,-537419.0,-488737.0,,-48682.0,871205.0,-10061.0,-12939.0,861144,,861144,-194658.0,666486,,666486,666486,IEHC,2011-03-31
248180,USD,2011,Q1,2011-09-09,2012-08-13,2303000.0,2303000.0,3487455.0,-2298628.0,1188827.0,-561396.0,-523896.0,,-37500.0,627431.0,-7776.0,-7859.0,619655,,619655,-272000.0,347655,,347655,347655,IEHC,2011-06-30
248180,USD,2011,Q2,2011-11-14,2012-11-26,2303000.0,2303000.0,3336795.0,-2206888.0,1129907.0,-590067.0,-552567.0,,-37500.0,539840.0,-14565.0,-14565.0,525275,,525275,-268000.0,257275,,257275,257275,IEHC,2011-09-30
248180,USD,2011,Q3,2012-02-01,2013-02-11,2303000.0,2303000.0,3048415.0,-1958770.0,1089645.0,-586847.0,-549347.0,,-37500.0,502798.0,-8370.0,-8370.0,494428,,494428,-213100.0,281328,,281328,281328,IEHC,2011-12-31
248180,USD,2011,Q4,2012-07-09,2013-07-10,2303000.0,2303000.0,3420067.0,-2318027.0,1102040.0,-565564.0,-492821.0,,-72743.0,536476.0,-8310.0,-8227.0,528166,,528166,-312000.0,216166,,216166,216166,IEHC,2012-03-31
248180,USD,2012,Q1,2012-08-13,2013-08-12,2303000.0,2303000.0,3469269.0,-2268115.0,1201154.0,-634759.0,-568459.0,,-66300.0,566395.0,-7155.0,-7251.0,559240,,559240,-244126.0,315114,,315114,315114,IEHC,2012-06-30
248180,USD,2012,Q2,2012-11-26,2013-11-18,2303000.0,2303000.0,3238287.0,-2236429.0,1001858.0,-612299.0,-553199.0,,-59100.0,389559.0,-6163.0,-6306.0,383396,,383396,-180996.0,202400,,202400,202400,IEHC,2012-09-30
248180,USD,2012,Q3,2013-02-11,2014-02-14,2303000.0,2303000.0,3259646.0,-2179415.0,1080231.0,-634389.0,-575289.0,,-59100.0,445842.0,-5750.0,-5904.0,440092,,440092,-185000.0,255092,,255092,255092,IEHC,2012-12-31
248180,USD,2012,Q4,2013-12-11,2014-07-11,2303000.0,2303000.0,3362895.0,-2381613.0,981282.0,-574333.0,-523497.0,,-50836.0,406949.0,-8783.0,-8951.0,398166,,398166,-240842.0,157324,,157324,157324,IEHC,2013-03-31
248180,USD,2013,Q1,2013-08-12,2014-08-15,2303000.0,2303000.0,4090639.0,-2488825.0,1601814.0,-699040.0,-636240.0,,-62800.0,902774.0,46545.0,-7673.0,949319,,949319,-425000.0,524319,,524319,524319,IEHC,2013-06-30
