SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
260195,USD,2010,Q2,2010-08-05,2011-08-04,7508587.0,7512562.0,64318000.0,-49577000.0,14741000.0,-8274000.0,-7969000.0,,,6467000.0,-199000.0,-301000.0,6268000,-176000.0,6092000,-2490000.0,3602000,,3602000,3602000,IPI,2010-06-30
260195,USD,2010,Q3,2010-11-04,2011-11-03,7510145.0,7514354.0,91471000.0,-64663000.0,26808000.0,-6710000.0,-6439000.0,,,20098000.0,-76000.0,-223000.0,20022000,-176000.0,19846000,-8187000.0,11659000,,11659000,11659000,IPI,2010-09-30
260195,USD,2010,Q4,2011-02-24,2013-02-14,7510658.0,7521631.0,96156000.0,-58510000.0,37646000.0,-8268000.0,-8101000.0,,,29378000.0,396000.0,289000.0,29774000,-176000.0,29598000,-11420000.0,18178000,,18178000,18178000,IPI,2010-12-31
260195,USD,2011,Q1,2011-05-05,2012-05-03,7513114.0,7526345.0,104476000.0,-63259000.0,41217000.0,-6912000.0,-6871000.0,,,34305000.0,516000.0,257000.0,34821000,12309000.0,47130000,-18851000.0,28279000,,28279000,28279000,IPI,2011-03-31
260195,USD,2011,Q2,2011-08-04,2012-08-02,7518431.0,7526828.0,119368000.0,-64230000.0,55138000.0,-4256000.0,-8986000.0,,,50882000.0,85000.0,26000.0,50967000,-191000.0,50776000,-20068000.0,30708000,,30708000,30708000,IPI,2011-06-30
260195,USD,2011,Q3,2011-11-03,2012-11-01,7520250.0,7530027.0,113812000.0,-66705000.0,47107000.0,-5162000.0,-8277000.0,,,41945000.0,293000.0,271000.0,42238000,-184000.0,42054000,-16547000.0,25507000,,25507000,25507000,IPI,2011-09-30
260195,USD,2011,Q4,2012-02-16,2014-02-13,7520490.0,7529220.0,105298000.0,-62540000.0,42758000.0,-7763000.0,-7673000.0,,,34995000.0,490000.0,307000.0,35485000,-184000.0,35301000,-10384000.0,24917000,,24917000,24917000,IPI,2011-12-31
260195,USD,2012,Q1,2012-05-03,2013-05-02,7522739.0,7531707.0,111913000.0,-70707000.0,41206000.0,-8229000.0,-8257000.0,,,32977000.0,443000.0,260000.0,33420000,-181000.0,33239000,-12613000.0,20626000,,20626000,20626000,IPI,2012-03-31
260195,USD,2012,Q2,2012-08-02,2013-08-01,7527907.0,7530847.0,98787000.0,-58892000.0,39895000.0,-8795000.0,-8710000.0,,,31100000.0,406000.0,311000.0,31506000,-181000.0,31325000,-12312000.0,19013000,,19013000,19013000,IPI,2012-06-30
260195,USD,2012,Q3,2012-11-01,2013-10-31,7529884.0,7535022.0,129350000.0,-77496000.0,51854000.0,-8122000.0,-8039000.0,,,43732000.0,401000.0,266000.0,44133000,-181000.0,43952000,-10685000.0,33267000,,33267000,33267000,IPI,2012-09-30
260195,USD,2012,Q4,2013-02-14,2015-02-19,7530114.0,7537217.0,111266000.0,-74083000.0,37183000.0,-8867000.0,-8744000.0,,,28316000.0,276000.0,101000.0,28592000,-181000.0,28411000,-13874000.0,14537000,,14537000,14537000,IPI,2012-12-31
260195,USD,2013,Q1,2013-05-02,2014-05-01,7534056.0,7539253.0,99257000.0,-65457000.0,33800000.0,-9663000.0,-9492000.0,,,24137000.0,-145000.0,-161000.0,23992000,-375000.0,23617000,-8698000.0,14919000,,14919000,14919000,IPI,2013-03-31
260195,USD,2013,Q2,2013-08-01,2014-07-31,7538311.0,7539957.0,92680000.0,-64627000.0,28053000.0,-7299000.0,-8639000.0,,,20754000.0,-1892000.0,-56000.0,18862000,-374000.0,18488000,-7171000.0,11317000,,11317000,11317000,IPI,2013-06-30
260195,USD,2013,Q3,2013-10-31,2014-10-30,7539438.0,7540414.0,70569000.0,-57666000.0,12903000.0,-10842000.0,-7921000.0,,,2061000.0,-10000.0,-83000.0,2051000,-375000.0,1676000,350000.0,2026000,,2026000,2026000,IPI,2013-09-30
260195,USD,2013,Q4,2014-02-13,2016-02-29,7539658.0,7543068.0,73806000.0,-70647000.0,3159000.0,-7770000.0,-7716000.0,,,-4611000.0,-702000.0,-707000.0,-5313000,-375000.0,-5688000,-299000.0,-5987000,,-5987000,-5987000,IPI,2013-12-31
260195,USD,2014,Q1,2014-05-01,2015-04-28,7544495.0,7544495.0,98875000.0,-94883000.0,3992000.0,-3799000.0,-6746000.0,,,193000.0,-1093000.0,-1327000.0,-900000,-2233000.0,-3133000,2778000.0,-355000,,-355000,-355000,IPI,2014-03-31
260195,USD,2014,Q2,2014-07-31,2015-07-28,7551499.0,7557392.0,110949000.0,-95271000.0,15678000.0,-6759000.0,-7064000.0,,,8919000.0,-1309000.0,-1534000.0,7610000,-406000.0,7204000,-1642000.0,5562000,,5562000,5562000,IPI,2014-06-30
260195,USD,2014,Q3,2014-10-30,2015-10-27,7552824.0,7552824.0,102280000.0,-95392000.0,6888000.0,-6468000.0,-6466000.0,,,420000.0,-1254000.0,-1597000.0,-834000,-405000.0,-1239000,3000.0,-1236000,,-1236000,-1236000,IPI,2014-09-30
260195,USD,2014,Q4,2015-02-19,2017-02-28,7553053.0,7597419.0,98285000.0,-82839000.0,15446000.0,-5748000.0,-6947000.0,,,9698000.0,-1313000.0,-1588000.0,8385000,-406000.0,7979000,-2189000.0,5790000,,5790000,5790000,IPI,2014-12-31
260195,USD,2015,Q1,2015-04-28,2016-11-02,7558909.0,7568308.0,53692000.0,-62035000.0,-8343000.0,-5920000.0,-5943000.0,,,-14263000.0,-1275000.0,-1342000.0,-15538000,-424000.0,-15962000,7852000.0,-8110000,,-8110000,-8110000,IPI,2015-03-31
