SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
378166,USD,2009,Q2,2009-08-06,2010-08-05,320800000.0,325000000.0,3451700000.0,-2515500000.0,936200000.0,-677100000.0,-677100000.0,,,259100000.0,-79000000.0,-81800000.0,180100000,,180100000,-34400000.0,145700000,-18100000.0,122100000,122100000,IR,2009-06-30
378166,USD,2009,Q3,2009-11-06,2010-11-01,321000000.0,331800000.0,3458900000.0,-2462600000.0,996300000.0,-671700000.0,-671700000.0,,,324600000.0,-76300000.0,-76300000.0,248300000,,248300000,-14800000.0,233500000,-10900000.0,216600000,216600000,IR,2009-09-30
378166,USD,2009,Q4,2010-02-26,2012-02-21,322100000.0,339100000.0,3165600000.0,-2252600000.0,913000000.0,-661400000.0,-661400000.0,,,251600000.0,-80700000.0,-76100000.0,170900000,0.0,170900000,-21800000.0,149100000,-1300000.0,139300000,139300000,IR,2009-12-31
378166,USD,2010,Q1,2010-05-07,2011-04-28,322700000.0,336600000.0,2765900000.0,-2009200000.0,756700000.0,-617200000.0,-617200000.0,,,139500000.0,-65200000.0,-71000000.0,74300000,,74300000,-54100000.0,20200000,-14200000.0,1400000,1400000,IR,2010-03-31
378166,USD,2010,Q2,2010-08-05,2011-07-28,323800000.0,339100000.0,3481800000.0,-2472800000.0,1009000000.0,-645600000.0,-645600000.0,,,363400000.0,-62700000.0,-71100000.0,300700000,,300700000,-54900000.0,245800000,-43900000.0,196400000,196400000,IR,2010-06-30
378166,USD,2010,Q3,2010-11-01,2011-10-28,324700000.0,339000000.0,3730300000.0,-2643800000.0,1086500000.0,-675800000.0,-675800000.0,,,410700000.0,-61500000.0,-70200000.0,349200000,0.0,349200000,-72100000.0,277100000,-39500000.0,232200000,232200000,IR,2010-09-30
378166,USD,2010,Q4,2011-02-22,2013-02-14,327600000.0,344500000.0,4023100000.0,-2934100000.0,1089000000.0,-741200000.0,-741200000.0,,,347800000.0,-61300000.0,-70900000.0,286500000,0.0,286500000,-47000000.0,239500000,-19900000.0,212200000,212200000,IR,2010-12-31
378166,USD,2011,Q1,2011-04-28,2012-04-26,331100000.0,331100000.0,3273800000.0,-2368600000.0,905200000.0,-677100000.0,-677100000.0,,,228100000.0,-63400000.0,-68300000.0,164700000,-186300000.0,-21600000,-40800000.0,-62400000,-9100000.0,-77600000,-77600000,IR,2011-03-31
378166,USD,2011,Q2,2011-07-28,2012-07-26,333800000.0,350900000.0,4091400000.0,-2863000000.0,1228400000.0,-729200000.0,-729200000.0,,,499200000.0,-69300000.0,-71700000.0,429900000,-200500000.0,229400000,-99800000.0,129600000,-30300000.0,92300000,92300000,IR,2011-06-30
378166,USD,2011,Q3,2011-10-28,2012-10-25,327700000.0,340200000.0,3910100000.0,-2756200000.0,1153900000.0,-708600000.0,-708600000.0,,,445300000.0,-48400000.0,-69700000.0,396900000,-264800000.0,132100000,-28400000.0,103700000,-10200000.0,86200000,86200000,IR,2011-09-30
378166,USD,2011,Q4,2012-02-21,2014-02-14,306600000.0,335000000.0,1485500000.0,-1292200000.0,193300000.0,-280300000.0,-280300000.0,,,-87000000.0,-69000000.0,-68800000.0,-156000000,4700000.0,-151300000,123600000.0,-27700000,275700000.0,242300000,242300000,IR,2011-12-31
378166,USD,2012,Q1,2012-04-26,2013-04-25,299200000.0,312400000.0,3150700000.0,-2249400000.0,901300000.0,-689600000.0,-689600000.0,,,211700000.0,-69600000.0,-69400000.0,142100000,300000.0,142400000,-38000000.0,104400000,-2200000.0,95600000,95600000,IR,2012-03-31
378166,USD,2012,Q2,2012-07-26,2013-07-24,309200000.0,314400000.0,3821300000.0,-2644000000.0,1177300000.0,-703600000.0,-703600000.0,,,473700000.0,-58000000.0,-62100000.0,415700000,4200000.0,419900000,-54800000.0,365100000,7800000.0,365800000,365800000,IR,2012-06-30
378166,USD,2012,Q3,2012-10-25,2013-10-23,307700000.0,312000000.0,3592800000.0,-2454400000.0,1138400000.0,-690600000.0,-690600000.0,,,447800000.0,-43200000.0,-60600000.0,404600000,0.0,404600000,-65300000.0,339300000,-12300000.0,321600000,321600000,IR,2012-09-30
378166,USD,2012,Q4,2013-02-14,2015-02-13,299500000.0,303600000.0,1423500000.0,-1185700000.0,237800000.0,-299100000.0,-299100000.0,,,-61300000.0,-53100000.0,-59900000.0,-114400000,-4500000.0,-118900000,102100000.0,-16800000,258700000.0,235600000,235600000,IR,2012-12-31
378166,USD,2013,Q1,2013-04-25,2014-04-23,298900000.0,302500000.0,2639000000.0,-1912600000.0,726400000.0,-606400000.0,-606400000.0,,,120000000.0,-60100000.0,-60600000.0,59900000,,59900000,-4500000.0,55400000,39200000.0,88000000,88000000,IR,2013-03-31
