SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
378172,USD,2009,Q3,2009-07-30,2010-07-30,122953000.0,124748000.0,2706724000.0,-2334861000.0,371863000.0,-225189000.0,-225189000.0,,,146674000.0,1393000.0,2063000.0,148067000,,148067000,-53381000.0,94686000,,94900000,94900000,J,2009-06-30
378172,USD,2009,Q4,2009-11-20,2011-11-21,123309000.0,125059000.0,2552547000.0,-2204570000.0,347977000.0,-225834000.0,-225834000.0,,,122143000.0,1714000.0,3001000.0,123857000,,123857000,-44616000.0,79241000,,79317000,79317000,J,2009-09-30
378172,USD,2010,Q1,2010-01-28,2011-01-26,123622000.0,125302000.0,2477785000.0,-2128576000.0,349209000.0,-235728000.0,-235728000.0,,,113481000.0,-333000.0,226000.0,113148000,,113148000,-40747000.0,72401000,,72437000,72437000,J,2009-12-31
378172,USD,2010,Q2,2010-04-29,2011-04-29,123911000.0,125565000.0,2586974000.0,-2223793000.0,363181000.0,-241177000.0,-241177000.0,,,122004000.0,-844000.0,91000.0,121160000,,121160000,-43593000.0,77567000,,77500000,77500000,J,2010-03-31
378172,USD,2010,Q3,2010-07-30,2011-07-29,124328000.0,125967000.0,2507725000.0,-2235537000.0,272188000.0,-227105000.0,-227105000.0,,,45083000.0,-7844000.0,-6200000.0,37239000,,37239000,-17999000.0,19240000,,19043000,19043000,J,2010-06-30
378172,USD,2010,Q4,2010-11-23,2012-11-20,124675000.0,126326000.0,2343033000.0,-1995006000.0,348027000.0,-228512000.0,-228512000.0,,,119515000.0,872000.0,800000.0,120387000,0.0,120387000,-43308000.0,77079000,,76994000,76994000,J,2010-09-30
378172,USD,2011,Q1,2011-01-26,2012-01-27,124988000.0,126640000.0,2356175000.0,-2025137000.0,331038000.0,-227419000.0,-227419000.0,,,103619000.0,104000.0,97000.0,103723000,,103723000,-37026000.0,66697000,,65823000,65823000,J,2010-12-31
378172,USD,2011,Q2,2011-04-29,2012-05-02,125402000.0,127363000.0,2558016000.0,-2168835000.0,389181000.0,-261166000.0,-261166000.0,,,128015000.0,-1534000.0,-1571000.0,126481000,,126481000,-45140000.0,81341000,,80250000,80250000,J,2011-03-31
378172,USD,2011,Q3,2011-07-29,2012-08-02,125903000.0,127578000.0,2744178000.0,-2331466000.0,412712000.0,-273332000.0,-273332000.0,,,139380000.0,1921000.0,-1251000.0,141301000,,141301000,-49365000.0,91936000,,90676000,90676000,J,2011-06-30
378172,USD,2011,Q4,2011-11-21,2013-11-22,126451000.0,127359000.0,2723295000.0,-2296733000.0,426562000.0,-278658000.0,-278658000.0,,,147904000.0,-2748000.0,-1157000.0,145156000,0.0,145156000,-49909000.0,95247000,,94280000,94280000,J,2011-09-30
