SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
1077535,USD,2009,Q4,2009-12-15,2012-01-17,11242000.0,11242000.0,9178000.0,-5525000.0,3653000.0,-2019000.0,-2019000.0,,,1634000.0,-181000.0,-140000.0,1453000,-3474000.0,-2021000,891000.0,-1117000,7000.0,-1110000,-1175000,LMNR,2009-10-31
1077535,USD,2010,Q1,2010-03-14,2011-03-14,11225500.0,11225500.0,6362000.0,-7658000.0,-1296000.0,-3485000.0,-3485000.0,,,-4781000.0,-44000.0,-399000.0,-4825000,,-4825000,1709000.0,-3132000,,-3132000,-3198000,LMNR,2010-01-31
1077535,USD,2010,Q2,2010-06-11,2011-06-08,11225500.0,11225500.0,13209000.0,-9717000.0,3492000.0,-2467000.0,-2467000.0,,,1025000.0,-929000.0,-362000.0,96000,,96000,-48000.0,112000,,112000,47000,LMNR,2010-04-30
1077535,USD,2010,Q3,2010-09-13,2011-09-09,11194000.0,11194000.0,22230000.0,-10431000.0,11799000.0,-2288000.0,-2288000.0,,,9511000.0,-1402000.0,-410000.0,8109000,-517000.0,7592000,-2704000.0,4915000,,4915000,4849000,LMNR,2010-07-31
1077535,USD,2010,Q4,2010-12-12,2013-01-14,11195000.0,11207000.0,12483000.0,-9919000.0,2564000.0,-2774000.0,-2774000.0,,,-210000.0,-842000.0,-348000.0,-1052000,-1905000.0,-2957000,1115000.0,-1572000,,-1572000,-1637000,LMNR,2010-10-31
1077535,USD,2011,Q1,2011-03-14,2012-03-12,11199000.0,11199000.0,5901000.0,-8488000.0,-2587000.0,-2950000.0,-2950000.0,,,-5537000.0,489000.0,-325000.0,-5048000,,-5048000,1712000.0,-3327000,,-3327000,-3393000,LMNR,2011-01-31
1077535,USD,2011,Q2,2011-06-08,2012-06-11,11217000.0,11217000.0,12510000.0,-10639000.0,1871000.0,-2220000.0,-2220000.0,,,-349000.0,-237000.0,-241000.0,-586000,155000.0,-431000,197000.0,-264000,,-264000,-329000,LMNR,2011-04-30
1077535,USD,2011,Q3,2011-09-09,2012-09-10,11203000.0,11203000.0,23202000.0,-13727000.0,9475000.0,-2226000.0,-2226000.0,,,7249000.0,-244000.0,-312000.0,7005000,,7005000,-2356000.0,4635000,,4635000,4569000,LMNR,2011-07-31
1077535,USD,2011,Q4,2012-01-17,2014-01-14,11201000.0,11213000.0,10882000.0,-8107000.0,2775000.0,-1932000.0,-1932000.0,,,843000.0,-145000.0,-278000.0,698000,0.0,698000,-260000.0,554000,,554000,489000,LMNR,2011-10-31
1077535,USD,2012,Q1,2012-03-12,2013-03-12,11205000.0,11205000.0,10237000.0,-12206000.0,-1969000.0,-2771000.0,-2771000.0,,,-4740000.0,354000.0,-150000.0,-4386000,,-4386000,1580000.0,-2809000,,-2809000,-2875000,LMNR,2012-01-31
1077535,USD,2012,Q2,2012-06-11,2013-06-10,11201000.0,11201000.0,16096000.0,-12451000.0,3645000.0,-2513000.0,-2513000.0,,,1132000.0,15000.0,-44000.0,1147000,,1147000,-385000.0,737000,,737000,672000,LMNR,2012-04-30
1077535,USD,2012,Q3,2012-09-10,2013-09-09,11198000.0,11198000.0,24700000.0,-14469000.0,10231000.0,-2525000.0,-2525000.0,,,7706000.0,56000.0,-122000.0,7762000,,7762000,-2696000.0,5081000,,5081000,5015000,LMNR,2012-07-31
1077535,USD,2012,Q4,2013-01-14,2015-01-12,11204000.0,11204000.0,14795000.0,-11629000.0,3166000.0,-2708000.0,-2708000.0,,,458000.0,147000.0,-88000.0,605000,,605000,-477000.0,141000,,141000,76000,LMNR,2012-10-31
1077535,USD,2013,Q1,2013-03-12,2014-03-10,11220000.0,11220000.0,17382000.0,-19449000.0,-2067000.0,-3265000.0,-3265000.0,,,-5332000.0,538000.0,-100000.0,-4794000,,-4794000,1655000.0,-3122000,,-3122000,-3188000,LMNR,2013-01-31
1077535,USD,2013,Q2,2013-06-10,2014-06-09,12789000.0,12789000.0,23286000.0,-18126000.0,5160000.0,-2774000.0,-2774000.0,,,2386000.0,214000.0,22000.0,2600000,3138000.0,5738000,-1427000.0,2505000,,2505000,2440000,LMNR,2013-04-30
1077535,USD,2013,Q3,2013-09-09,2014-09-09,13308000.0,13308000.0,29929000.0,-17014000.0,12915000.0,-2958000.0,-2958000.0,,,9957000.0,289000.0,19000.0,10246000,,10246000,-3772000.0,6607000,,6607000,6541000,LMNR,2013-07-31
1077535,USD,2013,Q4,2014-01-14,2016-01-11,13783000.0,13783000.0,14287000.0,-12952000.0,1335000.0,-2853000.0,-2853000.0,,,-1518000.0,-1436000.0,20000.0,-2954000,-95000.0,-3049000,309000.0,-1084000,,-1084000,-1149000,LMNR,2013-10-31
1077535,USD,2014,Q1,2014-03-10,2015-03-09,14030000.0,14030000.0,25882000.0,-24534000.0,1348000.0,-3541000.0,-3541000.0,,,-2193000.0,257000.0,20000.0,-1936000,,-1936000,717000.0,-1219000,,-1219000,-1285000,LMNR,2014-01-31
1077535,USD,2014,Q2,2014-06-09,2015-06-09,14050000.0,14050000.0,24802000.0,-18427000.0,6375000.0,-3145000.0,-3145000.0,,,3230000.0,28000.0,19000.0,3258000,,3258000,-1145000.0,2113000,,2113000,2048000,LMNR,2014-04-30
1077535,USD,2014,Q3,2014-09-09,2015-09-09,14064000.0,14486000.0,36476000.0,-19021000.0,17455000.0,-3640000.0,-3640000.0,,,13815000.0,160000.0,20000.0,13975000,-435000.0,13540000,-4608000.0,8932000,,8932000,8761000,LMNR,2014-07-31
1077535,USD,2014,Q4,2015-01-12,2017-01-10,14076000.0,13654000.0,16302000.0,-16816000.0,-514000.0,-4010000.0,-4010000.0,,,-4524000.0,226000.0,1000.0,-4298000,0.0,-4298000,1463000.0,-2835000,,-2835000,-2993000,LMNR,2014-10-31
1077535,USD,2015,Q1,2015-03-09,2016-03-10,14098000.0,14098000.0,28011000.0,-26861000.0,1150000.0,-3667000.0,-3667000.0,,,-2517000.0,314000.0,-12000.0,-2203000,,-2203000,755000.0,-1448000,,-1448000,-1607000,LMNR,2015-01-31
1077535,USD,2015,Q2,2015-06-09,2016-06-09,14124000.0,14124000.0,28277000.0,-21021000.0,7256000.0,-3116000.0,-3116000.0,,,4140000.0,-121000.0,-45000.0,4019000,,4019000,-1456000.0,2563000,,2563000,2405000,LMNR,2015-04-30
1077535,USD,2015,Q3,2015-09-09,2016-09-08,14127000.0,14953000.0,29811000.0,-18703000.0,11108000.0,-3270000.0,-3270000.0,,,7838000.0,251000.0,-45000.0,8089000,,8089000,-2776000.0,5313000,,5313000,5154000,LMNR,2015-07-31
1077535,USD,2015,Q4,2016-01-11,2018-01-08,14127000.0,13301000.0,14212000.0,-15371000.0,-1159000.0,-3719000.0,-3719000.0,,,-4878000.0,61000.0,-46000.0,-4817000,5968000.0,1151000,-497000.0,654000,,654000,495000,LMNR,2015-10-31
1077535,USD,2016,Q1,2016-03-10,2017-03-13,14148000.0,14148000.0,24987000.0,-27857000.0,-2870000.0,-3464000.0,-3464000.0,,,-6334000.0,255000.0,-219000.0,-6079000,,-6079000,2167000.0,-3912000,,-3912000,-4070000,LMNR,2016-01-31
1077535,USD,2016,Q2,2016-06-09,2017-06-08,14174000.0,14174000.0,27365000.0,-22306000.0,5059000.0,-2844000.0,-2844000.0,,,2215000.0,-431000.0,-344000.0,1784000,,1784000,-562000.0,1222000,,1222000,1065000,LMNR,2016-04-30
1077535,USD,2016,Q3,2016-09-08,2017-09-11,14178000.0,15066000.0,39903000.0,-22289000.0,17614000.0,-3420000.0,-3420000.0,,,14194000.0,-191000.0,-473000.0,14003000,3419000.0,17422000,-6693000.0,10729000,,10729000,10573000,LMNR,2016-07-31
1077535,USD,2016,Q4,2017-01-10,2019-01-14,14172000.0,13284000.0,19534000.0,-16830000.0,2704000.0,-3591000.0,-3591000.0,,,-887000.0,90000.0,-373000.0,-797000,995000.0,198000,-179000.0,19000,,19000,-138000,LMNR,2016-10-31
1077535,USD,2017,Q1,2017-03-13,2018-03-08,14202000.0,14202000.0,28092000.0,-27484000.0,608000.0,-3847000.0,-3847000.0,,,-3239000.0,-73000.0,-434000.0,-3312000,,-3312000,1240000.0,-2072000,,-2072000,-2227000,LMNR,2017-01-31
1077535,USD,2017,Q2,2017-06-08,2018-06-11,14269000.0,14719000.0,36893000.0,-27445000.0,9448000.0,-3116000.0,-3116000.0,,,6332000.0,-518000.0,-417000.0,5814000,-120000.0,5694000,-2158000.0,3536000,,3540000,3385000,LMNR,2017-04-30
1077535,USD,2017,Q3,2017-09-11,2018-09-10,14396000.0,14989000.0,40395000.0,-23998000.0,16397000.0,-3229000.0,-3229000.0,,,13168000.0,-408000.0,-521000.0,12760000,,12760000,-5017000.0,7743000,,7777000,7652000,LMNR,2017-07-31
1077535,USD,2017,Q4,2018-01-08,2020-01-14,14393000.0,13350000.0,15929000.0,-16452000.0,-523000.0,-3755000.0,-3755000.0,,,-4278000.0,-238000.0,-406000.0,-4516000,0.0,-4516000,1858000.0,-2658000,,-2650000,-2775000,LMNR,2017-10-31
1077535,USD,2018,Q1,2018-03-08,2019-03-12,14466000.0,14984000.0,31593000.0,-29257000.0,2336000.0,-4074000.0,-4074000.0,,,-1738000.0,-226000.0,-510000.0,-1964000,,-1964000,10587000.0,8623000,,8625000,8500000,LMNR,2018-01-31
1077535,USD,2018,Q2,2018-06-11,2019-06-10,14379000.0,15023000.0,43135000.0,-29813000.0,13322000.0,-3942000.0,-3942000.0,,,9380000.0,-394000.0,-284000.0,8986000,,8986000,-2380000.0,6606000,,6599000,6473000,LMNR,2018-04-30
1077535,USD,2018,Q3,2018-09-10,2019-09-09,15947000.0,16551000.0,39950000.0,-25012000.0,14938000.0,-3513000.0,-3513000.0,,,11425000.0,-111000.0,-260000.0,11314000,,11314000,-3114000.0,8200000,,8201000,8076000,LMNR,2018-07-31
1077535,USD,2018,Q4,2019-01-14,2021-01-14,17532000.0,18278000.0,14714000.0,-14001000.0,713000.0,-8736000.0,-4524000.0,,,-8023000.0,505000.0,-68000.0,-7518000,2665000.0,-4853000,1636000.0,-3217000,,-3237000,-3362000,LMNR,2018-10-31
1077535,USD,2019,Q1,2019-03-12,2020-03-11,17488000.0,17488000.0,42018000.0,-38916000.0,3102000.0,-5015000.0,-5015000.0,,,-1913000.0,493000.0,147000.0,-1420000,-5017000.0,-6437000,1761000.0,-4676000,,-4693000,-4818000,LMNR,2019-01-31
1077535,USD,2019,Q2,2019-06-10,2020-06-09,17554000.0,18225000.0,42035000.0,-37078000.0,4957000.0,-4843000.0,-4843000.0,,,114000.0,1297000.0,-686000.0,1411000,2493000.0,3904000,-1084000.0,2820000,,2815000,2689000,LMNR,2019-04-30
1077535,USD,2019,Q3,2019-09-09,2020-09-09,17554000.0,17554000.0,50869000.0,-42747000.0,8122000.0,-4961000.0,-4961000.0,,,3161000.0,-279000.0,-774000.0,2882000,-2818000.0,64000,-461000.0,-397000,,-990000,-1115000,LMNR,2019-07-31
1077535,USD,2019,Q4,2020-01-14,2021-01-14,17724000.0,17053000.0,36476000.0,-33631000.0,2845000.0,-10790000.0,-6351000.0,,,-7945000.0,-443000.0,-821000.0,-8388000,4294000.0,-4094000,881000.0,-3213000,,-3075000,-3200000,LMNR,2019-10-31
1077535,USD,2020,Q1,2020-03-11,2021-03-10,17579000.0,17579000.0,41656000.0,-42543000.0,-887000.0,-7579000.0,-6310000.0,,,-8466000.0,450000.0,55000.0,-8016000,-2024000.0,-10040000,3136000.0,-6904000,,-6427000,-6552000,LMNR,2020-01-31
