SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
185124,USD,2008,Q3,2008-12-08,2009-12-07,421200000.0,421200000.0,5493000000.0,-3324000000.0,2169000000.0,-2085000000.0,-2085000000.0,,,84000000.0,-143000000.0,-143000000.0,-59000000,-16000000.0,-75000000,31000000.0,-44000000,,-44000000,-44000000,M,2008-10-31
185124,USD,2008,Q4,2009-04-01,2011-03-30,421200000.0,421200000.0,7934000000.0,-4812000000.0,3122000000.0,-2256000000.0,-2256000000.0,,,866000000.0,-143000000.0,-143000000.0,723000000,-5601000000.0,-4878000000,133000000.0,-4745000000,,-4745000000,-4745000000,M,2009-01-31
185124,USD,2009,Q1,2009-06-07,2010-06-07,421500000.0,420900000.0,5199000000.0,-3219000000.0,1980000000.0,-1956000000.0,-1956000000.0,,,24000000.0,-141000000.0,-141000000.0,-117000000,-138000000.0,-255000000,167000000.0,-88000000,,-88000000,-88000000,M,2009-04-30
185124,USD,2009,Q2,2009-09-07,2010-09-07,421500000.0,422100000.0,5164000000.0,-3021000000.0,2143000000.0,-1861000000.0,-1861000000.0,,,282000000.0,-139000000.0,-139000000.0,143000000,-34000000.0,109000000,-102000000.0,7000000,,7000000,7000000,M,2009-07-31
185124,USD,2009,Q3,2009-12-07,2010-12-06,421800000.0,421800000.0,5277000000.0,-3156000000.0,2121000000.0,-2033000000.0,-2033000000.0,,,88000000.0,-137000000.0,-137000000.0,-49000000,-33000000.0,-82000000,47000000.0,-35000000,,-35000000,-35000000,M,2009-10-31
185124,USD,2009,Q4,2010-03-10,2012-03-28,422000000.0,428000000.0,7849000000.0,-4577000000.0,3272000000.0,-2212000000.0,-2212000000.0,,,1060000000.0,-139000000.0,-139000000.0,921000000,-186000000.0,735000000,-290000000.0,445000000,,445000000,445000000,M,2010-01-31
185124,USD,2010,Q1,2010-06-07,2011-06-06,422600000.0,426200000.0,5574000000.0,-3378000000.0,2196000000.0,-1993000000.0,-1993000000.0,,,203000000.0,-162000000.0,-162000000.0,41000000,,41000000,-18000000.0,23000000,,23000000,23000000,M,2010-04-30
185124,USD,2010,Q2,2010-09-07,2011-09-06,423000000.0,426500000.0,5537000000.0,-3214000000.0,2323000000.0,-1953000000.0,-1953000000.0,,,370000000.0,-130000000.0,-130000000.0,240000000,,240000000,-93000000.0,147000000,,147000000,147000000,M,2010-07-31
185124,USD,2010,Q3,2010-12-06,2011-12-05,423500000.0,427600000.0,5623000000.0,-3377000000.0,2246000000.0,-2069000000.0,-2069000000.0,,,177000000.0,-164000000.0,-164000000.0,13000000,,13000000,-3000000.0,10000000,,10000000,10000000,M,2010-10-31
185124,USD,2010,Q4,2011-03-30,2013-04-03,424100000.0,428900000.0,8269000000.0,-4855000000.0,3414000000.0,-2245000000.0,-2245000000.0,,,1169000000.0,-52000000.0,-52000000.0,1117000000,-91000000.0,1026000000,-359000000.0,667000000,,667000000,667000000,M,2011-01-31
