SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
133574,USD,2009,Q2,2009-08-04,2010-08-26,2064000000.0,2069000000.0,6719000000.0,-4263000000.0,2456000000.0,-741000000.0,-738000000.0,,-3000000.0,1715000000.0,-70000000.0,-287000000.0,1645000000,-38000000.0,1607000000,-596000000.0,1011000000,,1010000000,1010000000,MO,2009-06-30
133574,USD,2009,Q3,2009-10-29,2010-10-28,2067000000.0,2072000000.0,6300000000.0,-4015000000.0,2285000000.0,-758000000.0,-663000000.0,,-7000000.0,1527000000.0,-160000000.0,-279000000.0,1367000000,-133000000.0,1234000000,-352000000.0,882000000,,882000000,882000000,MO,2009-09-30
133574,USD,2009,Q4,2010-02-24,2012-02-16,2072000000.0,2074000000.0,6014000000.0,-3963000000.0,2051000000.0,-729000000.0,-725000000.0,,-4000000.0,1322000000.0,-125000000.0,-283000000.0,1197000000,-122000000.0,1075000000,-349000000.0,726000000,,725000000,725000000,MO,2009-12-31
133574,USD,2010,Q1,2010-04-28,2011-04-28,2074000000.0,2077000000.0,5760000000.0,-3676000000.0,2084000000.0,-647000000.0,-641000000.0,,-6000000.0,1437000000.0,-149000000.0,-287000000.0,1288000000,-7000000.0,1281000000,-468000000.0,813000000,,813000000,813000000,MO,2010-03-31
133574,USD,2010,Q2,2010-08-26,2011-07-28,2076000000.0,2079000000.0,6274000000.0,-3900000000.0,2374000000.0,-824000000.0,-651000000.0,,-4000000.0,1550000000.0,-177000000.0,-290000000.0,1373000000,-21000000.0,1352000000,-309000000.0,1043000000,,1042000000,1042000000,MO,2010-06-30
133574,USD,2010,Q3,2010-10-28,2011-10-27,2078000000.0,2080000000.0,6402000000.0,-3926000000.0,2476000000.0,-697000000.0,-691000000.0,,-6000000.0,1779000000.0,-93000000.0,-279000000.0,1686000000,-3000000.0,1683000000,-552000000.0,1131000000,,1131000000,1131000000,MO,2010-09-30
133574,USD,2010,Q4,2011-02-25,2013-02-27,2080000000.0,2080000000.0,5927000000.0,-3673000000.0,2254000000.0,-756000000.0,-752000000.0,,-4000000.0,1498000000.0,-86000000.0,-277000000.0,1412000000,-5000000.0,1407000000,-487000000.0,920000000,,919000000,919000000,MO,2010-12-31
133574,USD,2011,Q1,2011-04-28,2012-04-26,2084000000.0,2084000000.0,5643000000.0,-3495000000.0,2148000000.0,-607000000.0,-601000000.0,,-6000000.0,1541000000.0,-89000000.0,-278000000.0,1452000000,-2000000.0,1450000000,-512000000.0,938000000,,937000000,937000000,MO,2011-03-31
133574,USD,2011,Q2,2011-07-28,2012-07-26,2076000000.0,2076000000.0,5920000000.0,-3948000000.0,1972000000.0,-676000000.0,-671000000.0,,-5000000.0,1296000000.0,-139000000.0,-294000000.0,1157000000,-1000000.0,1156000000,-712000000.0,444000000,,444000000,444000000,MO,2011-06-30
133574,USD,2011,Q3,2011-10-27,2012-10-30,2054000000.0,2054000000.0,6108000000.0,-3663000000.0,2445000000.0,-567000000.0,-581000000.0,,-5000000.0,1878000000.0,-85000000.0,-293000000.0,1793000000,0.0,1793000000,-619000000.0,1174000000,,1173000000,1173000000,MO,2011-09-30
133574,USD,2011,Q4,2012-02-16,2014-02-26,2042000000.0,2042000000.0,6129000000.0,-3755000000.0,2374000000.0,-799000000.0,-790000000.0,,-4000000.0,1575000000.0,-173000000.0,-351000000.0,1402000000,-219000000.0,1183000000,-346000000.0,837000000,,836000000,836000000,MO,2011-12-31
133574,USD,2012,Q1,2012-04-26,2013-04-25,2034000000.0,2034000000.0,5647000000.0,-3445000000.0,2202000000.0,-539000000.0,-534000000.0,,-5000000.0,1663000000.0,227000000.0,-293000000.0,1890000000,-21000000.0,1869000000,-674000000.0,1195000000,,1195000000,1195000000,MO,2012-03-31
133574,USD,2012,Q2,2012-07-26,2013-07-24,2027000000.0,2027000000.0,6487000000.0,-3993000000.0,2494000000.0,-601000000.0,-596000000.0,,-5000000.0,1893000000.0,-70000000.0,-293000000.0,1823000000,-16000000.0,1807000000,-581000000.0,1226000000,,1225000000,1225000000,MO,2012-06-30
133574,USD,2012,Q3,2012-10-30,2013-10-24,2024000000.0,2024000000.0,6242000000.0,-3758000000.0,2484000000.0,-505000000.0,-548000000.0,,-5000000.0,1979000000.0,-52000000.0,-282000000.0,1927000000,-884000000.0,1043000000,-386000000.0,657000000,,657000000,657000000,MO,2012-09-30
133574,USD,2012,Q4,2013-08-13,2015-02-25,2011000000.0,2011000000.0,6242000000.0,-3859000000.0,2383000000.0,-604000000.0,-623000000.0,,15000000.0,1779000000.0,-7000000.0,-258000000.0,1772000000,-14000000.0,1758000000,-653000000.0,1105000000,,1103000000,1103000000,MO,2012-12-31
133574,USD,2013,Q1,2013-04-25,2014-04-24,2003000000.0,2003000000.0,5528000000.0,-2854000000.0,2674000000.0,-522000000.0,-522000000.0,,,2152000000.0,-5000000.0,-261000000.0,2147000000,0.0,2147000000,-762000000.0,1385000000,,1385000000,1385000000,MO,2013-03-31
133574,USD,2013,Q2,2013-07-24,2014-07-22,2002000000.0,2002000000.0,6305000000.0,-3751000000.0,2554000000.0,-552000000.0,-552000000.0,,,2002000000.0,-37000000.0,-264000000.0,1965000000,-1000000.0,1964000000,-698000000.0,1266000000,,1266000000,1266000000,MO,2013-06-30
133574,USD,2013,Q3,2013-10-24,2014-10-30,1998000000.0,1998000000.0,6553000000.0,-3732000000.0,2821000000.0,-689000000.0,-664000000.0,,,2132000000.0,-14000000.0,-269000000.0,2118000000,0.0,2118000000,-722000000.0,1396000000,,1396000000,1396000000,MO,2013-09-30
133574,USD,2013,Q4,2014-08-04,2016-02-25,1993000000.0,1993000000.0,6080000000.0,-3672000000.0,2408000000.0,-599000000.0,-602000000.0,,,1809000000.0,-2000000.0,-255000000.0,1807000000,-1094000000.0,713000000,-225000000.0,488000000,,488000000,488000000,MO,2013-12-31
