SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
558197,USD,2011,Q2,2011-08-06,2012-08-08,84418000.0,84605000.0,1168039000.0,-995341000.0,172698000.0,-124052000.0,-124052000.0,,,48646000.0,-33667000.0,-34524000.0,14979000,-7826000.0,7153000,-2475000.0,4678000,,4678000,4678000,MRC,2011-06-30
558197,USD,2011,Q3,2011-11-14,2012-10-29,84418000.0,84657000.0,1366202000.0,-1165076000.0,201126000.0,-134685000.0,-134685000.0,,,66441000.0,-35169000.0,-34348000.0,31272000,1768000.0,33040000,-11167000.0,21873000,,21873000,21873000,MRC,2011-09-30
558197,USD,2011,Q4,2012-10-09,2014-02-21,84419000.0,84945000.0,1306369000.0,-1119007000.0,187362000.0,-137469000.0,-137469000.0,,,49893000.0,-34284000.0,-34472000.0,15609000,1784000.0,17393000,-13832000.0,3561000,,3561000,3561000,MRC,2011-12-31
558197,USD,2012,Q1,2012-05-07,2013-05-03,84437000.0,84756000.0,1382632000.0,-1146071000.0,236561000.0,-146384000.0,-146384000.0,,,90177000.0,-31970000.0,-33717000.0,58207000,440000.0,58647000,-21113000.0,37534000,,37534000,37534000,MRC,2012-03-31
558197,USD,2012,Q2,2012-08-08,2013-08-02,98303000.0,98726000.0,1430379000.0,-1188699000.0,241680000.0,-151189000.0,-151189000.0,,,90491000.0,-30152000.0,-30727000.0,60339000,-12624000.0,47715000,-16390000.0,31325000,,31325000,31325000,MRC,2012-06-30
558197,USD,2012,Q3,2012-10-29,2013-11-01,101490000.0,102029000.0,1451114000.0,-1173916000.0,277198000.0,-154955000.0,-154955000.0,,,122243000.0,-26945000.0,-28177000.0,95298000,-9477000.0,85821000,-30280000.0,55541000,,55541000,55541000,MRC,2012-09-30
558197,USD,2012,Q4,2013-06-27,2015-02-20,101630000.0,102189000.0,1306733000.0,-1048429000.0,258304000.0,-154225000.0,-154225000.0,,,104079000.0,-22266000.0,-19898000.0,81813000,-92300000.0,-10487000,4045000.0,-6442000,,-6442000,-6442000,MRC,2012-12-31
558197,USD,2013,Q1,2013-05-03,2014-05-02,101609000.0,102426000.0,1305100000.0,-1058529000.0,246571000.0,-160757000.0,-160757000.0,,,85814000.0,-15186000.0,-15302000.0,70628000,567000.0,71195000,-25012000.0,46183000,,46183000,46183000,MRC,2013-03-31
558197,USD,2013,Q2,2013-08-02,2014-08-01,101693000.0,102519000.0,1267778000.0,-1023845000.0,243933000.0,-153975000.0,-153975000.0,,,89958000.0,-28723000.0,-15223000.0,61235000,1850000.0,63085000,-19233000.0,43852000,,43852000,43852000,MRC,2013-06-30
558197,USD,2013,Q3,2013-11-01,2014-11-07,101715000.0,102393000.0,1313711000.0,-1075418000.0,238293000.0,-160910000.0,-160910000.0,,,77383000.0,-15550000.0,-15463000.0,61833000,-1828000.0,60005000,-21248000.0,38757000,,38757000,38757000,MRC,2013-09-30
