SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
262201,USD,2009,Q3,2009-10-29,2010-11-08,2210336800.0,2215157600.0,6049700000.0,-1430300000.0,4619400000.0,-2979500000.0,-1725500000.0,-1254000000.0,,1639900000.0,3479300000.0,,5119200000,-42400000.0,5076800000,-1621500000.0,3455300000,,3424300000,3424300000,MRK,2009-09-30
262201,USD,2009,Q4,2010-03-01,2012-02-28,2878332000.0,2892689600.0,10093200000.0,-4901000000.0,5192200000.0,-5426600000.0,-3455100000.0,-1971500000.0,,-234400000.0,8187200000.0,,7952800000,-1489900000.0,6462900000,59700000.0,6522600000,,6493400000,6493400000,MRK,2009-12-31
262201,USD,2010,Q1,2010-05-07,2011-05-09,3263472000.0,3291768000.0,11422000000.0,-5216000000.0,6206000000.0,-5273000000.0,-3222000000.0,-2051000000.0,,933000000.0,-29000000.0,,904000000,-288000000.0,616000000,-286000000.0,330000000,,299000000,299000000,MRK,2010-03-31
262201,USD,2010,Q2,2010-08-06,2011-08-08,3254040000.0,3275000000.0,11346000000.0,-4549000000.0,6797000000.0,-5354000000.0,-3175000000.0,-2179000000.0,,1443000000.0,324000000.0,,1767000000,-526000000.0,1241000000,-461000000.0,780000000,,752000000,752000000,MRK,2010-06-30
262201,USD,2010,Q3,2010-11-08,2011-11-08,3225744000.0,3250896000.0,11125000000.0,-4191000000.0,6934000000.0,-5514000000.0,-3192000000.0,-2322000000.0,,1420000000.0,-872000000.0,,548000000,-50000000.0,498000000,-126000000.0,372000000,,342000000,342000000,MRK,2010-09-30
262201,USD,2010,Q4,2011-02-28,2013-02-28,3230984000.0,3261376000.0,12094000000.0,-4440000000.0,7654000000.0,-8095000000.0,-3536000000.0,-4559000000.0,,-441000000.0,-140000000.0,,-581000000,-121000000.0,-702000000,202000000.0,-500000000,,-532000000,-532000000,MRK,2010-12-31
262201,USD,2011,Q1,2011-05-09,2012-05-08,3232032000.0,3252992000.0,11580000000.0,-4059000000.0,7521000000.0,-5322000000.0,-3164000000.0,-2158000000.0,,2199000000.0,-484000000.0,,1715000000,14000000.0,1729000000,-658000000.0,1071000000,,1043000000,1043000000,MRK,2011-03-31
262201,USD,2011,Q2,2011-08-08,2012-08-07,3234128000.0,3259280000.0,12151000000.0,-4284000000.0,7867000000.0,-5461000000.0,-3525000000.0,-1936000000.0,,2406000000.0,-66000000.0,,2340000000,-668000000.0,1672000000,382000000.0,2054000000,,2024000000,2024000000,MRK,2011-06-30
262201,USD,2011,Q3,2011-11-08,2012-11-09,3217360000.0,3239368000.0,12022000000.0,-4352000000.0,7670000000.0,-5294000000.0,-3340000000.0,-1954000000.0,,2376000000.0,95000000.0,,2471000000,-119000000.0,2352000000,-628000000.0,1724000000,,1692000000,1692000000,MRK,2011-09-30
262201,USD,2011,Q4,2012-02-28,2014-02-27,3190112000.0,3218408000.0,12294000000.0,-4176000000.0,8118000000.0,-6123000000.0,-3704000000.0,-2419000000.0,,1995000000.0,119000000.0,,2114000000,-533000000.0,1581000000,-38000000.0,1543000000,,1513000000,1513000000,MRK,2011-12-31
