SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
182638,USD,2011,Q4,2011-09-08,2013-09-06,26457000.0,26844000.0,163629000.0,-142755000.0,20874000.0,-11359000.0,-11359000.0,,,9515000.0,-350000.0,-195000.0,9165000,,9165000,-3482000.0,5683000,,5683000,5683000,MTRX,2011-06-30
182638,USD,2012,Q1,2011-11-08,2012-11-09,26400000.0,26722000.0,169321000.0,-151228000.0,18093000.0,-11483000.0,-11483000.0,,,6610000.0,-950000.0,-274000.0,5660000,,5660000,-2151000.0,3509000,,3509000,3509000,MTRX,2011-09-30
182638,USD,2012,Q2,2012-02-09,2013-02-07,25819000.0,26111000.0,200964000.0,-177866000.0,23098000.0,-11898000.0,-11898000.0,,,11200000.0,138000.0,-163000.0,11338000,,11338000,-4307000.0,7031000,,7031000,7031000,MTRX,2011-12-31
182638,USD,2012,Q3,2012-05-08,2013-05-09,25723000.0,26079000.0,183899000.0,-164128000.0,19771000.0,-12356000.0,-12356000.0,,,7415000.0,-217000.0,-162000.0,7198000,,7198000,-2336000.0,4862000,,4862000,4862000,MTRX,2012-03-31
182638,USD,2012,Q4,2012-09-06,2014-09-08,25742000.0,26280000.0,184862000.0,-166206000.0,18656000.0,-12246000.0,-12246000.0,,,6410000.0,-116000.0,-189000.0,6294000,,6294000,-4508000.0,1786000,,1786000,1786000,MTRX,2012-06-30
182638,USD,2013,Q1,2012-11-09,2013-11-08,25788000.0,26148000.0,209608000.0,-187364000.0,22244000.0,-14320000.0,-14320000.0,,,7924000.0,-118000.0,-175000.0,7806000,,7806000,-3122000.0,4684000,,4684000,4684000,MTRX,2012-09-30
182638,USD,2013,Q2,2013-02-07,2014-02-07,25939000.0,26204000.0,221436000.0,-199103000.0,22333000.0,-13561000.0,-13561000.0,,,8772000.0,-212000.0,-205000.0,8560000,,8560000,-3124000.0,5436000,,5436000,5436000,MTRX,2012-12-31
182638,USD,2013,Q3,2013-05-09,2014-05-09,26039000.0,26411000.0,225970000.0,-202844000.0,23126000.0,-14695000.0,-14695000.0,,,8431000.0,-157000.0,-200000.0,8274000,,8274000,-1753000.0,6521000,,6521000,6521000,MTRX,2013-03-31
182638,USD,2013,Q4,2013-09-06,2015-09-11,26082000.0,26669000.0,235560000.0,-208561000.0,26999000.0,-15412000.0,-15412000.0,,,11587000.0,-311000.0,-188000.0,11276000,,11276000,-3909000.0,7367000,,7367000,7367000,MTRX,2013-06-30
182638,USD,2014,Q1,2013-11-08,2014-11-06,26116000.0,26647000.0,226217000.0,-200741000.0,25476000.0,-14714000.0,-14714000.0,,,10762000.0,-306000.0,-218000.0,10456000,,10456000,-3904000.0,6552000,,6552000,6552000,MTRX,2013-09-30
182638,USD,2014,Q2,2014-02-07,2015-02-06,26245000.0,26884000.0,310998000.0,-276848000.0,34150000.0,-19333000.0,-19333000.0,,,14817000.0,-411000.0,-343000.0,14406000,,14406000,-4095000.0,10311000,,10306000,10306000,MTRX,2013-12-31
182638,USD,2014,Q3,2014-05-09,2015-05-08,26374000.0,27040000.0,381516000.0,-341572000.0,39944000.0,-21125000.0,-21125000.0,,,18819000.0,-271000.0,-280000.0,18548000,,18548000,-6756000.0,11792000,,11396000,11396000,MTRX,2014-03-31
182638,USD,2014,Q4,2014-09-08,2016-09-01,26417000.0,27333000.0,344358000.0,-307455000.0,36903000.0,-22694000.0,-22694000.0,,,14209000.0,-808000.0,-483000.0,13401000,,13401000,-5179000.0,8222000,,8623000,8623000,MTRX,2014-06-30
182638,USD,2015,Q1,2014-11-06,2015-11-05,26470000.0,27134000.0,321683000.0,-293304000.0,28379000.0,-19832000.0,-19832000.0,,,8547000.0,-252000.0,-309000.0,8295000,,8295000,-3624000.0,4671000,,5914000,5914000,MTRX,2014-09-30
182638,USD,2015,Q2,2015-02-06,2016-02-05,26600000.0,27156000.0,342880000.0,-326925000.0,15955000.0,-19626000.0,-19626000.0,,,-3671000.0,-20000.0,8000.0,-3691000,,-3691000,-1155000.0,-4846000,,3286000,3286000,MTRX,2014-12-31
182638,USD,2015,Q3,2015-05-08,2016-05-05,26711000.0,26711000.0,314155000.0,-311523000.0,2632000.0,-17080000.0,-17080000.0,,,-14448000.0,-2000.0,-254000.0,-14450000,,-14450000,1508000.0,-12942000,,-2959000,-2959000,MTRX,2015-03-31
182638,USD,2015,Q4,2015-09-11,2016-09-01,26631000.0,27707000.0,364417000.0,-324013000.0,40404000.0,-22030000.0,-22030000.0,,,18374000.0,-336000.0,-213000.0,18038000,,18038000,-6819000.0,11219000,,10916000,10916000,MTRX,2015-06-30
182638,USD,2016,Q1,2015-11-05,2016-11-07,26476000.0,27050000.0,319331000.0,-284747000.0,34584000.0,-19483000.0,-19483000.0,,,15101000.0,-286000.0,-232000.0,14815000,,14815000,-5076000.0,9739000,,9941000,9941000,MTRX,2015-09-30
182638,USD,2016,Q2,2016-02-05,2016-02-05,26721000.0,27248000.0,323529000.0,-293524000.0,30005000.0,-25070000.0,-25070000.0,,,4935000.0,-340000.0,-192000.0,4595000,,4595000,-1477000.0,3118000,,5431000,5431000,MTRX,2015-12-31
182638,USD,2016,Q3,2016-05-05,2016-05-05,26758000.0,27054000.0,309422000.0,-282119000.0,27303000.0,-20956000.0,-20956000.0,,,6347000.0,-294000.0,-185000.0,6053000,,6053000,-2507000.0,3546000,,4357000,4357000,MTRX,2016-03-31
182638,USD,2016,Q4,2016-09-01,2016-09-01,26433000.0,27048000.0,359635000.0,-325536000.0,34099000.0,-19600000.0,-19600000.0,,,14499000.0,-309000.0,-53000.0,14190000,,14190000,-5056000.0,9134000,,9134000,9134000,MTRX,2016-06-30
182638,USD,2017,Q1,2016-11-07,2017-11-07,26387000.0,26796000.0,341781000.0,-309503000.0,32278000.0,-17977000.0,-17977000.0,,,14301000.0,-224000.0,-231000.0,14077000,,14077000,-4735000.0,9342000,,9342000,9342000,MTRX,2016-09-30
182638,USD,2017,Q2,2017-02-09,2017-02-09,26553000.0,26832000.0,312655000.0,-284443000.0,28212000.0,-19975000.0,-19975000.0,,,8237000.0,-424000.0,-471000.0,7813000,,7813000,-2563000.0,5250000,,5250000,5250000,MTRX,2016-12-31
182638,USD,2017,Q3,2017-05-10,2017-05-10,26594000.0,26594000.0,251237000.0,-253851000.0,-2614000.0,-18596000.0,-18596000.0,,,-21210000.0,-811000.0,-760000.0,-22021000,,-22021000,8521000.0,-13500000,,-13821000,-13821000,MTRX,2017-03-31
