SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
117316,USD,2009,Q2,2009-08-03,2010-08-23,506000000.0,507000000.0,2560000000.0,-1067000000.0,1493000000.0,-856000000.0,-627000000.0,,-203000000.0,637000000.0,-85000000.0,-133000000.0,552000000,-1000000.0,551000000,-240000000.0,311000000,,311000000,311000000,PEG,2009-06-30
117316,USD,2009,Q3,2009-10-30,2010-10-29,506000000.0,507000000.0,3040000000.0,-1241000000.0,1799000000.0,-875000000.0,-621000000.0,,-224000000.0,924000000.0,-99000000.0,-129000000.0,825000000,0.0,825000000,-337000000.0,488000000,,488000000,488000000,PEG,2009-09-30
117316,USD,2009,Q4,2010-02-25,2012-02-27,505944000.0,507256000.0,2515000000.0,-1057000000.0,1458000000.0,-830000000.0,-612000000.0,,-185000000.0,628000000.0,-117000000.0,-114000000.0,511000000,1000000.0,512000000,-161000000.0,351000000,-2000000.0,349000000,349000000,PEG,2009-12-31
117316,USD,2010,Q1,2010-05-06,2011-05-05,506000000.0,507000000.0,3573000000.0,-1688000000.0,1885000000.0,-939000000.0,-670000000.0,,-227000000.0,946000000.0,-86000000.0,-116000000.0,860000000,-1000000.0,859000000,-361000000.0,498000000,-7000000.0,491000000,491000000,PEG,2010-03-31
117316,USD,2010,Q2,2010-08-23,2011-08-03,506000000.0,507000000.0,2361000000.0,-1072000000.0,1289000000.0,-858000000.0,-601000000.0,,-229000000.0,431000000.0,-80000000.0,-120000000.0,351000000,-5000000.0,346000000,-124000000.0,222000000,2000000.0,224000000,224000000,PEG,2010-06-30
117316,USD,2010,Q3,2010-10-29,2011-11-01,506000000.0,507000000.0,3114000000.0,-1261000000.0,1853000000.0,-882000000.0,-591000000.0,,-260000000.0,971000000.0,-50000000.0,-120000000.0,921000000,-3000000.0,918000000,-371000000.0,547000000,20000000.0,567000000,567000000,PEG,2010-09-30
117316,USD,2010,Q4,2011-02-25,2013-02-26,505940000.0,507180000.0,2745000000.0,-1240000000.0,1505000000.0,-916000000.0,-642000000.0,,-239000000.0,589000000.0,-94000000.0,-116000000.0,495000000,-2000000.0,493000000,-203000000.0,290000000,-8000000.0,282000000,282000000,PEG,2010-12-31
117316,USD,2011,Q1,2011-05-05,2012-05-02,506000000.0,507000000.0,3354000000.0,-1563000000.0,1791000000.0,-935000000.0,-651000000.0,,-241000000.0,856000000.0,-61000000.0,-127000000.0,795000000,-4000000.0,791000000,-329000000.0,462000000,64000000.0,526000000,526000000,PEG,2011-03-31
117316,USD,2011,Q2,2011-08-03,2012-08-02,506000000.0,507000000.0,2469000000.0,-1010000000.0,1459000000.0,-838000000.0,-575000000.0,,-235000000.0,621000000.0,-73000000.0,-117000000.0,548000000,-1000000.0,547000000,-227000000.0,320000000,3000000.0,323000000,323000000,PEG,2011-06-30
117316,USD,2011,Q3,2011-11-01,2012-11-02,506000000.0,507000000.0,2620000000.0,-1167000000.0,1453000000.0,-897000000.0,-603000000.0,,-263000000.0,556000000.0,-82000000.0,-117000000.0,474000000,-8000000.0,466000000,-201000000.0,265000000,29000000.0,294000000,294000000,PEG,2011-09-30
117316,USD,2011,Q4,2012-02-27,2014-02-26,505796000.0,506928000.0,2636000000.0,-1007000000.0,1629000000.0,-920000000.0,-652000000.0,,-237000000.0,709000000.0,-120000000.0,-114000000.0,589000000,-9000000.0,580000000,-220000000.0,360000000,0.0,360000000,360000000,PEG,2011-12-31
