SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
262090,USD,2009,Q2,2009-08-06,2010-08-12,7091312000.0,7116608000.0,10984000000.0,-1756000000.0,9228000000.0,-5628000000.0,-3350000000.0,-1695000000.0,-583000000.0,3600000000.0,-72000000.0,,3528000000,-479000000.0,3049000000,-786000000.0,2263000000,3000000.0,2261000000,2261000000,PFE,2009-06-30
262090,USD,2009,Q3,2009-11-05,2010-11-12,7093420000.0,7127148000.0,11621000000.0,-1789000000.0,9832000000.0,-5508000000.0,-3282000000.0,-1632000000.0,-594000000.0,4324000000.0,-160000000.0,,4164000000,-193000000.0,3971000000,-1092000000.0,2879000000,2000000.0,2878000000,2878000000,PFE,2009-09-30
262090,USD,2009,Q4,2010-02-26,2012-02-28,8270738000.0,8340302000.0,15797000000.0,-3506000000.0,12291000000.0,-9158000000.0,-5244000000.0,-2792000000.0,-1122000000.0,3133000000.0,-110000000.0,,3023000000,-3172000000.0,-149000000,807000000.0,658000000,108000000.0,767000000,767000000,PFE,2009-12-31
262090,USD,2010,Q1,2010-05-13,2011-05-12,8496294000.0,8538454000.0,16576000000.0,-4202000000.0,12374000000.0,-8033000000.0,-4403000000.0,-2221000000.0,-1409000000.0,4341000000.0,-412000000.0,,3929000000,-780000000.0,3149000000,-1135000000.0,2014000000,21000000.0,2026000000,2026000000,PFE,2010-03-31
262090,USD,2010,Q2,2010-08-12,2011-08-11,8480484000.0,8507888000.0,17132000000.0,-3684000000.0,13448000000.0,-8362000000.0,-4774000000.0,-2181000000.0,-1407000000.0,5086000000.0,-275000000.0,,4811000000,-885000000.0,3926000000,-1472000000.0,2454000000,31000000.0,2475000000,2475000000,PFE,2010-06-30
262090,USD,2010,Q3,2010-11-12,2011-11-10,8460458000.0,8492078000.0,15995000000.0,-3790000000.0,12205000000.0,-7943000000.0,-4599000000.0,-2188000000.0,-1156000000.0,4262000000.0,-2349000000.0,,1913000000,-499000000.0,1414000000,-558000000.0,856000000,15000000.0,866000000,866000000,PFE,2010-09-30
262090,USD,2010,Q4,2011-02-28,2013-02-28,8442540000.0,8501564000.0,15462000000.0,-3112000000.0,12350000000.0,-9482000000.0,-5197000000.0,-2893000000.0,-1392000000.0,2868000000.0,-905000000.0,,1963000000,-981000000.0,982000000,2012000000.0,2994000000,-97000000.0,2890000000,2890000000,PFE,2010-12-31
262090,USD,2011,Q1,2011-05-12,2012-05-10,8413028000.0,8468890000.0,16502000000.0,-3693000000.0,12809000000.0,-7970000000.0,-4503000000.0,-2091000000.0,-1376000000.0,4839000000.0,-827000000.0,,4012000000,-894000000.0,3118000000,-894000000.0,2224000000,10000000.0,2222000000,2222000000,PFE,2011-03-31
262090,USD,2011,Q2,2011-08-11,2012-08-09,8300250000.0,8363490000.0,16485000000.0,-3571000000.0,12914000000.0,-8415000000.0,-4800000000.0,-2231000000.0,-1384000000.0,4499000000.0,-423000000.0,,4076000000,-478000000.0,3598000000,-1077000000.0,2521000000,97000000.0,2610000000,2610000000,PFE,2011-06-30
262090,USD,2011,Q3,2011-11-10,2012-11-09,8189580000.0,8231740000.0,16609000000.0,-3409000000.0,13200000000.0,-8022000000.0,-4457000000.0,-2176000000.0,-1389000000.0,5178000000.0,-547000000.0,,4631000000,-1090000000.0,3541000000,-1216000000.0,2325000000,1424000000.0,3738000000,3738000000,PFE,2011-09-30
262090,USD,2011,Q4,2012-02-28,2014-02-28,8053614000.0,8115800000.0,11439000000.0,-1827000000.0,9612000000.0,-7320000000.0,-3821000000.0,-2183000000.0,-1316000000.0,2292000000.0,-689000000.0,,1603000000,-379000000.0,1224000000,-434000000.0,790000000,658000000.0,1439000000,1439000000,PFE,2011-12-31
262090,USD,2012,Q1,2012-05-10,2013-05-10,7943998000.0,8008292000.0,14885000000.0,-2745000000.0,12140000000.0,-7450000000.0,-3968000000.0,-2062000000.0,-1420000000.0,4690000000.0,-1658000000.0,,3032000000,-597000000.0,2435000000,-711000000.0,1724000000,79000000.0,1794000000,1794000000,PFE,2012-03-31
262090,USD,2012,Q2,2012-08-09,2013-08-09,7879704000.0,7943998000.0,13968000000.0,-2376000000.0,11592000000.0,-6540000000.0,-3665000000.0,-1600000000.0,-1275000000.0,5052000000.0,-688000000.0,,4364000000,-184000000.0,4180000000,-1180000000.0,3000000000,260000000.0,3253000000,3253000000,PFE,2012-06-30
262090,USD,2012,Q3,2012-11-09,2013-11-08,7837544000.0,7913432000.0,12953000000.0,-2309000000.0,10644000000.0,-6589000000.0,-3491000000.0,-1887000000.0,-1211000000.0,4055000000.0,-937000000.0,,3118000000,-312000000.0,2806000000,183000000.0,2989000000,225000000.0,3208000000,3208000000,PFE,2012-09-30
262090,USD,2012,Q4,2013-02-28,2015-02-27,7714226000.0,7788006000.0,12851000000.0,-2391000000.0,10460000000.0,-7183000000.0,-4047000000.0,-1933000000.0,-1203000000.0,3277000000.0,-739000000.0,,2538000000,-717000000.0,1821000000,-513000000.0,1308000000,5013000000.0,6315000000,6315000000,PFE,2012-12-31
262090,USD,2013,Q1,2013-05-10,2014-05-08,7575098000.0,7661526000.0,12410000000.0,-2263000000.0,10147000000.0,-6146000000.0,-3217000000.0,-1710000000.0,-1219000000.0,4001000000.0,-145000000.0,,3856000000,-131000000.0,3725000000,-1109000000.0,2616000000,149000000.0,2750000000,2750000000,PFE,2013-03-31
262090,USD,2013,Q2,2013-08-09,2014-08-07,7422268000.0,7501318000.0,12973000000.0,-2242000000.0,10731000000.0,-6261000000.0,-3591000000.0,-1530000000.0,-1140000000.0,4470000000.0,1070000000.0,,5540000000,-183000000.0,5357000000,-1782000000.0,3575000000,10559000000.0,14095000000,14095000000,PFE,2013-06-30
262090,USD,2013,Q3,2013-11-08,2014-11-06,6936374000.0,7015424000.0,12643000000.0,-2287000000.0,10356000000.0,-6139000000.0,-3395000000.0,-1627000000.0,-1117000000.0,4217000000.0,-411000000.0,,3806000000,-233000000.0,3573000000,-985000000.0,2588000000,11000000.0,2590000000,2590000000,PFE,2013-09-30
262090,USD,2013,Q4,2014-02-28,2016-02-29,6789868000.0,6891052000.0,13558000000.0,-2794000000.0,10764000000.0,-7086000000.0,-4152000000.0,-1811000000.0,-1123000000.0,3678000000.0,18000000.0,,3696000000,-635000000.0,3061000000,-430000000.0,2631000000,-57000000.0,2568000000,2568000000,PFE,2013-12-31
262090,USD,2014,Q1,2014-05-08,2015-05-07,6734006000.0,6825704000.0,11353000000.0,-2045000000.0,9308000000.0,-5780000000.0,-3040000000.0,-1623000000.0,-1117000000.0,3528000000.0,-623000000.0,,2905000000,-58000000.0,2847000000,-582000000.0,2265000000,73000000.0,2329000000,2329000000,PFE,2014-03-31
262090,USD,2014,Q2,2014-08-07,2015-08-06,6711872000.0,6791976000.0,12773000000.0,-2462000000.0,10311000000.0,-6280000000.0,-3520000000.0,-1759000000.0,-1001000000.0,4031000000.0,53000000.0,,4084000000,-81000000.0,4003000000,-1082000000.0,2921000000,,2912000000,2912000000,PFE,2014-06-30
262090,USD,2014,Q3,2014-11-06,2015-11-05,6671820000.0,6748762000.0,12361000000.0,-2368000000.0,9993000000.0,-6330000000.0,-3556000000.0,-1802000000.0,-972000000.0,3663000000.0,-94000000.0,,3569000000,19000000.0,3588000000,-911000000.0,2677000000,-3000000.0,2668000000,2668000000,PFE,2014-09-30
262090,USD,2014,Q4,2015-02-27,2017-02-23,6637038000.0,6717142000.0,13118000000.0,-2702000000.0,10416000000.0,-8139000000.0,-3981000000.0,-3209000000.0,-949000000.0,2277000000.0,-345000000.0,,1932000000,-130000000.0,1802000000,-545000000.0,1257000000,-21000000.0,1228000000,1228000000,PFE,2014-12-31
262090,USD,2015,Q1,2015-05-07,2016-05-12,6537962000.0,6631768000.0,10864000000.0,-1838000000.0,9026000000.0,-5929000000.0,-3104000000.0,-1885000000.0,-940000000.0,3097000000.0,46000000.0,,3143000000,-60000000.0,3083000000,-706000000.0,2377000000,5000000.0,2376000000,2376000000,PFE,2015-03-31
262090,USD,2015,Q2,2015-08-06,2016-08-11,6491586000.0,6580122000.0,11853000000.0,-2180000000.0,9673000000.0,-5992000000.0,-3386000000.0,-1734000000.0,-872000000.0,3681000000.0,-55000000.0,,3626000000,-86000000.0,3540000000,-905000000.0,2635000000,1000000.0,2627000000,2627000000,PFE,2015-06-30
262090,USD,2015,Q3,2015-11-05,2016-11-10,6501072000.0,6580122000.0,12087000000.0,-2219000000.0,9868000000.0,-5929000000.0,-3270000000.0,-1722000000.0,-937000000.0,3939000000.0,-661000000.0,,3278000000,-581000000.0,2697000000,-567000000.0,2130000000,8000000.0,2129000000,2129000000,PFE,2015-09-30
