SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
951586,USD,2012,Q3,2012-12-16,2013-12-17,38076026.0,38076026.0,284171000.0,-182291000.0,101880000.0,-99886000.0,-99886000.0,,,1994000.0,-1544000.0,-1544000.0,450000,,450000,1235000.0,1685000,,1685000,1685000,RH,2012-11-30
951586,USD,2012,Q4,2013-03-16,2015-03-27,38076026.0,38076026.0,398055000.0,-252881000.0,145174000.0,-233769000.0,-233769000.0,,,-88595000.0,-1178000.0,-1178000.0,-89773000,,-89773000,61411000.0,-28362000,,-28362000,-28362000,RH,2013-02-28
951586,USD,2013,Q1,2013-06-17,2014-06-12,38076026.0,38076026.0,301337000.0,-199460000.0,101877000.0,-101366000.0,-101366000.0,,,511000.0,-840000.0,-840000.0,-329000,,-329000,168000.0,-161000,,-161000,-161000,RH,2013-05-31
951586,USD,2013,Q2,2013-09-16,2014-09-11,38712000.0,38712000.0,382098000.0,-242872000.0,139226000.0,-167006000.0,-167006000.0,,,-27780000.0,-1191000.0,-1191000.0,-28971000,,-28971000,11136000.0,-17835000,,-17835000,-17835000,RH,2013-08-31
951586,USD,2013,Q3,2013-12-17,2014-12-11,38888208.0,41053211.0,395832000.0,-255032000.0,140800000.0,-116940000.0,-116940000.0,,,23860000.0,-2165000.0,-2165000.0,21695000,,21695000,-12146000.0,9549000,,9549000,9549000,RH,2013-11-30
951586,USD,2013,Q4,2014-03-31,2016-03-30,39010022.0,43825283.0,471694000.0,-296717000.0,174977000.0,-116717000.0,-116717000.0,,,58260000.0,-1537000.0,-1537000.0,56723000,,56723000,-30081000.0,26642000,,26642000,26642000,RH,2014-02-28
951586,USD,2014,Q1,2014-06-12,2015-06-11,39152923.0,40787726.0,366254000.0,-241905000.0,124349000.0,-119571000.0,-119571000.0,,,4778000.0,-2056000.0,-2056000.0,2722000,,2722000,-927000.0,1795000,,1795000,1795000,RH,2014-05-31
951586,USD,2014,Q2,2014-09-11,2015-09-10,39436255.0,41262629.0,433766000.0,-265857000.0,167909000.0,-118974000.0,-118974000.0,,,48935000.0,-4346000.0,-4346000.0,44589000,,44589000,-17336000.0,27253000,,27253000,27253000,RH,2014-08-31
951586,USD,2014,Q3,2014-12-11,2015-12-10,39507272.0,41392831.0,484675000.0,-304302000.0,180373000.0,-143685000.0,-143685000.0,,,36688000.0,-5210000.0,-5210000.0,31478000,,31478000,-12049000.0,19429000,,19429000,19429000,RH,2014-11-30
951586,USD,2014,Q4,2015-03-27,2017-03-29,39733514.0,42069654.0,582727000.0,-364584000.0,218143000.0,-142818000.0,-142818000.0,,,75325000.0,-5939000.0,-5939000.0,69386000,,69386000,-26861000.0,42525000,,42525000,42525000,RH,2015-02-28
951586,USD,2015,Q1,2015-06-11,2016-06-09,39913946.0,41959718.0,422445000.0,-279027000.0,143418000.0,-126389000.0,-126389000.0,,,17029000.0,-5649000.0,-5649000.0,11380000,,11380000,-4224000.0,7156000,,7156000,7156000,RH,2015-05-31
951586,USD,2015,Q2,2015-09-10,2016-09-08,40045850.0,42243910.0,506942000.0,-312679000.0,194263000.0,-137840000.0,-137840000.0,,,56423000.0,-7406000.0,-7406000.0,49017000,,49017000,-19082000.0,29935000,,29935000,29935000,RH,2015-08-31
951586,USD,2015,Q3,2015-12-10,2016-12-08,40282734.0,42413657.0,532411000.0,-341661000.0,190750000.0,-145874000.0,-145874000.0,,,44876000.0,-11003000.0,-11003000.0,33873000,,33873000,-13163000.0,20710000,,20710000,20710000,RH,2015-11-30
951586,USD,2015,Q4,2016-03-30,2018-03-29,40519262.0,42408951.0,647208000.0,-422947000.0,224261000.0,-157028000.0,-157028000.0,,,67233000.0,-11619000.0,-11619000.0,55614000,,55614000,-22312000.0,33302000,,33302000,33302000,RH,2016-02-29
951586,USD,2016,Q1,2016-06-09,2017-06-02,40588081.0,40588081.0,455456000.0,-327981000.0,127475000.0,-138950000.0,-138950000.0,,,-11475000.0,-10528000.0,-10528000.0,-22003000,,-22003000,8533000.0,-13470000,,-13470000,-13470000,RH,2016-05-31
951586,USD,2016,Q2,2016-09-08,2017-09-07,40646124.0,40820495.0,543381000.0,-363542000.0,179839000.0,-157824000.0,-157824000.0,,,22015000.0,-10909000.0,-10909000.0,11106000,,11106000,-4188000.0,6918000,,6918000,6918000,RH,2016-08-31
951586,USD,2016,Q3,2016-12-08,2017-12-06,40730059.0,40926450.0,549328000.0,-373509000.0,175819000.0,-160433000.0,-160433000.0,,,15386000.0,-11091000.0,-11091000.0,4295000,,4295000,-1778000.0,2517000,,2517000,2517000,RH,2016-11-30
951586,USD,2016,Q4,2017-03-29,2019-03-29,40801668.0,41372334.0,586706000.0,-390052000.0,196654000.0,-169544000.0,-169544000.0,,,27110000.0,-11954000.0,-11954000.0,15156000,,15156000,-5720000.0,9436000,,9436000,9436000,RH,2017-02-28
951586,USD,2017,Q1,2017-06-02,2018-06-12,37609516.0,37609516.0,562080000.0,-391824000.0,170256000.0,-163360000.0,-163360000.0,,,6896000.0,-12179000.0,-12179000.0,-5283000,,-5283000,1913000.0,-3370000,,-3370000,-3370000,RH,2017-05-31
951586,USD,2017,Q2,2017-09-07,2018-09-05,28398307.0,28398307.0,615326000.0,-409513000.0,205813000.0,-193690000.0,-193690000.0,,,12123000.0,-14402000.0,-14402000.0,-2279000,,-2279000,-5583000.0,-7862000,,-7862000,-7862000,RH,2017-08-31
951586,USD,2017,Q3,2017-12-06,2018-12-04,21221848.0,23535617.0,592473000.0,-378148000.0,214325000.0,-171163000.0,-171163000.0,,,43162000.0,-18915000.0,-18915000.0,24247000,-4880000.0,19367000,-6216000.0,13151000,,13151000,13151000,RH,2017-11-30
951586,USD,2017,Q4,2018-03-29,2019-03-29,20984793.0,27469392.0,670295000.0,-411622000.0,258673000.0,-189553000.0,-189553000.0,,,69120000.0,-17074000.0,-17074000.0,52046000,-33700000.0,18346000,-18085000.0,261000,,261000,261000,RH,2018-02-28
951586,USD,2018,Q1,2018-06-12,2019-06-13,21545025.0,25230228.0,557406000.0,-348073000.0,209333000.0,-161186000.0,-161186000.0,,,48147000.0,-15098000.0,-15098000.0,33049000,,33049000,-7588000.0,25461000,,25461000,25461000,RH,2018-05-31
951586,USD,2018,Q2,2018-09-05,2019-09-11,21925702.0,27496561.0,640798000.0,-372454000.0,268344000.0,-186521000.0,-186521000.0,,,81823000.0,-15467000.0,-15467000.0,66356000,-917000.0,65439000,-2533000.0,62906000,,62906000,62906000,RH,2018-08-31
951586,USD,2018,Q3,2018-12-04,2018-12-04,22082141.0,27703319.0,636558000.0,-382047000.0,254511000.0,-207495000.0,-207495000.0,,,47016000.0,-19371000.0,-19371000.0,27645000,,27645000,-5234000.0,22411000,,22411000,22411000,RH,2018-11-30
951586,USD,2018,Q4,2019-03-29,2021-03-30,20901844.0,25702792.0,670891000.0,-417502000.0,253389000.0,-168639000.0,-168639000.0,,,84750000.0,-17833000.0,-17833000.0,66917000,-32086000.0,34831000,-9878000.0,24953000,,24953000,24953000,RH,2019-02-28
951586,USD,2019,Q1,2019-06-13,2019-06-13,19976858.0,24933987.0,598421000.0,-365607000.0,232814000.0,-164181000.0,-164181000.0,,,68633000.0,-21118000.0,-21118000.0,47515000,,47515000,-11793000.0,35722000,,35722000,35722000,RH,2019-05-31
951586,USD,2019,Q2,2019-09-11,2019-09-11,18465876.0,22324112.0,706514000.0,-411556000.0,294958000.0,-190977000.0,-190977000.0,,,103981000.0,-24513000.0,-24513000.0,79468000,954000.0,80422000,-16665000.0,63757000,,63757000,63757000,RH,2019-08-31
951586,USD,2019,Q3,2019-12-05,2020-12-10,18765769.0,24170172.0,677526000.0,-393360000.0,284166000.0,-194929000.0,-194929000.0,,,89237000.0,-21564000.0,-21564000.0,67673000,-6857000.0,60816000,-8353000.0,52463000,,52463000,52463000,RH,2019-11-30
951586,USD,2019,Q4,2020-03-30,2020-03-30,19120709.0,25767865.0,664976000.0,-381903000.0,283073000.0,-182093000.0,-182093000.0,,,100980000.0,-19982000.0,-19982000.0,80998000,-569000.0,80429000,-11996000.0,68433000,,68433000,68433000,RH,2020-02-29
