SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
110931,USD,2016,Q4,2017-02-22,2017-02-22,244860000.0,244860000.0,253522000.0,-247875000.0,5647000.0,-220373000.0,-57027000.0,-13684000.0,-149662000.0,-214726000.0,-46749000.0,-46749000.0,-261475000,5185000.0,-256290000,95581000.0,-160709000,,-160709000,-160709000,RRC,2016-12-31
110931,USD,2017,Q1,2017-04-24,2017-04-24,244652000.0,244803000.0,776655000.0,-268384000.0,508271000.0,-205821000.0,-47496000.0,-8504000.0,-149821000.0,302450000.0,-47101000.0,-47101000.0,255349000,27157000.0,282506000,-112395000.0,170111000,,170111000,170111000,RRC,2017-03-31
110931,USD,2017,Q2,2017-08-01,2017-08-01,245177000.0,245335000.0,673111000.0,-288836000.0,384275000.0,-219324000.0,-52322000.0,-14498000.0,-152504000.0,164951000.0,-47926000.0,-47926000.0,117025000,10176000.0,127201000,-57651000.0,69550000,,69550000,69550000,RRC,2017-06-30
110931,USD,2017,Q3,2017-10-24,2017-10-24,245244000.0,245244000.0,482232000.0,-300299000.0,181933000.0,-235551000.0,-53035000.0,-22767000.0,-159749000.0,-53618000.0,-49179000.0,-49179000.0,-102797000,-96895000.0,-199692000,71992000.0,-127700000,,-127700000,-127700000,RRC,2017-09-30
110931,USD,2017,Q4,2018-02-28,2018-02-28,245291000.0,246450000.0,679032000.0,-301109000.0,377923000.0,-251364000.0,-80553000.0,-7893000.0,-162918000.0,126559000.0,-51473000.0,-51473000.0,75086000,-202981000.0,-127895000,349080000.0,221185000,,221185000,221185000,RRC,2017-12-31
110931,USD,2018,Q1,2018-04-25,2018-04-25,245709000.0,246594000.0,742599000.0,-348270000.0,394329000.0,-238402000.0,-68417000.0,-7719000.0,-162266000.0,155927000.0,-52385000.0,-52385000.0,103542000,-11628000.0,91914000,-42676000.0,49238000,,49238000,49238000,RRC,2018-03-31
110931,USD,2018,Q2,2018-07-30,2018-07-30,245880000.0,245880000.0,656184000.0,-417885000.0,238299000.0,-216108000.0,-47583000.0,-7499000.0,-161026000.0,22191000.0,-53862000.0,-53862000.0,-31671000,-76683000.0,-108354000,28518000.0,-79836000,,-79836000,-79836000,RRC,2018-06-30
110931,USD,2018,Q3,2018-10-23,2018-10-23,246451000.0,247166000.0,811225000.0,-460995000.0,350230000.0,-216287000.0,-43722000.0,-8299000.0,-164266000.0,133943000.0,-54801000.0,-54801000.0,79142000,-6466000.0,72676000,-24137000.0,48539000,,48539000,48539000,RRC,2018-09-30
110931,USD,2018,Q4,2019-02-25,2019-02-25,246644000.0,245044000.0,1072637000.0,-572393000.0,500244000.0,-208599000.0,-50090000.0,-10600000.0,-147909000.0,291645000.0,-49161000.0,-49161000.0,242484000,-2075690000.0,-1833206000,68784000.0,-1764422000,,-1764422000,-1764422000,RRC,2018-12-31
110931,USD,2019,Q1,2019-04-22,2019-04-22,247776000.0,249154000.0,748137000.0,-479497000.0,268640000.0,-193567000.0,-46638000.0,-8211000.0,-138718000.0,75073000.0,-51537000.0,-51537000.0,23536000,-16429000.0,7107000,-5688000.0,1419000,,1419000,1419000,RRC,2019-03-31
110931,USD,2019,Q2,2019-07-25,2019-07-25,247770000.0,248436000.0,851429000.0,-446206000.0,405223000.0,-200245000.0,-50631000.0,-8109000.0,-141505000.0,204978000.0,-51727000.0,-51727000.0,153251000,2033000.0,155284000,-40099000.0,115185000,,115185000,115185000,RRC,2019-06-30
110931,USD,2019,Q3,2019-10-23,2019-10-23,248082000.0,248082000.0,622445000.0,-418931000.0,203514000.0,-189811000.0,-41047000.0,-11013000.0,-137751000.0,13703000.0,-46997000.0,-46997000.0,-33294000,-41506000.0,-74800000,47219000.0,-27581000,,-27581000,-27581000,RRC,2019-09-30
110931,USD,2019,Q4,2020-02-27,2020-02-27,248252000.0,246208000.0,605604000.0,-388798000.0,216806000.0,-183012000.0,-42793000.0,-9350000.0,-130869000.0,33794000.0,-44024000.0,-44024000.0,-10230000,-2293949000.0,-2304179000,498859000.0,-1805320000,,-1805320000,-1805320000,RRC,2019-12-31
110931,USD,2020,Q1,2020-05-01,2021-04-26,246218000.0,247684000.0,693920000.0,-358443000.0,335477000.0,-152317000.0,-42254000.0,-7077000.0,-102986000.0,183160000.0,-47518000.0,-47518000.0,135642000,59551000.0,195193000,-28998000.0,166195000,,166195000,166195000,RRC,2020-03-31
