SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
684669,USD,2010,Q4,2010-12-14,2012-12-18,21625000.0,21632000.0,529125000.0,-430555000.0,98570000.0,-24519000.0,-24519000.0,,,74051000.0,-78000.0,-85000.0,73973000,,73973000,-26173000.0,47800000,,47800000,47800000,SAFM,2010-10-31
684669,USD,2011,Q1,2011-02-24,2012-02-28,22097000.0,22097000.0,405432000.0,-436639000.0,-31207000.0,-20411000.0,-20411000.0,,,-51618000.0,-406000.0,-435000.0,-52024000,,-52024000,18468000.0,-33556000,,-33556000,-33556000,SAFM,2011-01-31
684669,USD,2011,Q2,2011-05-24,2012-05-29,22133000.0,22133000.0,473342000.0,-479366000.0,-6024000.0,-16813000.0,-16813000.0,,,-22837000.0,-1014000.0,-1482000.0,-23851000,,-23851000,7575000.0,-16276000,,-16276000,-16276000,SAFM,2011-04-30
684669,USD,2011,Q3,2011-08-25,2012-08-28,22142000.0,22142000.0,489169000.0,-556596000.0,-67427000.0,-17009000.0,-17009000.0,,,-84436000.0,-2011000.0,-2015000.0,-86447000,,-86447000,30764000.0,-55683000,,-55683000,-55683000,SAFM,2011-07-31
684669,USD,2011,Q4,2011-12-20,2013-12-17,22148000.0,22148000.0,601142000.0,-612647000.0,-11505000.0,-17984000.0,-17984000.0,,,-29489000.0,-2431000.0,-2440000.0,-31920000,,-31920000,10358000.0,-21562000,,-21562000,-21562000,SAFM,2011-10-31
684669,USD,2012,Q1,2012-02-28,2013-02-21,22250000.0,22250000.0,517826000.0,-509004000.0,8822000.0,-17903000.0,-17903000.0,,,-9081000.0,-3524000.0,-2960000.0,-12605000,,-12605000,4616000.0,-7989000,,-7989000,-7989000,SAFM,2012-01-31
684669,USD,2012,Q2,2012-05-29,2013-05-30,22227000.0,22280000.0,595046000.0,-535901000.0,59145000.0,-18165000.0,-18165000.0,,,40980000.0,-2423000.0,-2422000.0,38557000,,38557000,-14692000.0,23865000,,23865000,23865000,SAFM,2012-04-30
684669,USD,2012,Q3,2012-08-28,2013-08-27,22291000.0,22291000.0,624854000.0,-555240000.0,69614000.0,-20704000.0,-20704000.0,,,48910000.0,-1991000.0,-1996000.0,46919000,,46919000,-18198000.0,28721000,,28721000,28721000,SAFM,2012-07-31
684669,USD,2012,Q4,2012-12-18,2014-12-18,22352000.0,22307000.0,648379000.0,-612547000.0,35832000.0,-20325000.0,-20325000.0,,,15507000.0,-1806000.0,-1806000.0,13701000,,13701000,-4354000.0,9347000,,9347000,9347000,SAFM,2012-10-31
684669,USD,2013,Q1,2013-02-21,2014-02-25,22315000.0,22315000.0,595760000.0,-584867000.0,10893000.0,-20565000.0,-20565000.0,,,-9672000.0,-1631000.0,-1802000.0,-11303000,,-11303000,4360000.0,-6943000,,-6943000,-6943000,SAFM,2013-01-31
684669,USD,2013,Q2,2013-05-30,2014-05-29,22371000.0,22371000.0,621195000.0,-562233000.0,58962000.0,-19832000.0,-19832000.0,,,39130000.0,-1923000.0,-1803000.0,37207000,,37207000,-12836000.0,24371000,,24371000,24371000,SAFM,2013-04-30
684669,USD,2013,Q3,2013-08-27,2014-08-26,22380000.0,22380000.0,738964000.0,-605018000.0,133946000.0,-29505000.0,-29505000.0,,,104441000.0,-1377000.0,-1360000.0,103064000,,103064000,-35145000.0,67919000,,67919000,67919000,SAFM,2013-07-31
684669,USD,2013,Q4,2013-12-17,2015-12-17,22386000.0,22386000.0,727061000.0,-624937000.0,102124000.0,-30345000.0,-30345000.0,,,71779000.0,-634000.0,-1144000.0,71145000,,71145000,-25875000.0,45270000,,45270000,45270000,SAFM,2013-10-31
684669,USD,2014,Q1,2014-02-25,2015-02-24,22423000.0,22423000.0,584883000.0,-516085000.0,68798000.0,-23599000.0,-23599000.0,,,45199000.0,-883000.0,-899000.0,44316000,,44316000,-15445000.0,28871000,,28871000,28871000,SAFM,2014-01-31
684669,USD,2014,Q2,2014-05-29,2015-05-28,22441000.0,22441000.0,660717000.0,-552311000.0,108406000.0,-29915000.0,-29915000.0,,,78491000.0,-699000.0,-731000.0,77792000,,77792000,-26804000.0,50988000,,50988000,50988000,SAFM,2014-04-30
684669,USD,2014,Q3,2014-08-26,2015-08-25,22448000.0,22448000.0,768395000.0,-607003000.0,161392000.0,-45687000.0,-45687000.0,,,115705000.0,-423000.0,-424000.0,115282000,,115282000,-39202000.0,76080000,,76080000,76080000,SAFM,2014-07-31
684669,USD,2014,Q4,2014-12-18,2016-12-15,22452000.0,22452000.0,760850000.0,-578499000.0,182351000.0,-39824000.0,-39824000.0,,,142527000.0,-451000.0,-463000.0,142076000,,142076000,-48967000.0,93109000,,93109000,93109000,SAFM,2014-10-31
684669,USD,2015,Q1,2015-02-24,2016-02-25,22557000.0,22557000.0,667363000.0,-526201000.0,141162000.0,-38105000.0,-38105000.0,,,103057000.0,-367000.0,-401000.0,102690000,,102690000,-36187000.0,66503000,,66503000,66503000,SAFM,2015-01-31
684669,USD,2015,Q2,2015-05-28,2016-05-26,22318000.0,22318000.0,716592000.0,-577567000.0,139025000.0,-29503000.0,-29503000.0,,,109522000.0,-644000.0,-673000.0,108878000,,108878000,-37632000.0,71246000,,71246000,71246000,SAFM,2015-04-30
