SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
103225,USD,2009,Q2,2009-08-05,2010-08-05,466799000.0,466799000.0,1203160000.0,-819459000.0,383701000.0,-308164000.0,,,,-202575000.0,399065000.0,,196490000,-355567000.0,-159077000,43110000.0,-115967000,-6542000.0,-122720000,-148520000,SLM,2009-06-30
103225,USD,2009,Q3,2009-11-05,2010-11-08,470280000.0,471058000.0,1199046000.0,-673870000.0,525176000.0,-303130000.0,,,,-99081000.0,150006000.0,,50925000,195223000.0,246148000,-80423000.0,165725000,-6417000.0,159110000,116483000,SLM,2009-09-30
103225,USD,2009,Q4,2010-02-26,2012-02-27,480160000.0,483382000.0,1114184000.0,-515124000.0,599060000.0,-136590000.0,,,,192988000.0,-653529000.0,,-460541000,1161918000.0,701377000,-232204000.0,469173000,-160867000.0,308996000,257818000,SLM,2009-12-31
103225,USD,2010,Q1,2010-05-06,2011-05-06,484259000.0,526631000.0,1385861000.0,-531384000.0,854477000.0,-287635000.0,,,,207722000.0,13800000.0,,221522000,184392000.0,405914000,-159160000.0,246754000,-6614000.0,240140000,221462000,SLM,2010-03-31
103225,USD,2010,Q2,2010-08-05,2011-08-05,484832000.0,527391000.0,1464855000.0,-568933000.0,895922000.0,-309729000.0,,,,203954000.0,-2449000.0,,201505000,342245000.0,543750000,-198978000.0,344772000,-6954000.0,337818000,319107000,SLM,2010-06-30
103225,USD,2010,Q3,2010-11-08,2011-11-04,485000000.0,485000000.0,1511000000.0,-639000000.0,872000000.0,-302000000.0,,,,212000000.0,-4000000.0,,208000000,-828000000.0,-620000000,126000000.0,-494000000,-1000000.0,-495000000,-514000000,SLM,2010-09-30
103225,USD,2010,Q4,2011-05-12,2013-02-26,493909000.0,412978000.0,1392284000.0,-535683000.0,856601000.0,-308636000.0,,,,228324000.0,-1351000.0,,226973000,533363000.0,760336000,-260862000.0,499474000,-52432000.0,447042000,431431000,SLM,2010-12-31
103225,USD,2011,Q1,2011-05-06,2012-05-04,527000000.0,532000000.0,1492000000.0,-594000000.0,898000000.0,-303000000.0,,,,292000000.0,22000000.0,,314000000,-38000000.0,276000000,-99000000.0,177000000,-2000000.0,175000000,171000000,SLM,2011-03-31
103225,USD,2011,Q2,2011-08-05,2012-08-03,524000000.0,524000000.0,1460000000.0,-592000000.0,868000000.0,-268000000.0,,,,309000000.0,3000000.0,,312000000,-339000000.0,-27000000,10000000.0,-17000000,11000000.0,-6000000,-10000000,SLM,2011-06-30
103225,USD,2011,Q3,2011-11-04,2012-11-02,511000000.0,511000000.0,1476000000.0,-591000000.0,885000000.0,-285000000.0,,,,191000000.0,1000000.0,,192000000,-308000000.0,-116000000,46000000.0,-70000000,23000000.0,-47000000,-52000000,SLM,2011-09-30
