SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
355003,USD,2009,Q4,2009-11-24,2011-11-23,65300000.0,67000000.0,288200000.0,-219800000.0,68400000.0,-136400000.0,-133500000.0,,,-68000000.0,-6500000.0,-6500000.0,-74500000,-2000000.0,-76500000,27200000.0,-49300000,34400000.0,-14900000,-14900000,SMG,2009-09-30
355003,USD,2010,Q1,2010-02-11,2011-02-10,65900000.0,65900000.0,252400000.0,-199600000.0,52800000.0,-120100000.0,-126300000.0,,,-67300000.0,-9700000.0,-9700000.0,-77000000,-1700000.0,-78700000,28600000.0,-50100000,-7600000.0,-57700000,-57700000,SMG,2009-12-31
355003,USD,2010,Q2,2010-05-13,2011-05-12,66200000.0,67400000.0,1050700000.0,-635700000.0,415000000.0,-217200000.0,-216700000.0,,,197800000.0,-14100000.0,-14100000.0,183700000,-1100000.0,182600000,-68400000.0,114200000,4300000.0,118500000,118500000,SMG,2010-03-31
355003,USD,2010,Q3,2010-08-12,2011-08-10,66500000.0,67900000.0,1172600000.0,-690800000.0,481800000.0,-200200000.0,-201300000.0,,,281600000.0,-11200000.0,-11200000.0,270400000,-1500000.0,268900000,-99400000.0,169500000,6400000.0,175900000,175900000,SMG,2010-06-30
355003,USD,2010,Q4,2010-11-24,2012-11-20,66600000.0,69200000.0,397300000.0,-261300000.0,136000000.0,-149500000.0,-148300000.0,,,-13500000.0,-8200000.0,-8200000.0,-21700000,-19900000.0,-41600000,15700000.0,-25900000,-6700000.0,-32600000,-32600000,SMG,2010-09-30
355003,USD,2011,Q1,2011-02-10,2012-02-08,66300000.0,66300000.0,230200000.0,-181100000.0,49100000.0,-142700000.0,-143200000.0,,,-93600000.0,-9500000.0,-9500000.0,-103100000,-900000.0,-104000000,37300000.0,-66700000,-1200000.0,-67900000,-67900000,SMG,2010-12-31
355003,USD,2011,Q2,2011-05-12,2012-05-08,65800000.0,67600000.0,1129600000.0,-666900000.0,462700000.0,-215900000.0,-216200000.0,,,246800000.0,-13800000.0,-13800000.0,233000000,-1200000.0,231800000,-83200000.0,148600000,29000000.0,177600000,177600000,SMG,2011-03-31
355003,USD,2011,Q3,2011-08-10,2012-08-09,64500000.0,66200000.0,1058700000.0,-658600000.0,400100000.0,-188200000.0,-192400000.0,,,211900000.0,-14000000.0,-14000000.0,197900000,-20700000.0,177200000,-65500000.0,111700000,-100000.0,111600000,111600000,SMG,2011-06-30
355003,USD,2011,Q4,2011-11-23,2013-11-20,62200000.0,64700000.0,381200000.0,-283900000.0,97300000.0,-138600000.0,-134500000.0,,,-41300000.0,-13700000.0,-13700000.0,-55000000,-27400000.0,-82400000,28700000.0,-53700000,300000.0,-53400000,-53400000,SMG,2011-09-30
355003,USD,2012,Q1,2012-02-08,2013-02-07,60900000.0,60900000.0,199600000.0,-174000000.0,25600000.0,-121900000.0,-122500000.0,,,-96300000.0,-15300000.0,-15300000.0,-111600000,-2700000.0,-114300000,41200000.0,-73100000,-800000.0,-73900000,-73900000,SMG,2011-12-31
