SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
1136135,USD,2016,Q4,2017-02-11,2019-02-26,158001000.0,158362000.0,1069824000.0,-738089000.0,331735000.0,-243807000.0,,,-68262000.0,87928000.0,-7338000.0,-5712000.0,80590000,,80590000,-32796000.0,47794000,,47794000,47794000,SNDR,2016-12-31
1136135,USD,2017,Q1,2017-05-12,2018-04-30,156419000.0,156800000.0,1006400000.0,-738200000.0,268200000.0,-224700000.0,,,-67900000.0,43500000.0,-5600000.0,-5500000.0,37900000,,37900000,-15300000.0,22600000,,22600000,22600000,SNDR,2017-03-31
1136135,USD,2017,Q2,2017-08-01,2018-08-03,174400000.0,174453000.0,1075200000.0,-763600000.0,311600000.0,-232600000.0,,,-68600000.0,79000000.0,-4400000.0,-4600000.0,74600000,,74600000,-28100000.0,46500000,,46500000,46500000,SNDR,2017-06-30
1136135,USD,2017,Q3,2017-11-08,2018-11-02,176900000.0,177000000.0,1110800000.0,-787600000.0,323200000.0,-259100000.0,,,-70500000.0,64100000.0,-3400000.0,-3600000.0,60700000,,60700000,-23800000.0,36900000,,36900000,36900000,SNDR,2017-09-30
1136135,USD,2017,Q4,2018-02-27,2020-02-19,176681000.0,176947000.0,1191200000.0,-844900000.0,346300000.0,-252600000.0,,,-72000000.0,93700000.0,-3500000.0,-3700000.0,90200000,,90200000,193700000.0,283900000,,283900000,283900000,SNDR,2017-12-31
1136135,USD,2018,Q1,2018-04-30,2019-05-02,176900000.0,177200000.0,1139000000.0,-821000000.0,318000000.0,-250400000.0,,,-71700000.0,67600000.0,-3100000.0,-3500000.0,64500000,,64500000,-16900000.0,47600000,,47600000,47600000,SNDR,2018-03-31
1136135,USD,2018,Q2,2018-08-03,2019-08-01,177000000.0,177200000.0,1236300000.0,-888600000.0,347700000.0,-256000000.0,,,-71900000.0,91700000.0,-3400000.0,-3900000.0,88300000,,88300000,-22500000.0,65800000,,65800000,65800000,SNDR,2018-06-30
1136135,USD,2018,Q3,2018-11-02,2019-10-31,177000000.0,177200000.0,1280100000.0,-925700000.0,354400000.0,-256500000.0,,,-73300000.0,97900000.0,-2600000.0,-2700000.0,95300000,,95300000,-24600000.0,70700000,,70700000,70700000,SNDR,2018-09-30
1136135,USD,2018,Q4,2019-02-26,2021-02-19,177100000.0,177200000.0,1321600000.0,-934800000.0,386800000.0,-266200000.0,,,-74400000.0,120600000.0,-2100000.0,-2400000.0,118500000,-2000000.0,116500000,-31700000.0,84800000,,84800000,84800000,SNDR,2018-12-31
1136135,USD,2019,Q1,2019-05-02,2020-04-30,177000000.0,177400000.0,1194100000.0,-861100000.0,333000000.0,-281500000.0,,,-73400000.0,51500000.0,-2100000.0,-1700000.0,49400000,,49400000,-12500000.0,36900000,,36900000,36900000,SNDR,2019-03-31
1136135,USD,2019,Q2,2019-08-01,2020-07-30,177100000.0,177400000.0,1212700000.0,-866300000.0,346400000.0,-262600000.0,,,-74900000.0,83800000.0,-3300000.0,-3000000.0,80500000,-34600000.0,45900000,-11400000.0,34500000,,34500000,34500000,SNDR,2019-06-30
1136135,USD,2019,Q3,2019-10-31,2020-10-29,177100000.0,177300000.0,1183900000.0,-839600000.0,344300000.0,-264900000.0,,,-74100000.0,79400000.0,-2300000.0,-1800000.0,77100000,-50400000.0,26700000,-7000000.0,19700000,,19700000,19700000,SNDR,2019-09-30
1136135,USD,2019,Q4,2020-02-19,2021-02-19,177200000.0,177100000.0,1156300000.0,-825100000.0,331200000.0,-239800000.0,,,-70500000.0,91400000.0,-2000000.0,-1600000.0,89400000,-13300000.0,76100000,-20200000.0,55900000,,55900000,55900000,SNDR,2019-12-31
1136135,USD,2020,Q1,2020-04-30,2021-04-29,177100000.0,177400000.0,1119100000.0,-743999999.0,375100001.0,-321400000.0,-161500000.0,,-69800000.0,53700001.0,3400000.0,-2000000.0,57100001,1200000.0,58300001,-14500000.0,43800001,,43800001,43800001,SNDR,2020-03-31
