SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
158088,USD,2011,Q2,2011-08-10,2012-08-09,9617116.0,9977328.0,23129720.0,-16352617.0,6777103.0,-2998437.0,-848527.0,,-2149910.0,3778666.0,-2882500.0,-2715519.0,896166,-351333.0,544833,-788334.0,-243501,,-182562,-182562,SOHO,2011-06-30
158088,USD,2011,Q3,2011-11-09,2012-11-07,9701786.0,9802378.0,20015186.0,-15655010.0,4360176.0,-3536333.0,-1348792.0,,-2187541.0,823843.0,-3026542.0,-2743003.0,-2202699,636106.0,-1566593,71692.0,-1494901,,-1117042,-1117042,SOHO,2011-09-30
158088,USD,2011,Q4,2012-03-20,2014-03-25,9827918.0,9367114.0,19492026.0,-15268152.0,4223874.0,-3113334.0,-871382.0,,-2241952.0,1110540.0,-2665005.0,-2765994.0,-1554465,-1705535.0,-3260000,-140372.0,-3400372,,-2555524,-2555524,SOHO,2011-12-31
158088,USD,2012,Q1,2012-05-02,2013-05-08,9983105.0,10188737.0,20025146.0,-15407454.0,4617692.0,-3311550.0,-1131587.0,,-2179963.0,1306142.0,-3018153.0,-3283947.0,-1712011,-1163758.0,-2875769,-104575.0,-2980344,,-2294355,-2294355,SOHO,2012-03-31
158088,USD,2012,Q2,2012-08-09,2013-08-07,9999786.0,10623642.0,25112522.0,-17252364.0,7860158.0,-3158539.0,-962948.0,,-2195591.0,4701619.0,-4368643.0,-4280563.0,332976,-1521142.0,-1188166,-958146.0,-2146312,,-1653654,-1653654,SOHO,2012-06-30
158088,USD,2012,Q3,2012-11-07,2013-11-07,9999786.0,10801390.0,21771213.0,-16449252.0,5321961.0,-3128480.0,-978473.0,,-2150007.0,2193481.0,-2600950.0,-2438487.0,-407469,-1659750.0,-2067219,-27979.0,-2095198,,-1615020,-1615020,SOHO,2012-09-30
158088,USD,2012,Q4,2013-03-20,2015-04-14,9999875.0,8368783.0,20434339.0,-15331505.0,5102834.0,-3142026.0,-1005818.0,,-2136208.0,1960808.0,-217920.0,-380807.0,1742888,224918.0,1967806,-155697.0,1812109,,1395152,1395152,SOHO,2012-12-31
158088,USD,2013,Q1,2013-05-08,2014-05-14,10080375.0,10080375.0,20189812.0,-15159948.0,5029864.0,-3146608.0,-1093787.0,,-2052821.0,1883256.0,-2206902.0,-2676641.0,-323646,-2769065.0,-3092711,-263055.0,-3355766,,-2594916,-2594916,SOHO,2013-03-31
158088,USD,2013,Q2,2013-08-07,2014-08-06,10156927.0,11132542.0,25250643.0,-17130283.0,8120360.0,-3154734.0,-1123684.0,,-2031050.0,4965626.0,-2241613.0,-2328990.0,2724013,88855.0,2812868,-1111818.0,1701050,,1310592,1310592,SOHO,2013-06-30
158088,USD,2013,Q3,2013-11-07,2014-11-05,10181927.0,10181927.0,21458637.0,-16218996.0,5239641.0,-2904551.0,-866551.0,,-2038000.0,2335090.0,-4018186.0,-3895549.0,-1683096,-340750.0,-2023846,-93962.0,-2117808,,-1649722,-1649722,SOHO,2013-09-30
