SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
992009,USD,2010,Q2,2010-07-29,2011-08-05,101511000.0,102484000.0,1010116000.0,-817592000.0,192524000.0,-99639000.0,-99639000.0,,,92885000.0,-8558000.0,-8558000.0,84327000,-2511000.0,81816000,-25851000.0,58956000,,58953000,58953000,SON,2010-06-30
992009,USD,2010,Q3,2010-10-25,2011-11-02,101693000.0,102684000.0,1051725000.0,-852141000.0,199584000.0,-102533000.0,-102533000.0,,,97051000.0,-8444000.0,-8444000.0,88607000,-12166000.0,76441000,-21091000.0,59221000,,59019000,59019000,SON,2010-09-30
992009,USD,2010,Q4,2011-02-28,2013-03-01,102027000.0,103162000.0,1127147000.0,-927481000.0,199666000.0,-107048000.0,-107048000.0,,,92618000.0,-9667000.0,-9667000.0,82951000,-53992000.0,28959000,2368000.0,34744000,,34509000,34509000,SON,2010-12-31
992009,USD,2011,Q1,2011-05-03,2012-05-01,101310000.0,102754000.0,1117323000.0,-923114000.0,194209000.0,-102298000.0,-102298000.0,,,91911000.0,-8737000.0,-8737000.0,83174000,-2317000.0,80857000,-25184000.0,57637000,,57391000,57391000,SON,2011-03-31
992009,USD,2011,Q2,2011-08-05,2012-08-01,100891000.0,101982000.0,1127865000.0,-936775000.0,191090000.0,-99273000.0,-99273000.0,,,91817000.0,-8174000.0,-8174000.0,83643000,-9578000.0,74065000,-23775000.0,53706000,,53408000,53408000,SON,2011-06-30
992009,USD,2011,Q3,2011-11-02,2012-11-01,101004000.0,101959000.0,1124171000.0,-937431000.0,186740000.0,-89924000.0,-89924000.0,,,96816000.0,-8334000.0,-8334000.0,88482000,-12048000.0,76434000,-2344000.0,77173000,,77203000,77203000,SON,2011-09-30
992009,USD,2011,Q4,2012-02-29,2014-03-03,101079000.0,101997000.0,1129573000.0,-944829000.0,184744000.0,-105982000.0,-105982000.0,,,78762000.0,-12829000.0,-12829000.0,65933000,-12883000.0,53050000,-27120000.0,29528000,,29515000,29515000,SON,2011-12-31
992009,USD,2012,Q1,2012-05-01,2013-05-01,101455000.0,102600000.0,1212370000.0,-995509000.0,216861000.0,-122806000.0,-122806000.0,,,94055000.0,-15421000.0,-15421000.0,78634000,-15212000.0,63422000,-21897000.0,42912000,,43068000,43068000,SON,2012-03-31
992009,USD,2012,Q2,2012-08-01,2013-07-31,101812000.0,102569000.0,1202359000.0,-985817000.0,216542000.0,-118554000.0,-118554000.0,,,97988000.0,-15248000.0,-15248000.0,82740000,-9396000.0,73344000,-25905000.0,51351000,,51323000,51323000,SON,2012-06-30
992009,USD,2012,Q3,2012-11-01,2013-10-31,101892000.0,102544000.0,1195530000.0,-989301000.0,206229000.0,-110330000.0,-110330000.0,,,95899000.0,-14852000.0,-14852000.0,81047000,444000.0,81491000,-25399000.0,59029000,,58836000,58836000,SON,2012-09-30
992009,USD,2012,Q4,2013-03-01,2015-03-02,102057000.0,102579000.0,1175870000.0,-971870000.0,204000000.0,-112025000.0,-112025000.0,,,91975000.0,-14464000.0,-14464000.0,77511000,-8694000.0,68817000,-30558000.0,42828000,,42783000,42783000,SON,2012-12-31
992009,USD,2013,Q1,2013-05-01,2014-04-30,102273000.0,102814000.0,1179213000.0,-973497000.0,205716000.0,-120011000.0,-120011000.0,,,85705000.0,-14268000.0,-14268000.0,71437000,-4289000.0,67148000,-21252000.0,47793000,,48139000,48139000,SON,2013-03-31
992009,USD,2013,Q2,2013-07-31,2014-07-29,102640000.0,102977000.0,1226256000.0,-1003692000.0,222564000.0,-121848000.0,-121848000.0,,,100716000.0,-14407000.0,-14407000.0,86309000,-8678000.0,77631000,-26409000.0,55046000,,54988000,54988000,SON,2013-06-30
992009,USD,2013,Q3,2013-10-31,2014-10-29,102835000.0,103510000.0,1227749000.0,-1003712000.0,224037000.0,-117935000.0,-117935000.0,,,106102000.0,-14286000.0,-14286000.0,91816000,-5818000.0,85998000,-27085000.0,61425000,,61240000,61240000,SON,2013-09-30
992009,USD,2013,Q4,2014-03-03,2016-02-29,102560000.0,103691000.0,1228439000.0,-1019112000.0,209327000.0,-127377000.0,-127377000.0,,,81950000.0,-13765000.0,-13765000.0,68185000,-6253000.0,61932000,-18885000.0,46843000,,45458000,45458000,SON,2013-12-31
992009,USD,2014,Q1,2014-04-30,2015-04-29,102771000.0,103767000.0,1185626000.0,-973323000.0,212303000.0,-123750000.0,-123750000.0,,,88553000.0,-12643000.0,-12643000.0,75910000,-1992000.0,73918000,-23169000.0,52225000,,52302000,52302000,SON,2014-03-31
992009,USD,2014,Q2,2014-07-29,2015-08-26,102461000.0,103446000.0,1247616000.0,-1018666000.0,228950000.0,-126455000.0,-126455000.0,,,102495000.0,-13135000.0,-13135000.0,89360000,-3671000.0,85689000,-29271000.0,59544000,,59419000,59419000,SON,2014-06-30
992009,USD,2014,Q3,2014-10-29,2015-10-28,102128000.0,103087000.0,1262503000.0,-1040059000.0,222444000.0,-110507000.0,-110507000.0,,,111937000.0,-12918000.0,-12918000.0,99019000,-5908000.0,93111000,-27539000.0,67866000,,67056000,67056000,SON,2014-09-30
992009,USD,2014,Q4,2015-02-26,2017-03-01,101500000.0,102388000.0,1321249000.0,-1077060000.0,244189000.0,-146284000.0,-146284000.0,,,97905000.0,-13695000.0,-13695000.0,84210000,-11221000.0,72989000,-28779000.0,47200000,,47139000,47139000,SON,2014-12-31
992009,USD,2015,Q1,2015-05-29,2016-05-06,101283000.0,102167000.0,1206052000.0,-985662000.0,220390000.0,-96665000.0,-96665000.0,,,123725000.0,-13221000.0,-13221000.0,110504000,359000.0,110863000,-26221000.0,85688000,,85780000,85780000,SON,2015-03-31
992009,USD,2015,Q2,2015-08-26,2016-08-03,101428000.0,102424000.0,1248590000.0,-1008274000.0,240316000.0,-130887000.0,-130887000.0,,,109429000.0,-13601000.0,-13601000.0,95828000,-10445000.0,85383000,-24023000.0,64629000,,64379000,64379000,SON,2015-06-30
992009,USD,2015,Q3,2015-10-28,2016-11-02,101548000.0,102405000.0,1242592000.0,-1013219000.0,229373000.0,-130341000.0,-130341000.0,,,99032000.0,-13687000.0,-13687000.0,85345000,-19551000.0,65794000,-24775000.0,43995000,,43914000,43914000,SON,2015-09-30
992009,USD,2015,Q4,2016-02-29,2018-02-28,101669000.0,102572000.0,1267135000.0,-1027792000.0,239343000.0,-138348000.0,-138348000.0,,,100995000.0,-14089000.0,-14089000.0,86906000,-21000000.0,65906000,-12719000.0,56312000,,56063000,56063000,SON,2015-12-31
992009,USD,2016,Q1,2016-05-06,2017-05-03,101628000.0,102329000.0,1226276000.0,-981023000.0,245253000.0,-134193000.0,-134193000.0,,,111060000.0,-13787000.0,-13787000.0,97273000,-9228000.0,88045000,-29194000.0,60190000,,59914000,59914000,SON,2016-03-31
992009,USD,2016,Q2,2016-08-03,2017-08-02,101281000.0,101873000.0,1205680000.0,-963667000.0,242013000.0,-126611000.0,-126611000.0,,,115402000.0,-13544000.0,-13544000.0,101858000,-23278000.0,78580000,-24790000.0,56718000,,56252000,56252000,SON,2016-06-30
992009,USD,2016,Q3,2016-11-02,2017-11-01,100925000.0,101579000.0,1208724000.0,-973351000.0,235373000.0,-121583000.0,-121583000.0,,,113790000.0,-12437000.0,-12437000.0,101353000,-8947000.0,92406000,-29618000.0,65978000,,65395000,65395000,SON,2016-09-30
992009,USD,2016,Q4,2017-03-01,2019-02-28,100538000.0,101347000.0,1142197000.0,-918553000.0,223644000.0,-120662000.0,-120662000.0,,,102982000.0,-23598000.0,-11789000.0,79384000,102862000.0,182246000,-81029000.0,104995000,,104873000,104873000,SON,2016-12-31
992009,USD,2017,Q1,2017-05-03,2018-05-02,100112000.0,100980000.0,1172324000.0,-949345000.0,222979000.0,-125209000.0,-125209000.0,,,97770000.0,-15744000.0,-12058000.0,82026000,-4111000.0,77915000,-25539000.0,54330000,,53733000,53733000,SON,2017-03-31
992009,USD,2017,Q2,2017-08-02,2018-08-01,100258000.0,100717000.0,1240674000.0,-1002289000.0,238385000.0,-125308000.0,-125308000.0,,,113077000.0,-47202000.0,-12792000.0,65875000,-7897000.0,57978000,-17167000.0,43656000,,43125000,43125000,SON,2017-06-30
992009,USD,2017,Q3,2017-11-01,2018-10-31,100275000.0,100684000.0,1324634000.0,-1071755000.0,252879000.0,-129136000.0,-129136000.0,,,123743000.0,-16797000.0,-13647000.0,106946000,-511000.0,106435000,-35545000.0,73411000,,72812000,72812000,SON,2017-09-30
992009,USD,2017,Q4,2018-02-28,2020-02-28,100303000.0,101027000.0,1299018000.0,-1054609000.0,244409000.0,-128171000.0,-128171000.0,,,116238000.0,-18112000.0,-14248000.0,98126000,-25900000.0,72226000,-68338000.0,6050000,,5675000,5675000,SON,2017-12-31
992009,USD,2018,Q1,2018-05-02,2019-05-01,100396000.0,100896000.0,1304187000.0,-1053585000.0,250602000.0,-137441000.0,-137441000.0,,,113161000.0,-13064000.0,-13355000.0,100097000,-3063000.0,97034000,-23356000.0,74925000,,74055000,74055000,SON,2018-03-31
992009,USD,2018,Q2,2018-08-01,2019-07-31,100568000.0,101040000.0,1366373000.0,-1089913000.0,276460000.0,-141031000.0,-141031000.0,,,135429000.0,-15640000.0,-15127000.0,119789000,-3567000.0,116222000,-30293000.0,89645000,,89412000,89412000,SON,2018-06-30
992009,USD,2018,Q3,2018-10-31,2019-10-30,100640000.0,101040000.0,1364762000.0,-1105126000.0,259636000.0,-136002000.0,-136002000.0,,,123634000.0,-14477000.0,-14502000.0,109157000,-22061000.0,87096000,-18325000.0,72820000,,72415000,72415000,SON,2018-09-30
992009,USD,2018,Q4,2019-02-28,2021-02-26,100552000.0,101088000.0,1355616000.0,-1101308000.0,254308000.0,-148832000.0,-148832000.0,,,105476000.0,-15917000.0,-15173000.0,89559000,-11380000.0,78179000,-3034000.0,77349000,,77678000,77678000,SON,2018-12-31
992009,USD,2019,Q1,2019-05-01,2020-05-06,100640000.0,101072000.0,1351705000.0,-1081584000.0,270121000.0,-142561000.0,-142561000.0,,,127560000.0,-21426000.0,-15385000.0,106134000,-10672000.0,95462000,-22624000.0,73768000,,73663000,73663000,SON,2019-03-31
992009,USD,2019,Q2,2019-07-31,2019-07-31,100759000.0,101178000.0,1359721000.0,-1084385000.0,275336000.0,-132213000.0,-132213000.0,,,143123000.0,-21502000.0,-15952000.0,121621000,-13355000.0,108266000,-28491000.0,81286000,,81159000,81159000,SON,2019-06-30
992009,USD,2019,Q3,2019-10-30,2019-10-30,100778000.0,101186000.0,1353931000.0,-1088446000.0,265485000.0,-120322000.0,-120322000.0,,,145163000.0,-21966000.0,-14756000.0,123197000,-6615000.0,116582000,-26098000.0,92283000,,92064000,92064000,SON,2019-09-30
992009,USD,2019,Q4,2020-02-28,2021-02-26,100791000.0,101268000.0,1308850000.0,-1061963000.0,246887000.0,-135771000.0,-135771000.0,,,111116000.0,-21422000.0,-15510000.0,89694000,-29238000.0,60456000,-16056000.0,45331000,,44899000,44899000,SON,2019-12-31
992009,USD,2020,Q1,2020-05-06,2021-05-04,100855000.0,101071000.0,1303296000.0,-1036706000.0,266590000.0,-123888000.0,-123888000.0,,,142702000.0,-23624000.0,-16045000.0,119078000,-12599000.0,106479000,-26756000.0,80236000,,80445000,80445000,SON,2020-03-31
