SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
133865,USD,2013,Q1,2013-05-15,2014-05-14,12312000.0,12312000.0,134000.0,,134000.0,-2648000.0,-1250000.0,-1398000.0,,-2514000.0,-8000.0,-8000.0,-2522000,,-2522000,,-2522000,,-2522000,-2522000,SRNE,2013-03-31
133865,USD,2013,Q2,2013-08-13,2014-08-06,13443000.0,13443000.0,142000.0,0.0,142000.0,-3649000.0,-1508000.0,-2141000.0,,-3507000.0,-20000.0,-20000.0,-3527000,-1210000.0,-4737000,,-4737000,,-4737000,-4737000,SRNE,2013-06-30
133865,USD,2013,Q3,2013-11-14,2014-11-04,14135000.0,14135000.0,83000.0,0.0,83000.0,-3196000.0,-1114000.0,-2082000.0,,-3113000.0,-49000.0,-49000.0,-3162000,-194000.0,-3356000,,-3356000,,-3356000,-3356000,SRNE,2013-09-30
133865,USD,2013,Q4,2014-04-01,2016-03-15,20294000.0,20294000.0,101000.0,-4000.0,97000.0,-11827000.0,-2445000.0,-9382000.0,,-11730000.0,-166000.0,-166000.0,-11896000,600000.0,-11296000,0.0,-11296000,,-11296000,-11296000,SRNE,2013-12-31
133865,USD,2014,Q1,2014-05-14,2015-05-05,23051000.0,23051000.0,976000.0,-563000.0,413000.0,-9492000.0,-3385000.0,-6107000.0,,-9079000.0,-219000.0,-219000.0,-9298000,-795000.0,-10093000,0.0,-10093000,,-10093000,-10093000,SRNE,2014-03-31
133865,USD,2014,Q2,2014-08-06,2015-08-07,25341000.0,25341000.0,775000.0,-510000.0,265000.0,-7670000.0,-2361000.0,-5309000.0,,-7405000.0,-463000.0,-463000.0,-7868000,-586000.0,-8454000,0.0,-8454000,,-8454000,-8454000,SRNE,2014-06-30
133865,USD,2014,Q3,2014-11-04,2015-11-16,28533000.0,28533000.0,1276000.0,-527000.0,749000.0,-7294000.0,-1854000.0,-5440000.0,,-6545000.0,-474000.0,-474000.0,-7019000,-586000.0,-7605000,0.0,-7605000,,-7605000,-7605000,SRNE,2014-09-30
133865,USD,2014,Q4,2015-03-16,2017-03-27,29791000.0,29791000.0,798000.0,-443000.0,355000.0,-9723000.0,-2387000.0,-7336000.0,,-9368000.0,-461000.0,-461000.0,-9829000,-378000.0,-10207000,1702000.0,-8505000,,-8505000,-8505000,SRNE,2014-12-31
133865,USD,2015,Q1,2015-05-05,2016-05-10,36206000.0,36206000.0,977000.0,-509000.0,468000.0,-10059000.0,-2219000.0,-7840000.0,,-9591000.0,-439000.0,-439000.0,-10030000,-586000.0,-10616000,178000.0,-10438000,,-10438000,-10438000,SRNE,2015-03-31
133865,USD,2015,Q2,2015-08-07,2016-08-08,36315000.0,36315000.0,1173000.0,-314000.0,859000.0,-11043000.0,-3072000.0,-7971000.0,,-10184000.0,-442000.0,-442000.0,-10626000,-349000.0,-10975000,17000.0,-10958000,,-10958000,-10958000,SRNE,2015-06-30
