SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
849329,USD,2011,Q2,2011-08-04,2012-08-07,35443000.0,36439000.0,16269000.0,-5408000.0,10861000.0,-9691000.0,-8105000.0,-1393000.0,,1170000.0,160000.0,-148000.0,1330000,,1330000,-469000.0,861000,,861000,861000,STAA,2011-06-30
849329,USD,2011,Q3,2011-11-02,2012-11-05,35539000.0,36953000.0,15266000.0,-4816000.0,10450000.0,-9713000.0,-8122000.0,-1454000.0,,737000.0,-446000.0,-127000.0,291000,,291000,-214000.0,77000,,77000,77000,STAA,2011-09-30
849329,USD,2011,Q4,2012-03-08,2014-03-12,35566000.0,37731000.0,16381000.0,-4952000.0,11429000.0,-10761000.0,-8575000.0,-1589000.0,,668000.0,-188000.0,-76000.0,480000,,480000,-370000.0,110000,,110000,110000,STAA,2011-12-31
849329,USD,2012,Q1,2012-05-03,2013-05-03,36071000.0,38420000.0,15509000.0,-4607000.0,10902000.0,-10624000.0,-8523000.0,-1546000.0,,278000.0,186000.0,-95000.0,464000,,464000,-232000.0,232000,,232000,232000,STAA,2012-03-31
849329,USD,2012,Q2,2012-08-07,2013-08-06,36257000.0,36257000.0,15942000.0,-4897000.0,11045000.0,-11209000.0,-8999000.0,-1513000.0,,-164000.0,0.0,-60000.0,-164000,,-164000,-327000.0,-491000,,-491000,-491000,STAA,2012-06-30
849329,USD,2012,Q3,2012-11-05,2013-11-01,36292000.0,36292000.0,15866000.0,-4690000.0,11176000.0,-11267000.0,-8957000.0,-1582000.0,,-91000.0,220000.0,-58000.0,129000,,129000,-219000.0,-90000,,-90000,-90000,STAA,2012-09-30
849329,USD,2012,Q4,2013-03-12,2015-03-13,36392000.0,34043000.0,16466000.0,-5298000.0,11168000.0,-12411000.0,-9952000.0,-1803000.0,,-1243000.0,295000.0,-19000.0,-948000,,-948000,-466000.0,-1414000,,-1414000,-1414000,STAA,2012-12-31
849329,USD,2013,Q1,2013-05-03,2014-05-13,36427000.0,37418000.0,18001000.0,-5347000.0,12654000.0,-11570000.0,-9244000.0,-1366000.0,,1084000.0,-299000.0,-48000.0,785000,,785000,-314000.0,471000,,471000,471000,STAA,2013-03-31
849329,USD,2013,Q2,2013-08-06,2014-07-31,36496000.0,38342000.0,18164000.0,-5544000.0,12620000.0,-11926000.0,-9582000.0,-1686000.0,,694000.0,183000.0,-33000.0,877000,,877000,-599000.0,278000,,278000,278000,STAA,2013-06-30
849329,USD,2013,Q3,2013-11-01,2014-11-07,36750000.0,39284000.0,17106000.0,-5047000.0,12059000.0,-11886000.0,-9667000.0,-1684000.0,,173000.0,327000.0,-29000.0,500000,,500000,25000.0,525000,,525000,525000,STAA,2013-09-30
849329,USD,2013,Q4,2014-03-12,2016-03-11,37151000.0,39384000.0,18944000.0,-5968000.0,12976000.0,-14227000.0,-12166000.0,-1972000.0,,-1251000.0,203000.0,-1000.0,-1048000,,-1048000,172000.0,-876000,,-876000,-876000,STAA,2013-12-31
849329,USD,2014,Q1,2014-05-13,2015-05-12,37794000.0,37794000.0,20178000.0,-6294000.0,13884000.0,-15226000.0,-11534000.0,-3484000.0,,-1342000.0,202000.0,-24000.0,-1140000,,-1140000,-219000.0,-1359000,,-1359000,-1359000,STAA,2014-03-31
849329,USD,2014,Q2,2014-07-31,2015-08-07,38168000.0,38168000.0,20048000.0,-6381000.0,13667000.0,-15057000.0,-12394000.0,-2498000.0,,-1390000.0,-32000.0,-24000.0,-1422000,,-1422000,-367000.0,-1789000,,-1789000,-1789000,STAA,2014-06-30
849329,USD,2014,Q3,2014-11-07,2015-11-04,38369000.0,38369000.0,18188000.0,-6319000.0,11869000.0,-13422000.0,-10285000.0,-3137000.0,,-1553000.0,-605000.0,-28000.0,-2158000,,-2158000,-548000.0,-2706000,,-2706000,-2706000,STAA,2014-09-30
849329,USD,2014,Q4,2015-03-13,2017-03-02,38033000.0,38033000.0,16573000.0,-7170000.0,9403000.0,-13145000.0,-9953000.0,-3244000.0,,-3742000.0,-183000.0,-27000.0,-3925000,,-3925000,1387000.0,-2538000,,-2538000,-2538000,STAA,2014-12-31
849329,USD,2015,Q1,2015-05-12,2016-05-11,38481000.0,38481000.0,18858000.0,-5959000.0,12899000.0,-14409000.0,-10830000.0,-3579000.0,,-1510000.0,-858000.0,-36000.0,-2368000,,-2368000,28000.0,-2340000,,-2340000,-2340000,STAA,2015-03-31
849329,USD,2015,Q2,2015-08-07,2016-08-03,39066000.0,39066000.0,18657000.0,-6296000.0,12361000.0,-14104000.0,-10568000.0,-3536000.0,,-1743000.0,297000.0,16000.0,-1446000,,-1446000,-153000.0,-1599000,,-1599000,-1599000,STAA,2015-06-30
849329,USD,2015,Q3,2015-11-04,2016-11-03,39727000.0,39727000.0,18750000.0,-5951000.0,12799000.0,-14821000.0,-11137000.0,-3684000.0,,-2022000.0,259000.0,-28000.0,-1763000,,-1763000,11000.0,-1752000,,-1752000,-1752000,STAA,2015-09-30
849329,USD,2015,Q4,2016-03-11,2018-02-28,39766000.0,39766000.0,20858000.0,-6194000.0,14664000.0,-14726000.0,-10764000.0,-3962000.0,,-62000.0,34000.0,-30000.0,-28000,,-28000,-814000.0,-842000,,-842000,-842000,STAA,2015-12-31
849329,USD,2016,Q1,2016-05-11,2017-05-03,39983000.0,39983000.0,19269000.0,-6276000.0,12993000.0,-23046000.0,-16140000.0,-6906000.0,,-10053000.0,408000.0,-28000.0,-9645000,,-9645000,1604000.0,-8041000,,-8041000,-8041000,STAA,2016-03-31
849329,USD,2016,Q2,2016-08-03,2017-08-02,40210000.0,40210000.0,20974000.0,-6348000.0,14626000.0,-16768000.0,-12109000.0,-4659000.0,,-2142000.0,-132000.0,-29000.0,-2274000,,-2274000,131000.0,-2143000,,-2143000,-2143000,STAA,2016-06-30
849329,USD,2016,Q3,2016-11-03,2017-11-08,40486000.0,40486000.0,20052000.0,-5180000.0,14872000.0,-16587000.0,-12134000.0,-4453000.0,,-1715000.0,8000.0,-29000.0,-1707000,,-1707000,-71000.0,-1778000,,-1778000,-1778000,STAA,2016-09-30
849329,USD,2016,Q4,2017-03-02,2019-02-21,40637000.0,40637000.0,22137000.0,-6259000.0,15878000.0,-14623000.0,-9973000.0,-4650000.0,,1255000.0,-73000.0,-26000.0,1182000,,1182000,-1349000.0,-167000,,-167000,-167000,STAA,2016-12-31
849329,USD,2017,Q1,2017-05-03,2018-05-02,40749000.0,40749000.0,20350000.0,-5773000.0,14577000.0,-16661000.0,-11878000.0,-4783000.0,,-2084000.0,22000.0,-28000.0,-2062000,,-2062000,-141000.0,-2203000,,-2203000,-2203000,STAA,2017-03-31
849329,USD,2017,Q2,2017-08-02,2018-08-01,40933000.0,40933000.0,21936000.0,-6462000.0,15474000.0,-16794000.0,-12027000.0,-4767000.0,,-1320000.0,495000.0,-33000.0,-825000,,-825000,-146000.0,-971000,,-971000,-971000,STAA,2017-06-30
849329,USD,2017,Q3,2017-11-08,2018-10-31,41110000.0,42104000.0,23473000.0,-6624000.0,16849000.0,-15805000.0,-11211000.0,-4594000.0,,1044000.0,539000.0,-27000.0,1583000,,1583000,-410000.0,1173000,,1173000,1173000,STAA,2017-09-30
849329,USD,2017,Q4,2018-02-28,2019-02-21,41224000.0,40230000.0,24852000.0,-7472000.0,17380000.0,-18651000.0,-12751000.0,-5900000.0,,-1271000.0,279000.0,-24000.0,-992000,,-992000,854000.0,-138000,,-138000,-138000,STAA,2017-12-31
849329,USD,2018,Q1,2018-05-02,2018-05-02,41410000.0,43087000.0,27093000.0,-7662000.0,19431000.0,-18632000.0,-13589000.0,-5043000.0,,799000.0,85000.0,-12000.0,884000,,884000,-301000.0,583000,,583000,583000,STAA,2018-03-31
849329,USD,2018,Q2,2018-08-01,2018-08-01,41723000.0,43999000.0,33905000.0,-8678000.0,25227000.0,-22201000.0,-16855000.0,-5346000.0,,3026000.0,-391000.0,-24000.0,2635000,,2635000,-805000.0,1830000,,1830000,1830000,STAA,2018-06-30
849329,USD,2018,Q3,2018-10-31,2018-10-31,43054000.0,46025000.0,31770000.0,-7910000.0,23860000.0,-22277000.0,-16707000.0,-5570000.0,,1583000.0,222000.0,-29000.0,1805000,,1805000,-346000.0,1459000,,1459000,1459000,STAA,2018-09-30
849329,USD,2018,Q4,2019-02-21,2021-02-24,44161000.0,47917000.0,31186000.0,-8194000.0,22992000.0,-21805000.0,-15736000.0,-6069000.0,,1187000.0,128000.0,230000.0,1315000,,1315000,-219000.0,1096000,,1096000,1096000,STAA,2018-12-31
849329,USD,2019,Q1,2019-05-01,2019-05-01,44235000.0,46913000.0,32583000.0,-8403000.0,24180000.0,-22615000.0,-16980000.0,-5635000.0,,1565000.0,291000.0,271000.0,1856000,,1856000,-489000.0,1367000,,1367000,1367000,STAA,2019-03-31
849329,USD,2019,Q2,2019-07-31,2019-07-31,44479000.0,46733000.0,39664000.0,-9765000.0,29899000.0,-25288000.0,-19190000.0,-6098000.0,,4611000.0,434000.0,259000.0,5045000,,5045000,-1131000.0,3914000,,3914000,3914000,STAA,2019-06-30
849329,USD,2019,Q3,2019-10-30,2019-10-30,44563000.0,46857000.0,39055000.0,-10004000.0,29051000.0,-25717000.0,-19561000.0,-6156000.0,,3334000.0,-186000.0,266000.0,3148000,,3148000,-760000.0,2388000,,2388000,2388000,STAA,2019-09-30
