SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
749030,USD,2015,Q3,2016-02-08,2017-02-08,77221000.0,77712000.0,618688000.0,-380507000.0,238181000.0,-191653000.0,-177319000.0,-14334000.0,,46528000.0,-17300000.0,-17706000.0,29228000,194000.0,29422000,-8268000.0,21154000,,20045000,20045000,STE,2015-12-31
749030,USD,2015,Q4,2016-05-09,2018-05-30,85906000.0,86368000.0,690277000.0,-426388000.0,263889000.0,-164407000.0,-150097000.0,-14310000.0,,99482000.0,-10847000.0,-11397000.0,88635000,-156000.0,88479000,-30610000.0,57869000,,57740000,57740000,STE,2016-03-31
749030,USD,2016,Q1,2016-08-09,2017-08-08,86038000.0,86519000.0,638378000.0,-398388000.0,239990000.0,-166314000.0,-151886000.0,-14428000.0,,73676000.0,-10578000.0,-11071000.0,63098000,-154000.0,62944000,-14234000.0,48710000,,48401000,48401000,STE,2016-06-30
749030,USD,2016,Q2,2016-11-08,2017-11-07,85851000.0,86333000.0,646415000.0,-398507000.0,247908000.0,-178297000.0,-163680000.0,-14617000.0,,69611000.0,-10640000.0,-10924000.0,58971000,-48000.0,58923000,-18721000.0,40202000,,40416000,40416000,STE,2016-09-30
749030,USD,2016,Q3,2017-02-08,2018-02-08,85074000.0,85525000.0,646774000.0,-389165000.0,257609000.0,-173351000.0,-158760000.0,-14591000.0,,84258000.0,-10441000.0,-10980000.0,73817000,-58374000.0,15443000,-19790000.0,-4347000,,-4996000,-4996000,STE,2016-12-31
749030,USD,2016,Q4,2017-05-26,2019-05-30,84929000.0,85999000.0,681189000.0,-400483000.0,280706000.0,-223474000.0,-207713000.0,-15761000.0,,57232000.0,-9901000.0,-11545000.0,47331000,5000.0,47336000,-21270000.0,26066000,,26144000,26144000,STE,2017-03-31
749030,USD,2017,Q1,2017-08-08,2018-08-08,85090000.0,85720000.0,607964000.0,-352198000.0,255766000.0,-170340000.0,-156336000.0,-14004000.0,,85426000.0,-11121000.0,-12466000.0,74305000,-51000.0,74254000,-16039000.0,58215000,,58077000,58077000,STE,2017-06-30
749030,USD,2017,Q2,2017-11-07,2017-11-07,85199000.0,85869000.0,634159000.0,-367398000.0,266761000.0,-167330000.0,-153356000.0,-13974000.0,,99431000.0,-12057000.0,-12683000.0,87374000,-27000.0,87347000,-22903000.0,64444000,,64459000,64459000,STE,2017-09-30
749030,USD,2017,Q3,2018-02-08,2018-02-08,85004000.0,85719000.0,661900000.0,-383312000.0,278588000.0,-174338000.0,-159143000.0,-15195000.0,,104250000.0,-12236000.0,-12461000.0,92014000,-78000.0,91936000,3404000.0,95340000,,94781000,94781000,STE,2017-12-31
749030,USD,2017,Q4,2018-05-30,2020-05-29,84819000.0,85544000.0,715973000.0,-424342000.0,291631000.0,-180752000.0,-163143000.0,-17609000.0,,110879000.0,-9487000.0,-13019000.0,101392000,53000.0,101445000,-27822000.0,73623000,,73598000,73598000,STE,2018-03-31
