SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
795984,USD,2012,Q4,2013-02-12,2015-03-16,3441995.0,3441995.0,,,,-1314470.0,-772138.0,-542332.0,,-1314470.0,-15514.0,-39520.0,-1329984,,-1329984,,-1329984,,-1329984,-1329984,STML,2012-12-31
795984,USD,2013,Q1,2013-05-14,2014-05-15,6147589.0,6147589.0,,,,-5329193.0,-2167467.0,-3161726.0,,-5329193.0,-176453.0,-82389.0,-5505646,,-5505646,,-5505646,,-5505646,-5505646,STML,2013-03-31
795984,USD,2013,Q2,2013-08-14,2014-08-14,9837062.0,9837062.0,,,,-5155947.0,-1071426.0,-4084521.0,,-5155947.0,-294691.0,-294691.0,-5450638,,-5450638,,-5450638,,-5450638,-5450638,STML,2013-06-30
795984,USD,2013,Q3,2013-11-12,2014-11-14,12471472.0,12471472.0,,,,-5577314.0,-2253652.0,-3323662.0,,-5577314.0,3790.0,3790.0,-5573524,,-5573524,,-5573524,,-5573524,-5573524,STML,2013-09-30
795984,USD,2013,Q4,2014-03-31,2016-03-14,12813281.0,12813281.0,,,,-7988009.0,-2379174.0,-5608835.0,,-7988009.0,250306.0,-124445.0,-7737703,71000.0,-7666703,,-7666703,,-7666703,-7666703,STML,2013-12-31
795984,USD,2014,Q1,2014-05-15,2015-05-11,12875228.0,12875228.0,,,,-9105215.0,-1988360.0,-7116855.0,,-9105215.0,34289.0,42212.0,-9070926,71000.0,-8999926,,-8999926,,-8999926,-8999926,STML,2014-03-31
795984,USD,2014,Q2,2014-08-14,2015-08-10,12921898.0,12921898.0,,,,-6128601.0,-2038011.0,-4090590.0,,-6128601.0,44474.0,43842.0,-6084127,71429.0,-6012698,,-6012698,,-6012698,-6012698,STML,2014-06-30
795984,USD,2014,Q3,2014-11-14,2015-11-06,12950027.0,12950027.0,,,,-6999532.0,-2020241.0,-4979291.0,,-6999532.0,42946.0,40136.0,-6956586,71429.0,-6885157,,-6885157,,-6885157,-6885157,STML,2014-09-30
795984,USD,2014,Q4,2015-03-16,2017-03-16,12999811.0,12999811.0,,,,-7091831.0,-2037968.0,-5053863.0,,-7091831.0,38208.0,30120.0,-7053623,121429.0,-6932194,,-6932194,,-6932194,-6932194,STML,2014-12-31
795984,USD,2015,Q1,2015-05-11,2016-05-09,16582226.0,16582226.0,,,,-7845552.0,-1810065.0,-6035487.0,,-7845552.0,46660.0,45760.0,-7798892,121429.0,-7677463,,-7677463,,-7677463,-7677463,STML,2015-03-31
