SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
534667,USD,2014,Q4,2015-02-13,2017-02-24,97448203.0,97448203.0,55162000.0,-18694000.0,36468000.0,-22303000.0,-5468000.0,,-16835000.0,14165000.0,,,14165000,0.0,14165000,-9000.0,14156000,25000.0,14181000,17423000,STOR,2014-12-31
534667,USD,2015,Q1,2015-05-15,2016-05-06,114633300.0,114633300.0,61459000.0,-17783000.0,43676000.0,-25527000.0,-6635000.0,,-18892000.0,18149000.0,,,18149000,-1000000.0,17149000,-83000.0,17066000,,17066000,17066000,STOR,2015-03-31
534667,USD,2015,Q2,2015-08-14,2016-08-05,117507861.0,117507861.0,68900000.0,-21600000.0,47300000.0,-28778000.0,-7210000.0,,-21568000.0,18522000.0,,,18522000,,18522000,-83000.0,18439000,,18439000,19634000,STOR,2015-06-30
534667,USD,2015,Q3,2015-11-13,2016-11-04,126281114.0,126281114.0,74791000.0,-21999000.0,52792000.0,-30409000.0,-7138000.0,,-23271000.0,22383000.0,,,22383000,,22383000,-72000.0,22311000,,22311000,22998000,STOR,2015-09-30
534667,USD,2015,Q4,2016-02-25,2018-02-23,130300325.0,130407745.0,79612000.0,-23071000.0,56541000.0,-31873000.0,-6989000.0,,-24884000.0,24668000.0,,,24668000,0.0,24668000,-36000.0,24632000,,24632000,24072000,STOR,2015-12-31
534667,USD,2016,Q1,2016-05-06,2017-05-05,140354143.0,140564379.0,85234000.0,-24155000.0,61079000.0,-35070000.0,-8591000.0,,-26479000.0,26009000.0,,,26009000,-800000.0,25209000,-69000.0,25140000,,25140000,24793000,STOR,2016-03-31
534667,USD,2016,Q2,2016-08-05,2017-08-04,145903881.0,146116422.0,91970000.0,-27198000.0,64772000.0,-37580000.0,-8545000.0,,-29035000.0,27192000.0,,,27192000,,27192000,-90000.0,27102000,,27102000,30249000,STOR,2016-06-30
534667,USD,2016,Q3,2016-11-04,2017-11-03,153143726.0,153462048.0,96998000.0,-28083000.0,68915000.0,-39216000.0,-8104000.0,,-31112000.0,29699000.0,,,29699000,,29699000,-89000.0,29610000,,29610000,36343000,STOR,2016-09-30
534667,USD,2016,Q4,2017-02-24,2018-02-23,156112266.0,156353191.0,102141000.0,-30334000.0,71807000.0,-41724000.0,-8732000.0,,-32992000.0,30083000.0,,,30083000,-1720000.0,28363000,-110000.0,28253000,,28253000,31940000,STOR,2016-12-31
534667,USD,2017,Q1,2017-05-05,2018-05-04,160810455.0,160810455.0,107971000.0,-30446000.0,77525000.0,-45458000.0,-10243000.0,,-35215000.0,32067000.0,,,32067000,-4270000.0,27797000,-106000.0,27691000,,27691000,31390000,STOR,2017-03-31
534667,USD,2017,Q2,2017-08-04,2018-08-03,172661739.0,172661739.0,114208000.0,-32050000.0,82158000.0,-46685000.0,-9289000.0,,-37396000.0,35473000.0,,,35473000,,35473000,-147000.0,35326000,,35326000,61060000,STOR,2017-06-30
534667,USD,2017,Q3,2017-11-03,2017-11-03,189656095.0,190043107.0,110544000.0,-32714000.0,77830000.0,-47844000.0,-10255000.0,,-37589000.0,29986000.0,,,29986000,-7670000.0,22316000,-81000.0,22235000,,22235000,28580000,STOR,2017-09-30
534667,USD,2017,Q4,2018-02-23,2018-02-23,191216775.0,191111403.0,120124000.0,-30041000.0,90083000.0,-51282000.0,-11203000.0,,-40079000.0,38801000.0,,,38801000,-1500000.0,37301000,-119000.0,37182000,,37182000,41008000,STOR,2017-12-31
