SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
494891,USD,2012,Q2,2012-06-08,2012-10-12,9817000.0,9907880.0,4145933.0,-2201085.0,1944848.0,-1924689.0,-1582532.0,-342157.0,,20159.0,-22102.0,-21791.0,-1943,,-1943,-5000.0,-6943,,-6943,-6943,STRM,2012-03-31
494891,USD,2012,Q3,2012-09-05,2012-12-14,9944000.0,9958947.0,4312091.0,-2149680.0,2162411.0,-1798864.0,-1494891.0,-303973.0,,363547.0,-62781.0,-25896.0,300766,,300766,-5000.0,295766,,295766,295766,STRM,2012-06-30
494891,USD,2012,Q4,2012-12-08,2013-04-26,10140364.0,10079957.0,4518162.0,-2221991.0,2296171.0,-2179862.0,-1835017.0,-344845.0,,116309.0,-99787.0,-110995.0,16522,0.0,16522,-12000.0,4522,,4522,4522,STRM,2012-09-30
494891,USD,2013,Q1,2013-03-10,2013-06-14,10307000.0,10307000.0,5445133.0,-2646597.0,2798536.0,-2126123.0,-1669760.0,-456363.0,,672413.0,-171785.0,-207830.0,500628,,500628,-9000.0,491628,,491628,491628,STRM,2012-12-31
494891,USD,2013,Q2,2013-03-31,2013-09-13,11316000.0,11316000.0,5049054.0,-2358300.0,2690754.0,-2715047.0,-2204205.0,-510842.0,,-24293.0,-414976.0,-391188.0,-439269,,-439269,-24000.0,-463269,,-463269,-463269,STRM,2013-03-31
494891,USD,2013,Q3,2013-06-30,2013-12-17,12393000.0,15365000.0,6534363.0,-3042523.0,3491840.0,-3793489.0,-2926830.0,-866659.0,,-301649.0,-851593.0,-895142.0,-1153242,,-1153242,3552879.0,2399637,,2399637,2260504,STRM,2013-06-30
494891,USD,2013,Q4,2013-09-30,2015-04-16,12522160.0,9550160.0,6738253.0,-3545532.0,3192721.0,-4374123.0,-3259674.0,-1114449.0,,-1181402.0,-23979.0,-462850.0,-1205381,-5970002.0,-7175383,-631342.0,-7806725,,-7806725,-7843640,STRM,2013-09-30
494891,USD,2014,Q1,2013-12-31,2014-07-24,12534000.0,12534474.0,6473338.0,-3176727.0,3296611.0,-4677877.0,-3580867.0,-1097010.0,,-1381266.0,-1308830.0,-566565.0,-2690096,,-2690096,-19750.0,-2709846,,-2709846,-3051483,STRM,2013-12-31
494891,USD,2014,Q2,2014-03-31,2014-09-15,12862000.0,12861715.0,8773361.0,-3237419.0,5535942.0,-4568300.0,-3408153.0,-1160147.0,,967642.0,-1651971.0,-587808.0,-684329,,-684329,-143874.0,-828203,,-828203,-843713,STRM,2014-03-31
494891,USD,2014,Q3,2014-06-30,2014-12-09,13258000.0,13257943.0,6731534.0,-3134395.0,3597139.0,-4743408.0,-3373230.0,-1370178.0,,-1146269.0,-5090829.0,-580390.0,-6237098,0.0,-6237098,4680.0,-6232418,,-6232418,-6606580,STRM,2014-06-30
494891,USD,2014,Q4,2014-09-30,2015-04-16,16336800.0,16336668.0,6516470.0,-3629781.0,2886689.0,-7644827.0,-4184085.0,-3460742.0,,-4758138.0,2712726.0,-31050.0,-2045412,-160713.0,-2206125,259402.0,-1946723,,-1946723,-2396318,STRM,2014-09-30
494891,USD,2015,Q1,2014-12-31,2015-06-09,18146000.0,18146232.0,6951170.0,-3553658.0,3397512.0,-6990899.0,-4640456.0,-2350443.0,,-3593387.0,923293.0,-169478.0,-2670094,,-2670094,-1145.0,-2671239,,-2671239,-2901005,STRM,2014-12-31
494891,USD,2015,Q2,2015-03-31,2015-09-03,18174000.0,18174193.0,7242072.0,-3021005.0,4221067.0,-6279914.0,-4054794.0,-2225120.0,,-2058847.0,-215020.0,-173539.0,-2273867,,-2273867,-1145.0,-2275012,,-2275012,-2527595,STRM,2015-03-31
494891,USD,2015,Q3,2015-06-30,2015-12-10,18301000.0,18309677.0,6836643.0,-3043564.0,3793079.0,-6505757.0,-4230347.0,-2275410.0,,-2712678.0,571636.0,-180583.0,-2141042,-114522.0,-2255564,0.0,-2255564,,-2255564,-2524716,STRM,2015-06-30
494891,USD,2015,Q4,2015-09-30,2016-04-20,18426200.0,18417098.0,6595522.0,-3385497.0,3210025.0,-6205210.0,-3299977.0,-2905233.0,,-2995185.0,-436429.0,-225369.0,-3431614,-2267327.0,-5698941,889299.0,-4809642,,-4809642,-5096451,STRM,2015-09-30
494891,USD,2016,Q1,2015-12-31,2016-06-08,18600957.0,18600957.0,6169442.0,-3054023.0,3115419.0,-6730367.0,-4506174.0,-2224193.0,,-3614948.0,1745033.0,-243941.0,-1869915,,-1869915,3882.0,-1866033,,-1866033,-2161690,STRM,2015-12-31
494891,USD,2016,Q2,2016-03-31,2016-09-07,18628288.0,18628288.0,8619099.0,-2759405.0,5859694.0,-6012470.0,-3779114.0,-2233356.0,,-152776.0,-407989.0,-248175.0,-560765,,-560765,-3414.0,-564179,,-564179,-889197,STRM,2016-03-31
494891,USD,2016,Q3,2016-06-30,2016-12-07,18746632.0,18746632.0,7155069.0,-2903540.0,4251529.0,-4609174.0,-2351082.0,-2258092.0,,-357645.0,-95903.0,-206286.0,-453548,,-453548,-3113.0,-456661,,-456661,-803000,STRM,2016-06-30
494891,USD,2016,Q4,2016-09-30,2017-04-10,18783539.0,18783539.0,6370848.0,-2683647.0,3687201.0,-5184141.0,-2806429.0,-2377712.0,,-1496940.0,99056.0,-185824.0,-1397884,0.0,-1397884,-5358.0,-1403242,,-1403242,-1772300,STRM,2016-09-30
494891,USD,2017,Q1,2016-12-31,2017-06-12,18995289.0,18995289.0,6667221.0,-2726309.0,3940912.0,-5321028.0,-3598841.0,-1722187.0,,-1380116.0,-95790.0,-162012.0,-1475906,,-1475906,-1701.0,-1477607,,-1477607,-1862326,STRM,2016-12-31
494891,USD,2017,Q2,2017-03-31,2017-03-31,19791805.0,19791805.0,7374063.0,-2491378.0,4882685.0,-5450516.0,-3341949.0,-2108567.0,,-567831.0,-164770.0,-120014.0,-732601,,-732601,-1701.0,-734302,,-734302,-1152808,STRM,2017-03-31
