SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
338837,USD,2015,Q2,2015-01-13,2016-01-12,3343137.0,3343137.0,6705095.0,-4716882.0,1988213.0,-1216975.0,-1216975.0,,,771238.0,7075.0,,778313,,778313,-274000.0,504313,,504313,504313,TAYD,2014-11-30
338837,USD,2015,Q3,2015-04-14,2016-04-12,3344059.0,3344059.0,6566338.0,-4832139.0,1734199.0,-1270818.0,-1270818.0,,,463381.0,3373.0,,466754,,466754,-75000.0,391754,,391754,391754,TAYD,2015-02-28
338837,USD,2015,Q4,2015-08-27,2016-08-29,3370002.0,3578706.0,10766451.0,-7429419.0,3337032.0,-2108636.0,-2108636.0,,,1228396.0,-1821.0,3988.0,1226575,,1226575,-340000.0,886575,,886575,886575,TAYD,2015-05-31
338837,USD,2016,Q1,2015-10-07,2016-10-14,3365821.0,3365821.0,9473414.0,-6098126.0,3375288.0,-1826989.0,-1826989.0,,,1548299.0,3350.0,,1551649,,1551649,-542000.0,1009649,,1009649,1009649,TAYD,2015-08-31
338837,USD,2016,Q2,2016-01-12,2017-01-12,3370018.0,3370018.0,8819548.0,-5824754.0,2994794.0,-1576225.0,-1576225.0,,,1418569.0,6089.0,,1424658,,1424658,-500000.0,924658,,924658,924658,TAYD,2015-11-30
338837,USD,2016,Q3,2016-04-12,2017-04-13,3378446.0,3378446.0,8326147.0,-5010028.0,3316119.0,-1645236.0,-1645236.0,,,1670883.0,2721.0,,1673604,,1673604,-492000.0,1181604,,1181604,1181604,TAYD,2016-02-29
338837,USD,2016,Q4,2016-08-29,2017-08-29,3461391.0,3791423.0,9061340.0,-6310543.0,2750797.0,-1640141.0,-1640141.0,,,1110656.0,5658.0,10748.0,1116314,,1116314,-24000.0,1092314,,1092314,1092314,TAYD,2016-05-31
338837,USD,2017,Q1,2016-10-14,2017-10-12,3412858.0,3412858.0,5755713.0,-4307589.0,1448124.0,-1181974.0,-1181974.0,,,266150.0,9684.0,,275834,,275834,-66000.0,209834,,209834,209834,TAYD,2016-08-31
338837,USD,2017,Q2,2017-01-12,2018-01-12,3415683.0,3415683.0,7807465.0,-5061495.0,2745970.0,-1373726.0,-1373726.0,,,1372244.0,26036.0,,1398280,,1398280,-460000.0,938280,,938280,938280,TAYD,2016-11-30
338837,USD,2017,Q3,2017-04-13,2018-04-13,3421350.0,3421350.0,5672720.0,-4028768.0,1643952.0,-1178310.0,-1178310.0,,,465642.0,14561.0,,480203,,480203,-142000.0,338203,,338203,338203,TAYD,2017-02-28
