SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
141183,USD,2011,Q2,2011-08-09,2012-08-06,38164000.0,38928000.0,117278000.0,-94431000.0,22847000.0,-13992000.0,-11589000.0,-2403000.0,,8855000.0,1546000.0,1684000.0,10401000,0.0,10401000,-3012000.0,7389000,,7389000,7389000,TESO,2011-06-30
141183,USD,2011,Q3,2011-11-08,2012-11-05,38207000.0,38961000.0,126989000.0,-102445000.0,24544000.0,-16118000.0,-12127000.0,-3991000.0,,8426000.0,-1922000.0,-130000.0,6504000,0.0,6504000,-2676000.0,3828000,,3828000,3828000,TESO,2011-09-30
141183,USD,2011,Q4,2012-03-02,2014-03-04,38397000.0,38870000.0,163080000.0,-128425000.0,34655000.0,-16935000.0,-13702000.0,-3233000.0,,17720000.0,-369000.0,-176000.0,17351000,0.0,17351000,-5889000.0,11462000,,11462000,11462000,TESO,2011-12-31
141183,USD,2012,Q1,2012-05-04,2013-05-06,38583000.0,39066000.0,152421000.0,-119795000.0,32626000.0,-13605000.0,-11063000.0,-2542000.0,,19021000.0,1441000.0,389000.0,20462000,0.0,20462000,-6043000.0,14419000,,14419000,14419000,TESO,2012-03-31
141183,USD,2012,Q2,2012-08-06,2013-08-07,38639000.0,39081000.0,136673000.0,-109034000.0,27639000.0,-16304000.0,-12890000.0,-3414000.0,,11335000.0,-4608000.0,-922000.0,6727000,13289000.0,20016000,-6910000.0,13106000,,13106000,13106000,TESO,2012-06-30
141183,USD,2012,Q3,2012-11-05,2013-11-04,38694000.0,39077000.0,126419000.0,-96661000.0,29758000.0,-13270000.0,-11461000.0,-1809000.0,,16488000.0,-4000.0,-705000.0,16484000,-308000.0,16176000,-7220000.0,8956000,,8956000,8956000,TESO,2012-09-30
141183,USD,2012,Q4,2013-03-05,2015-03-31,38836000.0,39184000.0,137640000.0,-107831000.0,29809000.0,-11839000.0,-9147000.0,-2692000.0,,17970000.0,1366000.0,214000.0,19336000,-628000.0,18708000,-5012000.0,13696000,,13696000,13696000,TESO,2012-12-31
141183,USD,2013,Q1,2013-05-06,2015-03-31,38932000.0,39430000.0,126839000.0,-101964000.0,24875000.0,-14776000.0,-12747000.0,-2029000.0,,10099000.0,440000.0,451000.0,10539000,1484000.0,12023000,-3768000.0,8255000,,8255000,8255000,TESO,2013-03-31
141183,USD,2013,Q2,2013-08-07,2015-03-31,38988000.0,39520000.0,128968000.0,-98866000.0,30102000.0,-16246000.0,-13754000.0,-2492000.0,,13856000.0,-2077000.0,-416000.0,11779000,-20000.0,11759000,-2600000.0,9159000,,9159000,9159000,TESO,2013-06-30
141183,USD,2013,Q3,2013-11-04,2015-03-31,39076000.0,39841000.0,132248000.0,-102789000.0,29459000.0,-11844000.0,-9708000.0,-2136000.0,,17615000.0,667000.0,-135000.0,18282000,-31000.0,18251000,-5474000.0,12777000,,12777000,12777000,TESO,2013-09-30
