SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
616649,USD,2017,Q4,2018-02-01,2019-02-19,1014000000.0,1016000000.0,5398000000.0,-3127000000.0,2271000000.0,-1346000000.0,-1000000000.0,-346000000.0,,925000000.0,908000000.0,-191000000.0,1833000000,-15041000000.0,-13208000000,1471000000.0,-11730000000,,-11535000000,-11600000000,TEVA,2017-12-31
616649,USD,2018,Q1,2018-05-03,2018-05-03,1017000000.0,1020000000.0,5065000000.0,-2717000000.0,2348000000.0,-1417000000.0,-1100000000.0,-317000000.0,,931000000.0,-68000000.0,-271000000.0,863000000,391000000.0,1254000000,-46000000.0,1134000000,,1120000000,1055000000,TEVA,2018-03-31
616649,USD,2018,Q2,2018-08-02,2018-08-02,1018000000.0,1018000000.0,4701000000.0,-2640000000.0,2061000000.0,-1316000000.0,-1026000000.0,-290000000.0,,745000000.0,-140000000.0,-236000000.0,605000000,-855000000.0,-250000000,76000000.0,-166000000,,-176000000,-241000000,TEVA,2018-06-30
616649,USD,2018,Q3,2018-11-01,2018-11-01,1018000000.0,1018000000.0,4529000000.0,-2508000000.0,2021000000.0,-1363000000.0,-1052000000.0,-311000000.0,,658000000.0,-194000000.0,-229000000.0,464000000,-677000000.0,-213000000,26000000.0,-197000000,,-208000000,-273000000,TEVA,2018-09-30
616649,USD,2018,Q4,2019-02-19,2021-02-10,1031000000.0,1028000000.0,3976000000.0,-2110000000.0,1866000000.0,-1331000000.0,-1036000000.0,-295000000.0,,535000000.0,-266000000.0,-223000000.0,269000000,-3656000000.0,-3387000000,139000000.0,-3243000000,,-2886000000,-2940000000,TEVA,2018-12-31
616649,USD,2019,Q1,2019-05-02,2019-05-02,1090000000.0,1090000000.0,4295000000.0,-2440000000.0,1855000000.0,-1201000000.0,-940000000.0,-261000000.0,,654000000.0,-212000000.0,-218000000.0,442000000,-527000000.0,-85000000,-9000000.0,-98000000,,-106000000,-106000000,TEVA,2019-03-31
616649,USD,2019,Q2,2019-08-07,2019-08-07,1092000000.0,1092000000.0,4337000000.0,-2443000000.0,1894000000.0,-1238000000.0,-962000000.0,-276000000.0,,656000000.0,-197000000.0,-206000000.0,459000000,-1308000000.0,-849000000,179000000.0,-670000000,,-688000000,-688000000,TEVA,2019-06-30
616649,USD,2019,Q3,2019-11-07,2019-11-07,1092000000.0,1092000000.0,4264000000.0,-2435000000.0,1829000000.0,-1120000000.0,-880000000.0,-240000000.0,,709000000.0,-197000000.0,-211000000.0,512000000,-805000000.0,-293000000,-11000000.0,-308000000,,-315000000,-315000000,TEVA,2019-09-30
616649,USD,2019,Q4,2020-02-21,2020-02-21,1090000000.0,1090000000.0,3991000000.0,-2033000000.0,1958000000.0,-1257000000.0,-1024000000.0,-233000000.0,,701000000.0,-140000000.0,-187000000.0,561000000,-600000000.0,-39000000,119000000.0,75000000,,110000000,110000000,TEVA,2019-12-31
616649,USD,2020,Q1,2020-05-07,2021-04-28,1093000000.0,1096000000.0,4357000000.0,-2294000000.0,2063000000.0,-1138000000.0,-917000000.0,-221000000.0,,925000000.0,-211000000.0,-224000000.0,714000000,-745000000.0,-31000000,59000000.0,27000000,,71000000,71000000,TEVA,2020-03-31
