SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
56317,USD,2011,Q2,2011-08-12,2012-08-02,523921715.0,523921715.0,58171000.0,-39663000.0,18508000.0,-77247000.0,-24716000.0,-52531000.0,,-58739000.0,-25000.0,46000.0,-58764000,,-58764000,-139000.0,-58903000,,-58903000,-58903000,TSLA,2011-06-30
56317,USD,2011,Q3,2011-11-14,2012-11-07,523921715.0,523921715.0,57666000.0,-40442000.0,17224000.0,-81701000.0,-27618000.0,-54083000.0,,-64477000.0,-514000.0,80000.0,-64991000,,-64991000,-87000.0,-65078000,,-65078000,-65078000,TSLA,2011-09-30
56317,USD,2011,Q4,2012-03-28,2014-02-26,523921715.0,523921715.0,39375000.0,-31540000.0,7835000.0,-88761000.0,-27556000.0,-61205000.0,,-80926000.0,-450000.0,46000.0,-81376000,,-81376000,-113000.0,-81489000,,-81489000,-81489000,TSLA,2011-12-31
56317,USD,2012,Q1,2012-05-10,2013-05-10,523921715.0,523921715.0,30167000.0,-19957000.0,10210000.0,-98973000.0,-30582000.0,-68391000.0,,-88763000.0,-1051000.0,25000.0,-89814000,,-89814000,-59000.0,-89873000,,-89873000,-89873000,TSLA,2012-03-31
56317,USD,2012,Q2,2012-08-02,2013-08-09,523921715.0,523921715.0,26653000.0,-21891000.0,4762000.0,-110937000.0,-36083000.0,-74854000.0,,-106175000.0,681000.0,-10000.0,-105494000,,-105494000,-109000.0,-105603000,,-105603000,-105603000,TSLA,2012-06-30
56317,USD,2012,Q3,2012-11-07,2013-11-08,536745940.0,536745940.0,50104000.0,-58865000.0,-8761000.0,-99699000.0,-37798000.0,-61901000.0,,-108460000.0,-2228000.0,-40000.0,-110688000,,-110688000,-116000.0,-110804000,,-110804000,-110804000,TSLA,2012-09-30
56317,USD,2012,Q4,2013-03-07,2015-02-26,536745940.0,536745940.0,306332000.0,-282476000.0,23856000.0,-114741000.0,-45909000.0,-68832000.0,,-90885000.0,804000.0,59000.0,-90081000,,-90081000,148000.0,-89933000,,-89933000,-89933000,TSLA,2012-12-31
56317,USD,2013,Q1,2013-05-10,2014-05-09,573559495.0,621326460.0,561792000.0,-465472000.0,96320000.0,-101904000.0,-47045000.0,-54859000.0,,-5584000.0,16983000.0,-108000.0,11399000,,11399000,-151000.0,11248000,,11248000,11248000,TSLA,2013-03-31
56317,USD,2013,Q2,2013-08-09,2014-08-08,591360930.0,543593965.0,405139000.0,-304656000.0,100483000.0,-112275000.0,-59963000.0,-52312000.0,,-11792000.0,-18409000.0,-20077000.0,-30201000,,-30201000,-301000.0,-30502000,,-30502000,-30502000,TSLA,2013-06-30
56317,USD,2013,Q3,2013-11-08,2014-11-07,609312485.0,609312485.0,431346000.0,-328478000.0,102868000.0,-133422000.0,-77071000.0,-56351000.0,,-30554000.0,-7164000.0,-6424000.0,-37718000,,-37718000,-778000.0,-38496000,,-38496000,-38496000,TSLA,2013-09-30
56317,USD,2013,Q4,2014-02-26,2016-02-24,614187090.0,614187090.0,615219000.0,-458628000.0,156591000.0,-169944000.0,-101490000.0,-68454000.0,,-13353000.0,-1553000.0,-6136000.0,-14906000,,-14906000,-1358000.0,-16264000,,-16264000,-16264000,TSLA,2013-12-31
56317,USD,2014,Q1,2014-05-09,2015-05-11,617363910.0,617363910.0,620542000.0,-465414000.0,155128000.0,-199095000.0,-117551000.0,-81544000.0,,-43967000.0,-5024000.0,-11742000.0,-48991000,,-48991000,-809000.0,-49800000,,-49800000,-49800000,TSLA,2014-03-31
56317,USD,2014,Q2,2014-08-08,2015-08-07,621252140.0,621252140.0,769349000.0,-556354000.0,212995000.0,-241748000.0,-134031000.0,-107717000.0,,-28753000.0,-31997000.0,-30771000.0,-60750000,,-60750000,-1150000.0,-61900000,,-61900000,-61900000,TSLA,2014-06-30
56317,USD,2014,Q3,2014-11-07,2015-11-05,624555000.0,624555000.0,851804000.0,-599953000.0,251851000.0,-290980000.0,-155107000.0,-135873000.0,,-39129000.0,-31852000.0,-28762000.0,-70981000,,-70981000,-3727000.0,-74708000,,-74708000,-74708000,TSLA,2014-09-30
56317,USD,2014,Q4,2015-02-26,2017-03-01,627608950.0,627608950.0,956661000.0,-694964000.0,261697000.0,-336537000.0,-196971000.0,-139566000.0,,-74840000.0,-29074000.0,-28485000.0,-103914000,,-103914000,-3718000.0,-107632000,,-107632000,-107632000,TSLA,2014-12-31
56317,USD,2015,Q1,2015-05-11,2016-05-10,629735000.0,629735000.0,939880000.0,-679807000.0,260073000.0,-362519000.0,-195365000.0,-167154000.0,,-102446000.0,-48695000.0,-26390000.0,-151141000,,-151141000,-3040000.0,-154181000,,-154181000,-154181000,TSLA,2015-03-31
56317,USD,2015,Q2,2015-08-07,2016-08-05,633445000.0,633445000.0,954976000.0,-741606000.0,213370000.0,-383558000.0,-201846000.0,-181712000.0,,-170188000.0,-10872000.0,-24105000.0,-181060000,,-181060000,-3167000.0,-184227000,,-184227000,-184227000,TSLA,2015-06-30
56317,USD,2015,Q3,2015-11-05,2016-11-02,645030000.0,645030000.0,936789000.0,-705293000.0,231496000.0,-415158000.0,-236367000.0,-178791000.0,,-183662000.0,-44412000.0,-28981000.0,-228074000,,-228074000,-1784000.0,-229858000,,-229858000,-229858000,TSLA,2015-09-30
56317,USD,2015,Q4,2016-02-24,2018-02-23,655830000.0,655830000.0,1214380000.0,-995816000.0,218564000.0,-478897000.0,-288654000.0,-190243000.0,,-260333000.0,-55016000.0,-37867000.0,-315349000,,-315349000,-5048000.0,-320397000,,-320397000,-320397000,TSLA,2015-12-31
56317,USD,2016,Q1,2016-05-10,2017-05-10,663380000.0,663380000.0,1147048000.0,-894580000.0,252468000.0,-500692000.0,-318210000.0,-182482000.0,,-248224000.0,-30197000.0,-39374000.0,-278421000,,-278421000,-3846000.0,-282267000,,-282267000,-282267000,TSLA,2016-03-31
56317,USD,2016,Q2,2016-08-05,2017-08-04,699915000.0,699915000.0,1270017000.0,-995241000.0,274776000.0,-512816000.0,-321152000.0,-191664000.0,,-238040000.0,-51499000.0,-44126000.0,-289539000,,-289539000,-3649000.0,-293188000,,-293188000,-293188000,TSLA,2016-06-30
56317,USD,2016,Q3,2016-11-02,2017-11-03,744955000.0,784675000.0,2298436000.0,-1661701000.0,636735000.0,-551113000.0,-336811000.0,-214302000.0,,85622000.0,-55611000.0,-43855000.0,30011000,,30011000,-8133000.0,21878000,,21878000,21878000,TSLA,2016-09-30
56317,USD,2016,Q4,2017-03-01,2019-02-19,775990000.0,736270000.0,2284631000.0,-1849353000.0,435278000.0,-701976000.0,-456016000.0,-245960000.0,,-266698000.0,58299000.0,-62925000.0,-208399000,,-208399000,-11070000.0,-219469000,,-121337000,-121337000,TSLA,2016-12-31
56317,USD,2017,Q1,2017-05-10,2018-05-07,810645000.0,810645000.0,2696270000.0,-2028324000.0,667946000.0,-925495000.0,-603455000.0,-322040000.0,,-257549000.0,-114354000.0,-96256000.0,-371903000,,-371903000,-25278000.0,-397181000,,-330277000,-330277000,TSLA,2017-03-31
56317,USD,2017,Q2,2017-08-04,2018-08-06,826060000.0,826060000.0,2789557000.0,-2122942000.0,666615000.0,-907531000.0,-537757000.0,-369774000.0,,-240916000.0,-144864000.0,-103656000.0,-385780000,,-385780000,-15647000.0,-401427000,,-336397000,-336397000,TSLA,2017-06-30
56317,USD,2017,Q3,2017-11-03,2018-11-02,836470000.0,836470000.0,2984675000.0,-2535535000.0,449140000.0,-984620000.0,-652998000.0,-331622000.0,,-535480000.0,-135968000.0,-111578000.0,-671448000,,-671448000,285000.0,-671163000,,-619376000,-619376000,TSLA,2017-09-30
56317,USD,2017,Q4,2018-02-23,2019-02-19,841985000.0,841985000.0,3288249000.0,-2849463000.0,438786000.0,-1036927000.0,-682290000.0,-354637000.0,,-598141000.0,-181760000.0,-140083000.0,-779901000,,-779901000,9094000.0,-770807000,,-675350000,-675350000,TSLA,2017-12-31
56317,USD,2018,Q1,2018-05-07,2019-04-29,845730000.0,845730000.0,3408751000.0,-2952225000.0,456526000.0,-1053500000.0,-686404000.0,-367096000.0,,-596974000.0,-182048000.0,-144332000.0,-779022000,,-779022000,-5605000.0,-784627000,,-709551000,-709551000,TSLA,2018-03-31
56317,USD,2018,Q2,2018-08-06,2018-08-06,849985000.0,849985000.0,4002231000.0,-3383301000.0,618930000.0,-1136888000.0,-750759000.0,-386129000.0,,-517958000.0,-107607000.0,-158518000.0,-625565000,-103434000.0,-728999000,-13707000.0,-742706000,,-717539000,-717539000,TSLA,2018-06-30
56317,USD,2018,Q3,2018-11-02,2018-11-02,854465000.0,890980000.0,6824413000.0,-5300748000.0,1523665000.0,-1080724000.0,-729876000.0,-350848000.0,,442941000.0,-145437000.0,-168313000.0,297504000,-26184000.0,271320000,-16647000.0,254673000,,311516000,311516000,TSLA,2018-09-30
56317,USD,2018,Q4,2019-02-19,2021-02-08,860320000.0,823805000.0,7225605000.0,-5782726000.0,1442879000.0,-1023888000.0,-667961000.0,-355927000.0,,418991000.0,-181908000.0,-167837000.0,237083000,-5382000.0,231701000,-22041000.0,209660000,,139574000,139574000,TSLA,2018-12-31
56317,USD,2019,Q1,2019-04-29,2019-04-29,864945000.0,864945000.0,4541464000.0,-3975721000.0,565743000.0,-1044103000.0,-703929000.0,-340174000.0,,-478360000.0,-122941000.0,-148691000.0,-601301000,-43471000.0,-644772000,-22873000.0,-667645000,,-702135000,-702135000,TSLA,2019-03-31
56317,USD,2019,Q2,2019-07-29,2019-07-29,883270000.0,883270000.0,6349676000.0,-5428630000.0,921046000.0,-971159000.0,-647261000.0,-323898000.0,,-50113000.0,-202373000.0,-161617000.0,-252486000,-117345000.0,-369831000,-19431000.0,-389262000,,-408334000,-408334000,TSLA,2019-06-30
56317,USD,2019,Q3,2019-10-29,2019-10-29,895000000.0,920000000.0,6303000000.0,-5112000000.0,1191000000.0,-930000000.0,-596000000.0,-334000000.0,,261000000.0,-85000000.0,-170000000.0,176000000,,176000000,-26000000.0,150000000,,143000000,143000000,TSLA,2019-09-30
56317,USD,2019,Q4,2020-04-28,2020-04-28,896785000.0,871785000.0,7383860000.0,-5992649000.0,1391211000.0,-1043738000.0,-698810000.0,-344928000.0,,347473000.0,-185686000.0,-160692000.0,161787000,11816000.0,173603000,-41696000.0,131907000,,105469000,105469000,TSLA,2019-12-31
56317,USD,2020,Q1,2020-04-30,2021-04-28,915000000.0,995000000.0,5985000000.0,-4751000000.0,1234000000.0,-951000000.0,-627000000.0,-324000000.0,,283000000.0,-213000000.0,-159000000.0,70000000,,70000000,-2000000.0,68000000,,16000000,16000000,TSLA,2020-03-31
