SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
333363,USD,2016,Q3,2016-04-07,2017-04-14,1962062.0,1962062.0,15074832.0,-12770009.0,2304823.0,-2318607.0,-2318607.0,,,-13784.0,2250.0,2250.0,-11534,-4144.0,-15678,7000.0,-8678,,-23647,-23647,TSRI,2016-02-29
333363,USD,2016,Q4,2016-07-28,2017-08-15,1962062.0,1962062.0,15503655.0,-12874287.0,2629368.0,-2328604.0,-2328604.0,,,300764.0,2622.0,2622.0,303386,1600.0,304986,-119000.0,185986,,169060,169060,TSRI,2016-05-31
333363,USD,2017,Q1,2016-10-12,2017-10-11,1962062.0,1962062.0,15242383.0,-12640900.0,2601483.0,-2315740.0,-2315740.0,,,285743.0,2736.0,2736.0,288479,3440.0,291919,-136000.0,155919,,147777,147777,TSRI,2016-08-31
333363,USD,2017,Q2,2017-01-10,2017-01-10,1962062.0,1962062.0,15042789.0,-12452751.0,2590038.0,-2344682.0,-2344682.0,,,245356.0,2682.0,2682.0,248038,-952.0,247086,-110000.0,137086,,126317,126317,TSRI,2016-11-30
333363,USD,2017,Q3,2017-04-14,2017-04-14,1962062.0,1962062.0,15390236.0,-12988277.0,2401959.0,-2521189.0,-2521189.0,,,-119230.0,2649.0,2649.0,-116581,1200.0,-115381,58000.0,-57381,,-68401,-68401,TSRI,2017-02-28
333363,USD,2017,Q4,2017-08-15,2017-08-15,1962062.0,1962062.0,16897177.0,-14244593.0,2652584.0,-2501990.0,-2501990.0,,,150594.0,2821.0,2821.0,153415,-72.0,153343,-75000.0,78343,,62496,62496,TSRI,2017-05-31
333363,USD,2018,Q1,2017-10-11,2017-10-11,1962062.0,1962062.0,17037108.0,-14192630.0,2844478.0,-2567989.0,-2567989.0,,,276489.0,2702.0,2702.0,279191,-832.0,278359,-118000.0,160359,,141089,141089,TSRI,2017-08-31
333363,USD,2018,Q2,2018-01-09,2018-01-09,1962062.0,1962062.0,16515596.0,-13795750.0,2719846.0,-2287898.0,-2287898.0,,,431948.0,2451.0,2451.0,434399,7816.0,442215,-188000.0,254215,,227088,227088,TSRI,2017-11-30
333363,USD,2018,Q3,2018-04-12,2018-04-12,1962062.0,1962062.0,15057682.0,-12771586.0,2286096.0,-2323748.0,-2323748.0,,,-37652.0,3049.0,3049.0,-34603,3560.0,-31043,23000.0,-8043,,-18846,-18846,TSRI,2018-02-28
333363,USD,2018,Q4,2018-08-21,2018-08-21,1962062.0,1962062.0,16379609.0,-13849129.0,2530480.0,-2291888.0,-2291888.0,,,238592.0,4179.0,4179.0,242771,4728.0,247499,-98000.0,149499,,136877,136877,TSRI,2018-05-31
333363,USD,2019,Q1,2018-10-12,2018-10-12,1962062.0,1962062.0,16580921.0,-13984547.0,2596374.0,-2520549.0,-2520549.0,,,75825.0,4627.0,4627.0,80452,-5416.0,75036,-19000.0,56036,,37795,37795,TSRI,2018-08-31
333363,USD,2019,Q2,2019-01-11,2019-01-11,1962062.0,1962062.0,16402356.0,-13643879.0,2758477.0,-2882226.0,-2882226.0,,,-123749.0,4948.0,4948.0,-118801,704.0,-118097,31000.0,-87097,,-96741,-96741,TSRI,2018-11-30
333363,USD,2019,Q3,2019-04-12,2019-04-12,1962062.0,1962062.0,14782706.0,-12651580.0,2131126.0,-3046720.0,-3046720.0,,,-915594.0,5096.0,5096.0,-910498,38.0,-910460,235000.0,-675460,,-676234,-676234,TSRI,2019-02-28
333363,USD,2019,Q4,2019-09-24,2019-09-24,1962062.0,1962062.0,15574045.0,-13234630.0,2339415.0,-3223451.0,-3223451.0,,,-884036.0,7638.0,7638.0,-876398,-7136.0,-883534,291000.0,-592534,,-600815,-600815,TSRI,2019-05-31
333363,USD,2020,Q1,2019-10-15,2019-10-15,1962062.0,1962062.0,14946562.0,-12671052.0,2275510.0,-3189463.0,-3189463.0,,,-913953.0,4915.0,4915.0,-909038,2696.0,-906342,247000.0,-659342,,-663014,-663014,TSRI,2019-08-31
333363,USD,2020,Q2,2020-01-13,2021-01-19,1962062.0,1962062.0,15233869.0,-12784085.0,2449784.0,-2385530.0,-2385530.0,,,64254.0,2992.0,2992.0,67246,8512.0,75758,-8000.0,67758,,61512,61512,TSRI,2019-11-30
333363,USD,2020,Q3,2020-04-13,2021-04-14,1962062.0,1962062.0,14144569.0,-12124514.0,2020055.0,-3270723.0,-3270723.0,,,-1250668.0,-41301.0,-41301.0,-1291969,-2024.0,-1293993,352000.0,-941993,,-945102,-945102,TSRI,2020-02-29
