SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
378232,USD,2010,Q2,2010-08-09,2011-08-08,96703000.0,98054000.0,1194551000.0,,1194551000.0,-1064802000.0,-761663000.0,,-54025000.0,129749000.0,-12277000.0,-12277000.0,117472000,,117472000,-41057000.0,76415000,,65572000,65572000,UHS,2010-06-30
378232,USD,2010,Q3,2010-11-05,2011-11-07,96777000.0,97935000.0,1189797000.0,,1189797000.0,-1085113000.0,-771195000.0,,-55530000.0,104684000.0,-11478000.0,-11478000.0,93206000,,93206000,-27404000.0,65802000,,55610000,55610000,UHS,2010-09-30
378232,USD,2010,Q4,2011-09-08,2013-02-28,97125000.0,98453000.0,1294036000.0,,1294036000.0,-1110083000.0,-842137000.0,,-53864000.0,183953000.0,-41485000.0,-41485000.0,142468000,-53220000.0,89248000,-38432000.0,50816000,,37182000,37182000,UHS,2010-12-31
378232,USD,2011,Q1,2011-05-06,2012-05-08,97381000.0,98868000.0,1757412000.0,,1757412000.0,-1496999000.0,-1076202000.0,,-71351000.0,260413000.0,-56417000.0,-56417000.0,203996000,,203996000,-74009000.0,129987000,,114193000,114193000,UHS,2011-03-31
378232,USD,2011,Q2,2011-08-08,2012-08-08,97563000.0,99258000.0,1714464000.0,,1714464000.0,-1482227000.0,-1061558000.0,,-71215000.0,232237000.0,-49808000.0,-49808000.0,182429000,,182429000,-66395000.0,116034000,,103649000,103649000,UHS,2011-06-30
378232,USD,2011,Q3,2011-11-07,2012-11-08,97397000.0,98598000.0,1662675000.0,,1662675000.0,-1467147000.0,-1050104000.0,,-73170000.0,195528000.0,-48452000.0,-48452000.0,147076000,0.0,147076000,-52234000.0,94842000,,85054000,85054000,UHS,2011-09-30
378232,USD,2011,Q4,2012-02-27,2014-02-27,96455000.0,97424000.0,1625671000.0,,1625671000.0,-1416721000.0,-1034326000.0,,-71475000.0,208950000.0,-46115000.0,-46115000.0,162835000,0.0,162835000,-54828000.0,108007000,,95271000,95271000,UHS,2011-12-31
378232,USD,2012,Q1,2012-05-08,2013-05-08,96593000.0,97791000.0,1793036000.0,,1793036000.0,-1524008000.0,-1100916000.0,,-71792000.0,269028000.0,-46710000.0,-46710000.0,222318000,,222318000,-79748000.0,142570000,,128607000,128607000,UHS,2012-03-31
378232,USD,2012,Q2,2012-08-08,2013-08-08,96691000.0,97729000.0,1723083000.0,,1723083000.0,-1492751000.0,-1076662000.0,,-72983000.0,230332000.0,-45888000.0,-45888000.0,184444000,,184444000,-67000000.0,117444000,,107561000,107561000,UHS,2012-06-30
378232,USD,2012,Q3,2012-11-08,2013-11-07,96817000.0,97611000.0,1680353000.0,,1680353000.0,-1482471000.0,-1053303000.0,,-77032000.0,197882000.0,-45207000.0,-45207000.0,152675000,-29170000.0,123505000,-42132000.0,81373000,,71817000,71817000,UHS,2012-09-30
378232,USD,2012,Q4,2013-02-28,2015-02-26,97183000.0,97713000.0,1764928000.0,,1764928000.0,-1484703000.0,-1104542000.0,,-80619000.0,280225000.0,-41113000.0,-41113000.0,239112000,-5716000.0,233396000,-85736000.0,147660000,,135461000,135461000,UHS,2012-12-31
378232,USD,2013,Q1,2013-05-08,2014-05-07,97711000.0,98571000.0,1831632000.0,,1831632000.0,-1587710000.0,-1131603000.0,,-79812000.0,243922000.0,-39938000.0,-39938000.0,203984000,,203984000,-74049000.0,129935000,,119784000,119784000,UHS,2013-03-31
378232,USD,2013,Q2,2013-08-08,2014-08-08,98033000.0,99211000.0,1834975000.0,,1834975000.0,-1530921000.0,-1123760000.0,,-81682000.0,304054000.0,-38236000.0,-38236000.0,265818000,,265818000,-98015000.0,167803000,,151841000,151841000,UHS,2013-06-30
378232,USD,2013,Q3,2013-11-07,2014-11-07,98151000.0,99587000.0,1816369000.0,,1816369000.0,-1591483000.0,-1134111000.0,,-86971000.0,224886000.0,-32314000.0,-32314000.0,192572000,0.0,192572000,-69473000.0,123099000,,114587000,114587000,UHS,2013-09-30
378232,USD,2013,Q4,2014-02-27,2016-02-25,98237000.0,100075000.0,1884897000.0,,1884897000.0,-1642296000.0,-1133993000.0,,-88707000.0,242601000.0,-35643000.0,-35643000.0,206958000,0.0,206958000,-73772000.0,133186000,,124521000,124521000,UHS,2013-12-31
378232,USD,2014,Q1,2014-05-07,2015-05-08,98572000.0,100157000.0,1938314000.0,,1938314000.0,-1667338000.0,-1174501000.0,,-93359000.0,270976000.0,-35193000.0,-35193000.0,235783000,,235783000,-83931000.0,151852000,,138078000,138078000,UHS,2014-03-31
378232,USD,2014,Q2,2014-08-08,2015-08-07,98872000.0,100235000.0,2051766000.0,,2051766000.0,-1758334000.0,-1209152000.0,,-90691000.0,293432000.0,-35087000.0,-35087000.0,258345000,,258345000,-91731000.0,166614000,,151671000,151671000,UHS,2014-06-30
378232,USD,2014,Q3,2014-11-07,2015-11-06,99052000.0,101033000.0,2038717000.0,,2038717000.0,-1825935000.0,-1200151000.0,,-93456000.0,212782000.0,-32133000.0,-32133000.0,180649000,-36171000.0,144478000,-48440000.0,96038000,,82797000,82797000,UHS,2014-09-30
378232,USD,2014,Q4,2015-02-26,2017-02-28,98808000.0,100751000.0,2176291000.0,,2176291000.0,-1854005000.0,-1251343000.0,,-98118000.0,322286000.0,-31225000.0,-31225000.0,291061000,0.0,291061000,-100569000.0,190492000,,172797000,172797000,UHS,2014-12-31
378232,USD,2015,Q1,2015-05-08,2016-05-06,98910000.0,100647000.0,2225353000.0,,2225353000.0,-1898299000.0,-1293335000.0,,-98998000.0,327054000.0,-30037000.0,-30037000.0,297017000,,297017000,-102694000.0,194323000,,174299000,174299000,UHS,2015-03-31
378232,USD,2015,Q2,2015-08-07,2016-08-05,99004000.0,100927000.0,2275204000.0,,2275204000.0,-1939812000.0,-1308239000.0,,-97257000.0,335392000.0,-27684000.0,-27684000.0,307708000,,307708000,-106304000.0,201404000,,182193000,182193000,UHS,2015-06-30
378232,USD,2015,Q3,2015-11-06,2016-11-08,98858000.0,101159000.0,2227655000.0,,2227655000.0,-1952498000.0,-1324029000.0,,-99442000.0,275157000.0,-27130000.0,-27130000.0,248027000,,248027000,-84373000.0,163654000,,150287000,150287000,UHS,2015-09-30
378232,USD,2015,Q4,2016-02-25,2017-02-28,98416000.0,100043000.0,2315239000.0,,2315239000.0,-1993447000.0,-1355845000.0,,-102921000.0,321792000.0,-28643000.0,-28643000.0,293149000,0.0,293149000,-101832000.0,191317000,,173749000,173749000,UHS,2015-12-31
378232,USD,2016,Q1,2016-05-06,2017-05-08,97607000.0,98895000.0,2449798000.0,,2449798000.0,-2093474000.0,-1427841000.0,,-104049000.0,356324000.0,-29600000.0,-29600000.0,326724000,,326724000,-111005000.0,215719000,,190759000,190759000,UHS,2016-03-31
378232,USD,2016,Q2,2016-08-05,2017-08-07,97109000.0,98389000.0,2430855000.0,,2430855000.0,-2097567000.0,-1410161000.0,,-101411000.0,333288000.0,-30442000.0,-30442000.0,302846000,,302846000,-107397000.0,195449000,,185577000,185577000,UHS,2016-06-30
378232,USD,2016,Q3,2016-11-08,2016-11-08,97118000.0,98321000.0,2409872000.0,,2409872000.0,-2132303000.0,-1431321000.0,,-103712000.0,277569000.0,-32129000.0,-32129000.0,245440000,,245440000,-88175000.0,157265000,,151865000,151865000,UHS,2016-09-30
378232,USD,2016,Q4,2017-02-28,2017-02-28,96998000.0,97915000.0,2475685000.0,,2475685000.0,-2161455000.0,-1444868000.0,,-107436000.0,314230000.0,-32882000.0,-32882000.0,281348000,0.0,281348000,-102610000.0,178738000,,174208000,174208000,UHS,2016-12-31
378232,USD,2017,Q1,2017-05-08,2017-05-08,96585000.0,97372000.0,2612858000.0,,2612858000.0,-2258925000.0,-1540767000.0,,-110798000.0,353933000.0,-35507000.0,-35507000.0,318426000,,318426000,-107899000.0,210527000,,206055000,206055000,UHS,2017-03-31
