SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
767720,USD,2015,Q4,2016-02-03,2018-03-12,45741223.0,45741223.0,10887000.0,-8605000.0,2282000.0,-15567000.0,-3219000.0,,-1792000.0,-13285000.0,-1437000.0,-644000.0,-14722000,-56977000.0,-71699000,0.0,-71699000,,-71699000,-71699000,UUUU,2015-12-31
767720,USD,2016,Q1,2016-06-02,2017-05-05,47660414.0,47660414.0,17996000.0,-12143000.0,5853000.0,-13729000.0,-3902000.0,,-219000.0,-7876000.0,-488000.0,-576000.0,-8364000,-501000.0,-8865000,,-8865000,,-8865000,-8865000,UUUU,2016-03-31
767720,USD,2016,Q2,2016-08-05,2017-08-03,53043512.0,53043512.0,7006000.0,-4099000.0,2907000.0,-11439000.0,-4380000.0,,-2219000.0,-8532000.0,-114000.0,-585000.0,-8646000,-1795000.0,-10441000,,-10441000,,-10408000,-10408000,UUUU,2016-06-30
767720,USD,2016,Q3,2016-11-03,2017-11-02,58630457.0,58630457.0,8702000.0,-4341000.0,4361000.0,-11344000.0,-3862000.0,,-583000.0,-6983000.0,1297000.0,-573000.0,-5686000,-2559000.0,-8245000,,-8245000,,-8076000,-8076000,UUUU,2016-09-30
767720,USD,2016,Q4,2017-03-10,2018-03-12,66429849.0,66429849.0,20848000.0,-14870000.0,5978000.0,-14057000.0,-3754000.0,,-298000.0,-8079000.0,-1785000.0,-555000.0,-9864000,-2449000.0,-12313000,0.0,-12313000,,-12515000,-12515000,UUUU,2016-12-31
767720,USD,2017,Q1,2017-05-05,2018-05-04,68761350.0,68761350.0,3756000.0,-2071000.0,1685000.0,-9232000.0,-4498000.0,,-205000.0,-7547000.0,-2459000.0,-542000.0,-10006000,-590000.0,-10596000,,-10596000,,-10508000,-10508000,UUUU,2017-03-31
767720,USD,2017,Q2,2017-08-03,2018-08-06,70423642.0,70423642.0,17883000.0,-11071000.0,6812000.0,-8525000.0,-3423000.0,,-2887000.0,-1713000.0,3177000.0,-503000.0,1464000,-5944000.0,-4480000,,-4480000,,-4470000,-4470000,UUUU,2017-06-30
767720,USD,2017,Q3,2017-11-02,2018-11-05,71436413.0,71436413.0,5499000.0,-2704000.0,2795000.0,-6397000.0,-2978000.0,,-205000.0,-3602000.0,127000.0,-562000.0,-3475000,-1409000.0,-4884000,,-4884000,,-4766000,-4766000,UUUU,2017-09-30
767720,USD,2017,Q4,2018-03-12,2018-03-12,72815023.0,72815023.0,3908000.0,-3559000.0,349000.0,-6821000.0,-4299000.0,,0.0,-6472000.0,-377000.0,-494000.0,-6849000,-1181000.0,-8030000,0.0,-8030000,,-8246000,-8246000,UUUU,2017-12-31
767720,USD,2018,Q1,2018-05-04,2018-05-04,75209456.0,75209456.0,1254000.0,-1238000.0,16000.0,-8947000.0,-4835000.0,,0.0,-8931000.0,-429000.0,-492000.0,-9360000,-1469000.0,-10829000,,-10829000,,-10822000,-10822000,UUUU,2018-03-31
767720,USD,2018,Q2,2018-08-06,2018-08-06,77513180.0,86534484.0,26973000.0,-10670000.0,16303000.0,-7386000.0,-2500000.0,,-2502000.0,8917000.0,24000.0,-475000.0,8941000,-1797000.0,7144000,,7144000,,7149000,7149000,UUUU,2018-06-30
767720,USD,2018,Q3,2018-11-05,2018-11-05,87197294.0,87197294.0,451000.0,0.0,451000.0,-9493000.0,-3226000.0,,0.0,-9042000.0,-3682000.0,-417000.0,-12724000,-1173000.0,-13897000,,-13897000,,-13812000,-13812000,UUUU,2018-09-30
767720,USD,2018,Q4,2019-03-14,2019-03-14,93981670.0,84960366.0,3043000.0,-2844000.0,199000.0,-6041000.0,-3780000.0,,0.0,-5842000.0,37000.0,-338000.0,-5805000,-1975000.0,-7780000,,-7780000,,-7760000,-7760000,UUUU,2018-12-31
767720,USD,2019,Q1,2019-05-08,2019-05-08,92152844.0,92152844.0,1670000.0,-916000.0,754000.0,-9187000.0,-3761000.0,,,-8433000.0,-2012000.0,-329000.0,-10445000,-1689000.0,-12134000,,-12134000,,-12127000,-12127000,UUUU,2019-03-31
767720,USD,2019,Q2,2019-08-05,2019-08-05,93920953.0,93920953.0,3071000.0,-2686000.0,385000.0,-6502000.0,-3852000.0,,0.0,-6117000.0,2190000.0,-362000.0,-3927000,-5387000.0,-9314000,,-9314000,,-9312000,-9312000,UUUU,2019-06-30
767720,USD,2019,Q3,2019-11-04,2019-11-04,96840539.0,96840539.0,423000.0,-16000.0,407000.0,-6425000.0,-3246000.0,,0.0,-6018000.0,1893000.0,-419000.0,-4125000,-2814000.0,-6939000,,-6939000,,-6840000,-6840000,UUUU,2019-09-30
767720,USD,2019,Q4,2020-03-17,2020-03-17,99747132.0,99747132.0,701000.0,-329000.0,372000.0,-4103000.0,-3594000.0,,0.0,-3731000.0,416000.0,-381000.0,-3315000,-6392000.0,-9707000,,-9707000,,-9699000,-9699000,UUUU,2019-12-31
767720,USD,2020,Q1,2020-05-04,2021-05-13,107618908.0,107618908.0,393000.0,,393000.0,-6643000.0,-4042000.0,,,-6250000.0,2142000.0,-350000.0,-4108000,-1556000.0,-5664000,,-5664000,,-5657000,-5657000,UUUU,2020-03-31
