SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
361284,USD,2009,Q3,2009-08-11,2010-08-10,124237000.0,124991000.0,509871000.0,-293631000.0,216240000.0,-113752000.0,-78427000.0,-35325000.0,,102488000.0,-233000.0,-233000.0,102255000,,102255000,-16904000.0,85351000,,85351000,85351000,VAR,2009-06-30
361284,USD,2009,Q4,2009-11-25,2011-11-23,124299000.0,125325000.0,641929000.0,-357012000.0,284917000.0,-134234000.0,-96141000.0,-38093000.0,,150683000.0,-262000.0,-262000.0,150421000,,150421000,-53233000.0,97188000,-127000.0,97061000,97061000,VAR,2009-09-30
361284,USD,2010,Q1,2010-02-09,2011-02-09,123690000.0,125061000.0,540906000.0,-299889000.0,241017000.0,-121930000.0,-83542000.0,-38388000.0,,119087000.0,-296000.0,-296000.0,118791000,,118791000,-40016000.0,78775000,0.0,78775000,78775000,VAR,2009-12-31
361284,USD,2010,Q2,2010-05-11,2011-05-11,122938000.0,124337000.0,585571000.0,-331593000.0,253978000.0,-118422000.0,-79502000.0,-38920000.0,,135556000.0,-379000.0,-379000.0,135177000,,135177000,-44063000.0,91114000,,91114000,91114000,VAR,2010-03-31
361284,USD,2010,Q3,2010-08-10,2011-08-10,122072000.0,124511000.0,578051000.0,-323670000.0,254381000.0,-123616000.0,-84742000.0,-38874000.0,,130765000.0,-818000.0,-818000.0,129947000,,129947000,-38003000.0,91944000,-6450000.0,85494000,85494000,VAR,2010-06-30
361284,USD,2010,Q4,2011-05-05,2012-11-21,118564000.0,122191000.0,652057000.0,-375791000.0,276266000.0,-127472000.0,-86906000.0,-40566000.0,,148794000.0,216000.0,216000.0,149010000,,149010000,-43362000.0,105648000,-609000.0,105039000,105039000,VAR,2010-09-30
361284,USD,2011,Q1,2011-02-09,2012-02-07,118170000.0,121212000.0,579852000.0,-313013000.0,266839000.0,-129812000.0,-91310000.0,-38502000.0,,137027000.0,74000.0,74000.0,137101000,,137101000,-40612000.0,96489000,,96489000,96489000,VAR,2010-12-31
361284,USD,2011,Q2,2011-05-11,2012-05-08,117959000.0,120386000.0,648455000.0,-359461000.0,288994000.0,-137797000.0,-93924000.0,-43873000.0,,151197000.0,0.0,0.0,151197000,,151197000,-48118000.0,103079000,,103079000,103079000,VAR,2011-03-31
361284,USD,2011,Q3,2011-08-10,2012-08-07,116874000.0,119064000.0,649438000.0,-369683000.0,279755000.0,-139264000.0,-94838000.0,-44426000.0,,140491000.0,80000.0,80000.0,140571000,,140571000,-41966000.0,98605000,,98605000,98605000,VAR,2011-06-30
361284,USD,2011,Q4,2011-11-23,2013-11-26,113809000.0,114278000.0,718921000.0,-418620000.0,300301000.0,-140565000.0,-96641000.0,-43924000.0,,159736000.0,105000.0,105000.0,159841000,,159841000,-49388000.0,110453000,-9693000.0,100760000,100760000,VAR,2011-09-30
361284,USD,2012,Q1,2012-02-07,2013-02-05,112267000.0,114370000.0,625338000.0,-356579000.0,268759000.0,-139840000.0,-96075000.0,-43765000.0,,128919000.0,321000.0,321000.0,129240000,,129240000,-39006000.0,90234000,,90234000,90234000,VAR,2011-12-31
361284,USD,2012,Q2,2012-05-08,2013-05-08,112354000.0,114513000.0,720274000.0,-423578000.0,296696000.0,-152897000.0,-105830000.0,-47067000.0,,143799000.0,402000.0,402000.0,144201000,,144201000,-36429000.0,107772000,,107772000,107772000,VAR,2012-03-31
361284,USD,2012,Q3,2012-09-17,2013-08-06,111070000.0,112823000.0,705246000.0,-397635000.0,307611000.0,-154024000.0,-105081000.0,-48943000.0,,153587000.0,379000.0,379000.0,153966000,,153966000,-45123000.0,108843000,,108843000,108843000,VAR,2012-06-30
361284,USD,2012,Q4,2012-11-21,2014-11-25,109813000.0,112186000.0,756157000.0,-432887000.0,323270000.0,-155501000.0,-109534000.0,-45967000.0,,167769000.0,748000.0,748000.0,168517000,,168517000,-48317000.0,120200000,,120200000,120200000,VAR,2012-09-30
361284,USD,2013,Q1,2013-02-05,2014-01-30,109298000.0,111144000.0,678398000.0,-387310000.0,291088000.0,-153598000.0,-106481000.0,-47117000.0,,137490000.0,673000.0,673000.0,138163000,,138163000,-42880000.0,95283000,,95283000,95283000,VAR,2012-12-31
361284,USD,2013,Q2,2013-05-08,2014-05-05,108841000.0,110650000.0,768358000.0,-448720000.0,319638000.0,-163934000.0,-113031000.0,-50903000.0,,155704000.0,679000.0,679000.0,156383000,,156383000,-43595000.0,112788000,,112788000,112788000,VAR,2013-03-31
