SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
672273,USD,2007,Q4,2008-04-08,2008-05-14,22875651.0,22919665.0,131269000.0,-106595000.0,24674000.0,-28208000.0,-25235000.0,,,-3534000.0,1887000.0,-40000.0,-1647000,,-1647000,-138000.0,-1785000,-392000.0,-2177000,-2177000,VOXX,2008-02-29
672273,USD,2008,Q1,2008-07-10,2009-07-10,22875651.0,22919665.0,144583000.0,-122068000.0,22515000.0,-30404000.0,-27600000.0,,,-7889000.0,720000.0,-476000.0,-7169000,,-7169000,1946000.0,-5223000,,-5223000,-5223000,VOXX,2008-05-31
672273,USD,2008,Q2,2008-10-09,2009-10-13,22875651.0,22919665.0,147208000.0,-122148000.0,25060000.0,-29111000.0,-26132000.0,,,-4051000.0,88000.0,-510000.0,-3963000,,-3963000,1652000.0,-2311000,,-2311000,-2311000,VOXX,2008-08-31
672273,USD,2008,Q3,2009-01-09,2010-01-11,22875651.0,22919665.0,195642000.0,-156684000.0,38958000.0,-27306000.0,-24870000.0,,,11652000.0,-947000.0,-453000.0,10705000,,10705000,-4180000.0,6525000,,6525000,6525000,VOXX,2008-11-30
672273,USD,2008,Q4,2009-05-14,2009-05-14,22875651.0,22919665.0,115666000.0,-101931000.0,13735000.0,-28076000.0,-25773000.0,,,-14341000.0,-2372000.0,-378000.0,-16713000,-38814000.0,-55527000,-14493000.0,-70020000,,-70020000,-70020000,VOXX,2009-02-28
672273,USD,2009,Q1,2009-07-10,2010-07-12,22875651.0,22919665.0,119806000.0,-96882000.0,22924000.0,-22692000.0,-20620000.0,,,232000.0,524000.0,-319000.0,756000,,756000,-283000.0,473000,,473000,473000,VOXX,2009-05-31
672273,USD,2009,Q2,2009-10-13,2010-10-12,22875651.0,22919665.0,124890000.0,-101292000.0,23598000.0,-22780000.0,-20575000.0,,,818000.0,379000.0,-384000.0,1197000,,1197000,1578000.0,2775000,,2775000,2775000,VOXX,2009-08-31
672273,USD,2009,Q3,2010-01-11,2011-01-10,22875651.0,22919665.0,155657000.0,-125431000.0,30226000.0,-27090000.0,-24547000.0,,,3136000.0,506000.0,-394000.0,3642000,,3642000,9003000.0,12645000,,12645000,12645000,VOXX,2009-11-30
672273,USD,2009,Q4,2010-05-14,2012-05-14,22875651.0,22919665.0,150342000.0,-120339000.0,30003000.0,-30220000.0,-27259000.0,,,-217000.0,5986000.0,-459000.0,5769000,-209000.0,5560000,1030000.0,6590000,,6590000,6590000,VOXX,2010-02-28
672273,USD,2010,Q1,2010-07-12,2011-07-11,22887187.0,23032144.0,130313000.0,-103252000.0,27061000.0,-28548000.0,-26159000.0,,,-1487000.0,1968000.0,-441000.0,481000,,481000,638000.0,1119000,,1119000,1119000,VOXX,2010-05-31
672273,USD,2010,Q2,2010-10-12,2011-10-11,22893161.0,23043136.0,129297000.0,-101827000.0,27470000.0,-27295000.0,-23655000.0,,,175000.0,859000.0,-479000.0,1034000,,1034000,-389000.0,645000,,645000,645000,VOXX,2010-08-31
672273,USD,2010,Q3,2011-01-10,2012-01-09,22933890.0,23098627.0,163167000.0,-128570000.0,34597000.0,-29195000.0,-26172000.0,,,5402000.0,492000.0,-471000.0,5894000,,5894000,-2035000.0,3859000,,3859000,3859000,VOXX,2010-11-30
672273,USD,2010,Q4,2011-05-16,2013-05-15,23040778.0,23276165.0,138895000.0,-104086000.0,34809000.0,-28675000.0,-25793000.0,,,6134000.0,160000.0,-1239000.0,6294000,-1207000.0,5087000,12321000.0,17408000,,17408000,17408000,VOXX,2011-02-28
672273,USD,2011,Q1,2011-07-11,2012-07-10,23079394.0,23287621.0,165325000.0,-121637000.0,43688000.0,-38368000.0,-34557000.0,,,5320000.0,127000.0,-1483000.0,5447000,-1343000.0,4104000,-1617000.0,2487000,,2487000,2487000,VOXX,2011-05-31
672273,USD,2011,Q2,2011-10-11,2012-10-10,23073959.0,23254296.0,158337000.0,-114475000.0,43862000.0,-35971000.0,-31964000.0,,,7891000.0,-1729000.0,-1392000.0,6162000,-239000.0,5923000,-2484000.0,3439000,,3439000,3439000,VOXX,2011-08-31
672273,USD,2011,Q3,2012-01-09,2013-01-09,23074030.0,23074030.0,206803000.0,-146960000.0,59843000.0,-41381000.0,-37360000.0,,,18462000.0,-3443000.0,-1371000.0,15019000,-25000.0,14994000,-6136000.0,8858000,,8858000,8858000,VOXX,2011-11-30
672273,USD,2011,Q4,2012-05-14,2014-05-15,23092941.0,23444877.0,176597000.0,-121035000.0,55562000.0,-40606000.0,-36620000.0,,,14956000.0,63000.0,-1384000.0,15019000,-1148000.0,13871000,-3006000.0,10865000,,10865000,10865000,VOXX,2012-02-29
672273,USD,2012,Q1,2012-07-10,2013-07-10,23301464.0,23301464.0,194036000.0,-143540000.0,50496000.0,-45841000.0,-38430000.0,,,4655000.0,-10543000.0,-2244000.0,-5888000,-1596000.0,-7484000,2784000.0,-4700000,,-4700000,-4700000,VOXX,2012-05-31
672273,USD,2012,Q2,2012-10-10,2013-10-10,23397769.0,23599929.0,191715000.0,-137029000.0,54686000.0,-47791000.0,-41098000.0,,,6895000.0,-843000.0,-1693000.0,6052000,-55000.0,5997000,-2277000.0,3720000,,3720000,3720000,VOXX,2012-08-31
672273,USD,2012,Q3,2013-01-09,2014-01-08,23434965.0,23536140.0,243036000.0,-173087000.0,69949000.0,-50103000.0,-43165000.0,,,19846000.0,-330000.0,-2286000.0,19516000,-56000.0,19460000,-6258000.0,13202000,,13202000,13202000,VOXX,2012-11-30
672273,USD,2012,Q4,2013-05-15,2015-05-14,23528082.0,24030871.0,206790000.0,-145099000.0,61691000.0,-49865000.0,-43936000.0,,,11826000.0,6152000.0,-2065000.0,17978000,-296000.0,17682000,-7412000.0,10270000,,10270000,10270000,VOXX,2013-02-28
672273,USD,2013,Q1,2013-07-10,2014-07-10,23720275.0,23946638.0,192972000.0,-138459000.0,54513000.0,-50796000.0,-42061000.0,,,3717000.0,-208000.0,-1980000.0,3509000,-303000.0,3206000,-1064000.0,2142000,,2142000,2142000,VOXX,2013-05-31
672273,USD,2013,Q2,2013-10-10,2014-10-09,24122364.0,24258788.0,183818000.0,-129716000.0,54102000.0,-50871000.0,-41645000.0,,,3231000.0,5394000.0,-1799000.0,8625000,-974000.0,7651000,-2788000.0,4863000,,4863000,4863000,VOXX,2013-08-31
672273,USD,2013,Q3,2014-01-08,2015-01-08,24341897.0,24424956.0,245814000.0,-177016000.0,68798000.0,-52188000.0,-46448000.0,,,16610000.0,5255000.0,-1830000.0,21865000,-32000.0,21833000,-6409000.0,15424000,,15424000,15424000,VOXX,2013-11-30
672273,USD,2013,Q4,2014-05-15,2016-05-16,24252544.0,23806698.0,187105000.0,-134270000.0,52835000.0,-54883000.0,-44423000.0,,,-2048000.0,102000.0,-1785000.0,-1946000,-57399000.0,-59345000,10319000.0,-49026000,,-49026000,-49026000,VOXX,2014-02-28
