SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
344083,USD,2013,Q3,2013-11-07,2015-02-13,230505000.0,230505000.0,221700000.0,-20048000.0,201652000.0,-325208000.0,-86427000.0,-231490000.0,,-123556000.0,4656000.0,-104000.0,-118900000,,-118900000,-2555000.0,-121455000,-7207000.0,-124132000,-124132000,VRTX,2013-09-30
344083,USD,2013,Q4,2014-02-11,2016-02-16,231645000.0,231645000.0,351157000.0,-13281000.0,337876000.0,-348157000.0,-73055000.0,-266119000.0,,-10281000.0,-9287000.0,-12626000.0,-19568000,,-19568000,-1352000.0,-20920000,-163629000.0,44285000,44285000,VRTX,2013-12-31
344083,USD,2014,Q1,2014-05-05,2016-02-16,232887000.0,232887000.0,118451000.0,-8572000.0,109879000.0,-325921000.0,-74212000.0,-244805000.0,,-216042000.0,-15266000.0,-15717000.0,-231308000,,-231308000,-803000.0,-232111000,-346000.0,-232457000,-232457000,VRTX,2014-03-31
344083,USD,2014,Q2,2014-07-31,2016-02-16,233808000.0,233808000.0,138421000.0,-9655000.0,128766000.0,-309308000.0,-77446000.0,-224217000.0,,-180542000.0,22146000.0,-15585000.0,-158396000,,-158396000,-693000.0,-159089000,-293000.0,-159382000,-159382000,VRTX,2014-06-30
344083,USD,2014,Q3,2014-11-06,2016-02-16,236137000.0,236137000.0,178987000.0,-10208000.0,168779000.0,-310982000.0,-75224000.0,-231782000.0,,-142203000.0,-24374000.0,-20384000.0,-166577000,,-166577000,-3419000.0,-169996000,-64000.0,-170060000,-170060000,VRTX,2014-09-30
344083,USD,2014,Q4,2015-02-13,2017-02-23,238396000.0,238396000.0,144556000.0,-11290000.0,133266000.0,-286891000.0,-78527000.0,-205627000.0,,-153625000.0,-24969000.0,-21177000.0,-178594000,,-178594000,-2043000.0,-180637000,-209000.0,-176656000,-176656000,VRTX,2014-12-31
344083,USD,2015,Q1,2015-05-04,2016-05-03,239493000.0,239493000.0,138509000.0,-9381000.0,129128000.0,-301113000.0,-85860000.0,-212327000.0,,-171985000.0,-26420000.0,-21307000.0,-198405000,,-198405000,-299000.0,-198704000,,-198606000,-198606000,VRTX,2015-03-31
344083,USD,2015,Q2,2015-08-04,2016-08-01,240757000.0,240757000.0,166076000.0,-15409000.0,150667000.0,-321831000.0,-94394000.0,-225986000.0,,-171164000.0,-19697000.0,-21111000.0,-190861000,,-190861000,-30131000.0,-220992000,,-188848000,-188848000,VRTX,2015-06-30
344083,USD,2015,Q3,2015-10-30,2016-10-31,241969000.0,241969000.0,309816000.0,-30269000.0,279547000.0,-349573000.0,-99772000.0,-248110000.0,,-70026000.0,-22460000.0,-21134000.0,-92486000,,-92486000,-1330000.0,-93816000,,-95149000,-95149000,VRTX,2015-09-30
344083,USD,2015,Q4,2016-02-16,2018-02-15,243029000.0,243029000.0,417935000.0,-62092000.0,355843000.0,-409547000.0,-96549000.0,-311705000.0,,-53704000.0,-22344000.0,-20654000.0,-76048000,,-76048000,1379000.0,-74669000,,-73731000,-73731000,VRTX,2015-12-31
