SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
378240,USD,2010,Q3,2010-11-05,2011-11-04,91714000.0,93286000.0,401038000.0,-162985000.0,238053000.0,-134238000.0,-111306000.0,-20524000.0,-2408000.0,103815000.0,-3294000.0,-3294000.0,100521000,,100521000,-5802000.0,94719000,,94719000,94719000,WAT,2010-09-30
378240,USD,2010,Q4,2011-02-25,2013-02-26,91585000.0,93441000.0,483578000.0,-189253000.0,294325000.0,-146149000.0,-120518000.0,-22867000.0,-2764000.0,148176000.0,-3317000.0,-3317000.0,144859000,,144859000,-18255000.0,126604000,,126604000,126604000,WAT,2010-12-31
378240,USD,2011,Q1,2011-05-06,2012-05-04,91649000.0,93313000.0,427603000.0,-169829000.0,257774000.0,-141879000.0,-117124000.0,-22254000.0,-2501000.0,115895000.0,-3370000.0,-3370000.0,112525000,,112525000,-18036000.0,94489000,,94489000,94489000,WAT,2011-03-31
378240,USD,2011,Q2,2011-08-05,2012-08-03,91662000.0,93271000.0,447627000.0,-176103000.0,271524000.0,-150957000.0,-125439000.0,-23014000.0,-2504000.0,120567000.0,-4239000.0,-4239000.0,116328000,,116328000,-16253000.0,100075000,,100075000,100075000,WAT,2011-06-30
378240,USD,2011,Q3,2011-11-04,2012-11-02,90688000.0,92060000.0,454534000.0,-180318000.0,274216000.0,-146952000.0,-121211000.0,-23372000.0,-2369000.0,127264000.0,-5546000.0,-5546000.0,121718000,,121718000,-20461000.0,101257000,,101257000,101257000,WAT,2011-09-30
378240,USD,2011,Q4,2012-02-24,2014-02-27,89333000.0,90656000.0,521420000.0,-204243000.0,317177000.0,-152303000.0,-126237000.0,-23707000.0,-2359000.0,164874000.0,-6193000.0,-6193000.0,158681000,,158681000,-21534000.0,137147000,,137147000,137147000,WAT,2011-12-31
378240,USD,2012,Q1,2012-05-04,2013-05-03,88992000.0,90269000.0,420458000.0,-167290000.0,253168000.0,-142951000.0,-117119000.0,-23347000.0,-2485000.0,110217000.0,-5722000.0,-5722000.0,104495000,,104495000,-15829000.0,88666000,,88666000,88666000,WAT,2012-03-31
378240,USD,2012,Q2,2012-08-03,2013-08-01,88317000.0,89381000.0,451465000.0,-179259000.0,272206000.0,-149083000.0,-122682000.0,-23943000.0,-2458000.0,123123000.0,-5847000.0,-5847000.0,117276000,-3000000.0,114276000,-16552000.0,97724000,,97724000,97724000,WAT,2012-06-30
378240,USD,2012,Q3,2012-11-02,2013-11-01,87411000.0,88451000.0,449952000.0,-182702000.0,267250000.0,-145505000.0,-115322000.0,-23756000.0,-6427000.0,121745000.0,-5923000.0,-5923000.0,115822000,,115822000,-16713000.0,99109000,,99109000,99109000,WAT,2012-09-30
378240,USD,2012,Q4,2013-02-26,2015-02-27,86644000.0,87815000.0,521766000.0,-208363000.0,313403000.0,-149564000.0,-122147000.0,-24958000.0,-2459000.0,163839000.0,-6373000.0,-6373000.0,157466000,-4434000.0,153032000,22912000.0,175944000,,175944000,175944000,WAT,2012-12-31
378240,USD,2013,Q1,2013-05-03,2014-05-02,86049000.0,87215000.0,430338000.0,-174568000.0,255770000.0,-146365000.0,-118660000.0,-25312000.0,-2393000.0,109405000.0,-5998000.0,-5998000.0,103407000,,103407000,17652000.0,121059000,,121059000,121059000,WAT,2013-03-31
378240,USD,2013,Q2,2013-08-01,2014-08-01,85482000.0,86576000.0,451115000.0,-188329000.0,262786000.0,-150094000.0,-123062000.0,-24650000.0,-2382000.0,112692000.0,-7976000.0,-6401000.0,104716000,,104716000,-15402000.0,89314000,,89314000,89314000,WAT,2013-06-30
378240,USD,2013,Q3,2013-11-01,2014-10-31,85185000.0,86364000.0,457317000.0,-191568000.0,265749000.0,-146680000.0,-120563000.0,-23599000.0,-2518000.0,119069000.0,-6412000.0,-6412000.0,112657000,,112657000,-14609000.0,98048000,,98048000,98048000,WAT,2013-09-30
378240,USD,2013,Q4,2014-02-27,2016-02-26,84988000.0,86029000.0,565448000.0,-228991000.0,336457000.0,-160280000.0,-130680000.0,-26975000.0,-2625000.0,176177000.0,-6852000.0,-6852000.0,169325000,,169325000,-27743000.0,141582000,,141582000,141582000,WAT,2013-12-31
378240,USD,2014,Q1,2014-05-02,2015-05-08,84977000.0,85873000.0,430508000.0,-187719000.0,242789000.0,-154028000.0,-126635000.0,-24746000.0,-2647000.0,88761000.0,-6031000.0,-6031000.0,82730000,,82730000,-12428000.0,70302000,,70302000,70302000,WAT,2014-03-31
378240,USD,2014,Q2,2014-08-01,2015-08-07,84462000.0,85177000.0,481801000.0,-201853000.0,279948000.0,-161553000.0,-131930000.0,-26977000.0,-2646000.0,118395000.0,-6271000.0,-6271000.0,112124000,,112124000,-15595000.0,96529000,,96529000,96529000,WAT,2014-06-30
378240,USD,2014,Q3,2014-10-31,2015-11-06,83663000.0,84401000.0,493165000.0,-202222000.0,290943000.0,-152230000.0,-122226000.0,-27279000.0,-2725000.0,138713000.0,-7300000.0,-7300000.0,131413000,,131413000,-17916000.0,113497000,,113497000,113497000,WAT,2014-09-30
378240,USD,2014,Q4,2015-02-27,2017-02-24,84330000.0,85153000.0,583870000.0,-233119000.0,350751000.0,-163256000.0,-131916000.0,-28724000.0,-2616000.0,187495000.0,-7566000.0,-7566000.0,179929000,-15456000.0,164473000,-13181000.0,151292000,,151292000,151292000,WAT,2014-12-31
378240,USD,2015,Q1,2015-05-08,2016-05-06,83025000.0,83752000.0,460404000.0,-189246000.0,271158000.0,-151176000.0,-119751000.0,-28951000.0,-2474000.0,119982000.0,-6635000.0,-6635000.0,113347000,,113347000,-17286000.0,96061000,,96061000,96061000,WAT,2015-03-31
378240,USD,2015,Q2,2015-08-07,2016-11-04,82564000.0,83332000.0,494740000.0,-208707000.0,286033000.0,-155715000.0,-122660000.0,-30555000.0,-2500000.0,130318000.0,-6546000.0,-6546000.0,123772000,,123772000,-18115000.0,105657000,,105657000,105657000,WAT,2015-06-30
378240,USD,2015,Q3,2015-11-06,2016-11-07,82036000.0,82784000.0,500578000.0,-206804000.0,293774000.0,-157931000.0,-124655000.0,-30703000.0,-2573000.0,135843000.0,-6281000.0,-6281000.0,129562000,,129562000,-13281000.0,116281000,,116281000,116281000,WAT,2015-09-30
378240,USD,2015,Q4,2016-02-26,2018-02-27,81719000.0,82480000.0,586610000.0,-237915000.0,348695000.0,-159593000.0,-128681000.0,-28336000.0,-2576000.0,189102000.0,-6070000.0,-6070000.0,183032000,-7794000.0,175238000,-24184000.0,151054000,,151054000,151054000,WAT,2015-12-31
378240,USD,2016,Q1,2016-05-06,2017-05-05,81275000.0,81974000.0,475246000.0,-201151000.0,274095000.0,-161433000.0,-129351000.0,-29438000.0,-2644000.0,112662000.0,-6032000.0,-6032000.0,106630000,,106630000,-12578000.0,94052000,,94052000,94052000,WAT,2016-03-31
