SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
90839,USD,2010,Q3,2010-08-13,2011-08-12,343306000.0,345202000.0,2163181000.0,-1970038000.0,193143000.0,-76845000.0,-68153000.0,,,116298000.0,-5878000.0,-7421000.0,110420000,-728000.0,109692000,-43963000.0,65729000,,65729000,65729000,WFM,2010-06-30
90839,USD,2010,Q4,2010-11-24,2012-11-21,336034000.0,375110000.0,2097394000.0,-1924986000.0,172408000.0,-70727000.0,-65820000.0,,,101681000.0,-5673000.0,-7291000.0,96008000,-765000.0,95243000,-37745000.0,57498000,,57498000,57498000,WFM,2010-09-30
90839,USD,2011,Q1,2011-02-25,2012-02-24,345590000.0,348964000.0,3003655000.0,-2755799000.0,247856000.0,-97151000.0,-88511000.0,,,150705000.0,319000.0,,151024000,-3146000.0,147878000,-59148000.0,88730000,,88730000,88730000,WFM,2010-12-31
90839,USD,2011,Q2,2011-05-20,2012-05-17,349372000.0,354248000.0,2350518000.0,-2122183000.0,228335000.0,-85204000.0,-75661000.0,,,143131000.0,658000.0,,143789000,-1003000.0,142786000,-52851000.0,89935000,,89935000,89935000,WFM,2011-03-31
90839,USD,2011,Q3,2011-08-12,2012-08-03,352888000.0,357220000.0,2399781000.0,-2171928000.0,227853000.0,-84857000.0,-73073000.0,,,142996000.0,1672000.0,,144668000,-2371000.0,142297000,-53825000.0,88472000,,88472000,88472000,WFM,2011-06-30
90839,USD,2011,Q4,2011-11-23,2013-11-22,354150000.0,357968000.0,2354046000.0,-2150090000.0,203956000.0,-84788000.0,-73755000.0,,,119168000.0,1351000.0,-4000000.0,120519000,-1480000.0,119039000,-43176000.0,75863000,,75863000,75863000,WFM,2011-09-30
90839,USD,2012,Q1,2012-02-24,2013-02-22,359000000.0,363000000.0,3391000000.0,-3084000000.0,307000000.0,-114000000.0,-104000000.0,,,193000000.0,2000000.0,,195000000,-3000000.0,192000000,-74000000.0,118000000,,118000000,118000000,WFM,2011-12-31
90839,USD,2012,Q2,2012-05-17,2013-05-17,364400000.0,369200000.0,2670000000.0,-2382000000.0,288000000.0,-97000000.0,-86000000.0,,,191000000.0,2000000.0,,193000000,-1000000.0,192000000,-74000000.0,118000000,,118000000,118000000,WFM,2012-03-31
90839,USD,2012,Q3,2012-08-10,2013-08-09,367500000.0,371800000.0,2727000000.0,-2435000000.0,292000000.0,-100000000.0,-88000000.0,,,192000000.0,2000000.0,,194000000,-4000000.0,190000000,-73000000.0,117000000,,117000000,117000000,WFM,2012-06-30
90839,USD,2012,Q4,2012-11-21,2014-11-21,368300000.0,371600000.0,2911000000.0,-2625000000.0,286000000.0,-108000000.0,-94000000.0,,,178000000.0,2000000.0,,180000000,-2000000.0,178000000,-65000000.0,113000000,,113000000,113000000,WFM,2012-09-30
