SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
65297,USD,2011,Q4,2011-11-17,2013-10-24,2835424.0,2897468.0,7221101.0,-5848618.0,1372483.0,-783744.0,-783744.0,,,588739.0,-57202.0,-57202.0,531537,,531537,-191353.0,340184,,340184,340184,WSCI,2011-08-31
65297,USD,2012,Q1,2012-01-06,2013-01-08,2837555.0,2897525.0,5986941.0,-5059171.0,927770.0,-690174.0,-690174.0,,,237596.0,-73255.0,-73255.0,164341,,164341,-59162.0,105179,,105179,105179,WSCI,2011-11-30
65297,USD,2012,Q2,2012-03-23,2013-03-26,2848143.0,2891376.0,7020980.0,-5973811.0,1047169.0,-710667.0,-710667.0,,,336502.0,-69674.0,-69674.0,266828,,266828,-96059.0,170769,,170769,170769,WSCI,2012-02-29
65297,USD,2012,Q3,2012-06-26,2013-07-02,2854266.0,2906625.0,9482749.0,-7560784.0,1921965.0,-909427.0,-909427.0,,,1012538.0,-78766.0,-78766.0,933772,,933772,-336158.0,597614,,597614,597614,WSCI,2012-05-31
65297,USD,2012,Q4,2012-11-13,2014-10-24,2856300.0,2916086.0,9965283.0,-8098647.0,1866636.0,-849824.0,-849824.0,,,1016812.0,-79622.0,-79622.0,937190,,937190,-337390.0,599800,,599800,599800,WSCI,2012-08-31
65297,USD,2013,Q1,2013-01-08,2013-12-20,2868953.0,2947873.0,8583739.0,-7101774.0,1481965.0,-727849.0,-727849.0,,,754116.0,-80030.0,-80030.0,674086,,674086,-242671.0,431415,,431415,431415,WSCI,2012-11-30
65297,USD,2013,Q2,2013-03-26,2014-04-01,2884061.0,2938748.0,7178389.0,-6406388.0,772001.0,-604476.0,-604476.0,,,167525.0,-80399.0,-80399.0,87126,,87126,-31365.0,55761,,55761,55761,WSCI,2013-02-28
65297,USD,2013,Q3,2013-07-02,2014-06-25,2889095.0,2941653.0,9169126.0,-8240751.0,928375.0,-688688.0,-688688.0,,,239687.0,-74396.0,-74396.0,165291,,165291,-59505.0,105786,,105786,105786,WSCI,2013-05-31
65297,USD,2013,Q4,2013-10-24,2015-11-04,2889687.0,2943034.0,9034018.0,-8036526.0,997492.0,-674710.0,-674710.0,,,322782.0,-109149.0,-109149.0,213633,,213633,-76908.0,136725,,136725,136725,WSCI,2013-08-31
65297,USD,2014,Q1,2013-12-20,2014-12-23,2892264.0,2949812.0,10199321.0,-8848581.0,1350740.0,-700165.0,-700165.0,,,650575.0,-112245.0,-112245.0,538330,,538330,-193799.0,344531,,344531,344531,WSCI,2013-11-30
65297,USD,2014,Q2,2014-04-01,2015-04-03,2898325.0,2953330.0,10483998.0,-9232943.0,1251055.0,-746196.0,-746196.0,,,504859.0,-101213.0,-101213.0,403646,,403646,-145403.0,258243,,258243,258243,WSCI,2014-02-28
65297,USD,2014,Q3,2014-06-25,2015-06-30,2903374.0,2978670.0,10702145.0,-9220735.0,1481410.0,-883085.0,-883085.0,,,598325.0,-96857.0,-96857.0,501468,,501468,-180528.0,320940,,320940,320940,WSCI,2014-05-31
65297,USD,2014,Q4,2014-10-24,2016-11-04,2904341.0,2975724.0,11328776.0,-10017722.0,1311054.0,-747217.0,-747217.0,,,563837.0,-94446.0,-94446.0,469391,,469391,-168981.0,300410,,300410,300410,WSCI,2014-08-31
65297,USD,2015,Q1,2014-12-23,2015-12-29,2904331.0,2961014.0,10098171.0,-9058939.0,1039232.0,-699786.0,-699786.0,,,339446.0,-86966.0,-86966.0,252480,,252480,-85843.0,166637,,166637,166637,WSCI,2014-11-30
65297,USD,2015,Q2,2015-04-03,2016-04-04,2909183.0,2958185.0,11737633.0,-10053909.0,1683724.0,-912839.0,-912839.0,,,770885.0,-80579.0,-80579.0,690306,,690306,-234704.0,455602,,455602,455602,WSCI,2015-02-28
65297,USD,2015,Q3,2015-06-30,2016-06-23,2912443.0,2964158.0,12368163.0,-11105038.0,1263125.0,-726854.0,-726854.0,,,536271.0,-87659.0,-87659.0,448612,,448612,-39528.0,409084,,409084,409084,WSCI,2015-05-31
65297,USD,2015,Q4,2015-11-04,2016-11-04,2915747.0,2958235.0,8778970.0,-8440995.0,337975.0,-632097.0,-632097.0,,,-294122.0,-85492.0,-85492.0,-379614,,-379614,345359.0,-34255,,-34255,-34255,WSCI,2015-08-31
65297,USD,2016,Q1,2015-12-29,2017-01-11,2919500.0,2932111.0,9731406.0,-8843401.0,888005.0,-704583.0,-704583.0,,,183422.0,-80770.0,-80770.0,102652,,102652,29686.0,132338,,132338,132338,WSCI,2015-11-30
65297,USD,2016,Q2,2016-04-04,2017-03-24,2919500.0,2930297.0,8488313.0,-7841786.0,646527.0,-715937.0,-715937.0,,,-69410.0,-76030.0,-76030.0,-145440,,-145440,151177.0,5737,,5737,5737,WSCI,2016-02-29
65297,USD,2016,Q3,2016-06-23,2017-06-28,2919500.0,2925247.0,8886005.0,-7934304.0,951701.0,-788040.0,-788040.0,,,163661.0,-59376.0,-59376.0,104285,0.0,104285,-25979.0,78306,,78306,78306,WSCI,2016-05-31
65297,USD,2016,Q4,2016-11-04,2016-11-04,2919500.0,2924849.0,8110260.0,-7672235.0,438025.0,-803091.0,-803091.0,,,-365066.0,-70679.0,-70679.0,-435745,0.0,-435745,392412.0,-43333,,-43333,-43333,WSCI,2016-08-31
