SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
983818,USD,2014,Q4,2015-02-12,2017-02-28,113397997.0,113397997.0,229938000.0,-93135000.0,136803000.0,-119715000.0,-14627000.0,,-35576000.0,17088000.0,-12686000.0,-13895000.0,4402000,-2530000.0,1872000,-78000.0,1794000,73307000.0,75101000,75101000,XHR,2014-12-31
983818,USD,2015,Q1,2015-05-14,2016-05-11,112964557.0,112964557.0,227874000.0,-91090000.0,136784000.0,-110158000.0,-7045000.0,,-36387000.0,26626000.0,-10494000.0,-13181000.0,16132000,-25430000.0,-9298000,-5079000.0,-14377000,-489000.0,-14866000,-14866000,XHR,2015-03-31
983818,USD,2015,Q2,2015-08-13,2016-08-05,111676096.0,111914085.0,251223000.0,-96662000.0,154561000.0,-112189000.0,-6947000.0,,-35889000.0,42372000.0,-13018000.0,-13048000.0,29354000,-2199000.0,27155000,-3405000.0,23750000,,23747000,23739000,XHR,2015-06-30
983818,USD,2015,Q3,2015-11-12,2016-11-07,111694773.0,111885350.0,248453000.0,-97379000.0,151074000.0,-116607000.0,-5396000.0,,-37818000.0,34467000.0,-11824000.0,-12496000.0,22643000,-4936000.0,17707000,140000.0,17847000,,18098000,18094000,XHR,2015-09-30
983818,USD,2015,Q4,2016-03-21,2018-02-27,111623318.0,111788900.0,248594000.0,-99003000.0,149591000.0,-117051000.0,-5754000.0,,-37915000.0,32540000.0,-10564000.0,-12091000.0,21976000,37886000.0,59862000,2049000.0,61911000,0.0,61779000,61779000,XHR,2015-12-31
983818,USD,2016,Q1,2016-05-11,2017-05-09,109732721.0,109732721.0,235035000.0,-95221000.0,139814000.0,-120928000.0,-10624000.0,,-38951000.0,18886000.0,-12756000.0,-12840000.0,6130000,-11594000.0,-5464000,-3705000.0,-9169000,,-8915000,-8915000,XHR,2016-03-31
983818,USD,2016,Q2,2016-08-05,2017-08-08,107936336.0,108048155.0,261378000.0,-98058000.0,163320000.0,-115850000.0,-7674000.0,,-38318000.0,47470000.0,-12707000.0,-12801000.0,34763000,-2527000.0,32236000,-6095000.0,26141000,,25768000,25768000,XHR,2016-06-30
983818,USD,2016,Q3,2016-11-07,2017-11-07,107538601.0,107677749.0,233946000.0,-88066000.0,145880000.0,-113739000.0,-7211000.0,,-37796000.0,32141000.0,-11635000.0,-12373000.0,20506000,-262000.0,20244000,187000.0,20431000,,20242000,20242000,XHR,2016-09-30
983818,USD,2016,Q4,2017-02-28,2019-02-26,106843174.0,107113367.0,219801000.0,-86857000.0,132944000.0,-109749000.0,-5865000.0,,-37353000.0,23195000.0,-7638000.0,-10099000.0,15557000,29234000.0,44791000,4536000.0,49327000,,48760000,48760000,XHR,2016-12-31
983818,USD,2017,Q1,2017-05-09,2018-05-03,106844272.0,107061056.0,218460000.0,-87199000.0,131261000.0,-110870000.0,-8384000.0,,-36478000.0,20391000.0,-9998000.0,-10150000.0,10393000,,10393000,-2166000.0,8227000,,8113000,8113000,XHR,2017-03-31
983818,USD,2017,Q2,2017-08-08,2018-08-02,106769003.0,107005884.0,244392000.0,-92172000.0,152220000.0,-112015000.0,-7844000.0,,-36625000.0,40205000.0,-10960000.0,-11146000.0,29245000,47642000.0,76887000,-5889000.0,70998000,,69418000,69418000,XHR,2017-06-30
983818,USD,2017,Q3,2017-11-07,2018-11-05,106727330.0,106995887.0,223289000.0,-88768000.0,134521000.0,-111154000.0,-7258000.0,,-37492000.0,23367000.0,-11171000.0,-11599000.0,12196000,-814000.0,11382000,385000.0,11767000,,11638000,11638000,XHR,2017-09-30
983818,USD,2017,Q4,2018-02-27,2020-02-25,106727827.0,107013781.0,259136000.0,-105604000.0,153532000.0,-130605000.0,-8066000.0,,-42382000.0,22927000.0,-13312000.0,-13399000.0,9615000,372000.0,9987000,-163000.0,9824000,,9693000,9693000,XHR,2017-12-31
983818,USD,2018,Q1,2018-05-03,2019-05-02,106792350.0,107010343.0,264498000.0,-108053000.0,156445000.0,-123611000.0,-8060000.0,,-38801000.0,32834000.0,-13330000.0,-13717000.0,19504000,42203000.0,61707000,-4664000.0,57043000,,55656000,55656000,XHR,2018-03-31
983818,USD,2018,Q2,2018-08-02,2019-08-01,108956408.0,109220220.0,277057000.0,-108822000.0,168235000.0,-122503000.0,-7873000.0,,-38602000.0,45732000.0,-12607000.0,-13053000.0,33125000,2052000.0,35177000,-5646000.0,29531000,,28794000,28794000,XHR,2018-06-30
983818,USD,2018,Q3,2018-11-05,2019-10-31,112086917.0,112361052.0,240989000.0,-102205000.0,138784000.0,-119769000.0,-6919000.0,,-39282000.0,19015000.0,-11892000.0,-11902000.0,7123000,226000.0,7349000,1985000.0,9334000,,9244000,9244000,XHR,2018-09-30
983818,USD,2018,Q4,2019-02-26,2021-03-01,112660893.0,112919321.0,275663000.0,-115801000.0,159862000.0,-129899000.0,-7608000.0,,-41153000.0,29963000.0,-12411000.0,-12730000.0,17552000,82740000.0,100292000,2332000.0,102624000,,99994000,99994000,XHR,2018-12-31
983818,USD,2019,Q1,2019-05-02,2020-05-11,112619144.0,112907539.0,293687000.0,-123496000.0,170191000.0,-134117000.0,-7575000.0,,-40000000.0,36074000.0,-12492000.0,-12587000.0,23582000,-213000.0,23369000,-6093000.0,17276000,,16703000,16703000,XHR,2019-03-31
983818,USD,2019,Q2,2019-08-01,2020-07-30,112641416.0,112915294.0,304285000.0,-125148000.0,179137000.0,-133306000.0,-8046000.0,,-39689000.0,45831000.0,-12192000.0,-12380000.0,33639000,-14232000.0,19407000,-6193000.0,13214000,,12777000,12777000,XHR,2019-06-30
983818,USD,2019,Q3,2019-10-31,2020-10-30,112641568.0,112932952.0,268931000.0,-116306000.0,152625000.0,-131699000.0,-7351000.0,,-39072000.0,20926000.0,-12036000.0,-12293000.0,8890000,-662000.0,8228000,2442000.0,10670000,,10315000,10315000,XHR,2019-09-30
983818,USD,2019,Q4,2020-02-25,2021-03-01,112642364.0,112918607.0,282184000.0,-121987000.0,160197000.0,-127245000.0,-7760000.0,,-36367000.0,32952000.0,-10990000.0,-11345000.0,21962000,-10356000.0,11606000,4477000.0,16083000,,15605000,15605000,XHR,2019-12-31
983818,USD,2020,Q1,2020-05-11,2021-05-06,112984868.0,112984868.0,215353000.0,-100770000.0,114583000.0,-129759000.0,-8151000.0,,-37091000.0,-15176000.0,-12897000.0,-13024000.0,-28073000,-16368000.0,-44441000,7311000.0,-37130000,,-36138000,-36138000,XHR,2020-03-31
