SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
449291,USD,2010,Q2,2010-08-05,2011-08-04,9124187.0,9133975.0,250609000.0,,250609000.0,-162206000.0,-6324000.0,,,88403000.0,-216000.0,-216000.0,88187000,,88187000,-21916000.0,66271000,,66271000,66271000,Y,2010-06-30
449291,USD,2010,Q3,2010-11-04,2011-11-07,9006003.0,9006003.0,250163000.0,,250163000.0,-189099000.0,-8553000.0,,,61064000.0,-696000.0,-696000.0,60368000,,60368000,-23736000.0,36632000,,36632000,36632000,Y,2010-09-30
449291,USD,2010,Q4,2011-02-25,2013-02-21,8979646.0,8945188.0,232928000.0,,232928000.0,-174910000.0,-8743000.0,,-3354000.0,58018000.0,-3567000.0,-3567000.0,54451000,,54451000,-17021000.0,37430000,,37430000,37430000,Y,2010-12-31
449291,USD,2011,Q1,2011-05-05,2012-05-07,8928807.0,8935968.0,248136000.0,,248136000.0,-154175000.0,-6379000.0,,-839000.0,93961000.0,-4452000.0,-4452000.0,89509000,,89509000,-18169000.0,71340000,,71340000,71340000,Y,2011-03-31
449291,USD,2011,Q2,2011-08-04,2012-08-06,8916620.0,8921972.0,219161000.0,,219161000.0,-200426000.0,-5002000.0,,-839000.0,18735000.0,-4268000.0,-4268000.0,14467000,,14467000,615000.0,15082000,,15082000,15082000,Y,2011-06-30
449291,USD,2011,Q3,2011-11-07,2012-11-06,8811807.0,8822556.0,232530000.0,,232530000.0,-195260000.0,-2649000.0,,-838000.0,37270000.0,-4329000.0,-4329000.0,32941000,,32941000,-13783000.0,19158000,,19158000,19158000,Y,2011-09-30
449291,USD,2011,Q4,2012-02-24,2014-02-25,8572714.0,8566080.0,282010000.0,,282010000.0,-223713000.0,-26977000.0,,-839000.0,58297000.0,-4377000.0,-4377000.0,53920000,,53920000,-16249000.0,37671000,,37671000,37671000,Y,2011-12-31
449291,USD,2012,Q1,2012-05-07,2013-05-06,10945269.0,10973429.0,1048867000.0,,1048867000.0,-428690000.0,-47293000.0,,-31939000.0,620177000.0,-9077000.0,-9077000.0,611100000,,611100000,-50997000.0,560103000,,560103000,560103000,Y,2012-03-31
449291,USD,2012,Q2,2012-08-06,2013-08-05,16930548.0,16950337.0,1234391000.0,,1234391000.0,-1074096000.0,-11094000.0,,-108098000.0,160295000.0,-15743000.0,-15743000.0,144552000,,144552000,-35243000.0,109309000,,109309000,109309000,Y,2012-06-30
449291,USD,2012,Q3,2012-11-06,2013-11-04,16931811.0,16931811.0,1229520000.0,,1229520000.0,-1056832000.0,-9304000.0,,-73356000.0,172688000.0,-21764000.0,-21764000.0,150924000,,150924000,-25480000.0,125444000,,125444000,125444000,Y,2012-09-30
449291,USD,2012,Q4,2013-02-21,2015-02-24,16958684.0,16910735.0,1240434000.0,,1240434000.0,-1405894000.0,-8151000.0,,-39905000.0,-165460000.0,-21840000.0,-21840000.0,-187300000,,-187300000,94688000.0,-92612000,,-92612000,-92612000,Y,2012-12-31
449291,USD,2013,Q1,2013-05-06,2014-05-05,16822056.0,16822056.0,1223555000.0,,1223555000.0,-948430000.0,-12422000.0,,-11630000.0,275125000.0,-21736000.0,-21736000.0,253389000,,253389000,-57095000.0,196294000,,196294000,196294000,Y,2013-03-31
449291,USD,2013,Q2,2013-08-05,2014-08-04,16781461.0,16781461.0,1196219000.0,,1196219000.0,-1027443000.0,-9868000.0,,-825000.0,168776000.0,-21785000.0,-21785000.0,146991000,,146991000,-33282000.0,113709000,,113709000,113709000,Y,2013-06-30
449291,USD,2013,Q3,2013-11-04,2014-11-03,16766192.0,16766192.0,1189471000.0,,1189471000.0,-1019972000.0,-3703000.0,,815000.0,169499000.0,-21516000.0,-21516000.0,147983000,,147983000,-34610000.0,113373000,,113167000,113167000,Y,2013-09-30
449291,USD,2013,Q4,2014-02-25,2016-02-23,16776723.0,16776723.0,1362409000.0,,1362409000.0,-1033833000.0,-10118000.0,,1476000.0,328576000.0,-21703000.0,-21703000.0,306873000,,306873000,-100895000.0,205978000,,205251000,205251000,Y,2013-12-31
449291,USD,2014,Q1,2014-05-05,2015-05-05,16683864.0,16683864.0,1286642000.0,,1286642000.0,-996508000.0,-9632000.0,,1861000.0,290134000.0,-21811000.0,-21811000.0,268323000,,268323000,-63682000.0,204641000,,204880000,204880000,Y,2014-03-31
449291,USD,2014,Q2,2014-08-04,2015-08-04,16442556.0,16442556.0,1291216000.0,,1291216000.0,-1066864000.0,-12687000.0,,876000.0,224352000.0,-21932000.0,-21932000.0,202420000,,202420000,-53186000.0,149234000,,148980000,148980000,Y,2014-06-30
449291,USD,2014,Q3,2014-11-03,2015-11-03,16343904.0,16343904.0,1351916000.0,,1351916000.0,-1063358000.0,-9455000.0,,1142000.0,288558000.0,-22671000.0,-22671000.0,265887000,,265887000,-79547000.0,186340000,,186315000,186315000,Y,2014-09-30
449291,USD,2014,Q4,2015-02-24,2017-02-22,16151228.0,16151228.0,1302035000.0,,1302035000.0,-1083118000.0,-15280000.0,,1871000.0,218917000.0,-23638000.0,-23638000.0,195279000,,195279000,-55362000.0,139917000,,139064000,139064000,Y,2014-12-31
449291,USD,2015,Q1,2015-05-05,2016-05-05,16014223.0,16014223.0,1157623000.0,,1157623000.0,-968948000.0,-12678000.0,,1660000.0,188675000.0,-23092000.0,-23092000.0,165583000,,165583000,-40163000.0,125420000,,125209000,125209000,Y,2015-03-31
449291,USD,2015,Q2,2015-08-04,2016-08-02,15994969.0,16003023.0,1300438000.0,,1300438000.0,-1032011000.0,-9841000.0,,1051000.0,268427000.0,-23375000.0,-23375000.0,245052000,,245052000,-61905000.0,183147000,,182478000,182478000,Y,2015-06-30
449291,USD,2015,Q3,2015-11-03,2016-11-01,15900759.0,15900759.0,1189037000.0,,1189037000.0,-1033203000.0,-10922000.0,,1104000.0,155834000.0,-22691000.0,-22691000.0,133143000,,133143000,-36045000.0,97098000,,96530000,96530000,Y,2015-09-30
449291,USD,2015,Q4,2016-02-23,2018-02-21,15574269.0,15598399.0,1352380000.0,,1352380000.0,-1116170000.0,-13062000.0,,-1604000.0,236210000.0,-22620000.0,-22620000.0,213590000,,213590000,-57060000.0,156530000,,156098000,156098000,Y,2015-12-31
449291,USD,2016,Q1,2016-05-05,2017-05-04,15452191.0,15464489.0,1478950000.0,,1478950000.0,-1246360000.0,-9734000.0,,-3085000.0,232590000.0,-20269000.0,-20269000.0,212321000,,212321000,-57668000.0,154653000,,154505000,154505000,Y,2016-03-31
449291,USD,2016,Q2,2016-08-02,2017-08-03,15438859.0,15438859.0,1582031000.0,,1582031000.0,-1428060000.0,-13459000.0,,-5397000.0,153971000.0,-20433000.0,-20433000.0,133538000,,133538000,-56278000.0,77260000,,77071000,77071000,Y,2016-06-30
449291,USD,2016,Q3,2016-11-01,2017-11-02,15438399.0,15438399.0,1614616000.0,,1614616000.0,-1386759000.0,-10745000.0,,-6008000.0,227857000.0,-20682000.0,-20682000.0,207175000,,207175000,-48328000.0,158847000,,155831000,155831000,Y,2016-09-30
449291,USD,2016,Q4,2017-02-22,2018-02-21,15415695.0,15428849.0,1455422000.0,,1455422000.0,-1340436000.0,-9022000.0,,-4522000.0,114986000.0,-20215000.0,-20215000.0,94771000,,94771000,-24867000.0,69904000,,69514000,69514000,Y,2016-12-31
449291,USD,2017,Q1,2017-05-04,2017-05-04,15413698.0,15420468.0,1532452000.0,,1532452000.0,-1303607000.0,-16885000.0,,-3764000.0,228845000.0,-20935000.0,-20935000.0,207910000,,207910000,-58550000.0,149360000,,149176000,149176000,Y,2017-03-31
449291,USD,2017,Q2,2017-08-03,2017-08-03,15419034.0,15419034.0,1553918000.0,,1553918000.0,-1392809000.0,-14405000.0,,-4611000.0,161109000.0,-20989000.0,-20989000.0,140120000,,140120000,-37461000.0,102659000,,101811000,101811000,Y,2017-06-30
449291,USD,2017,Q3,2017-11-02,2017-11-02,15416014.0,15458324.0,1667483000.0,,1667483000.0,-2169005000.0,4689000.0,,-5765000.0,-501522000.0,-20804000.0,-20804000.0,-522326000,,-522326000,212379000.0,-309947000,,-314157000,-314157000,Y,2017-09-30
449291,USD,2017,Q4,2018-02-21,2018-02-21,15391390.0,15342310.0,1670802000.0,,1670802000.0,-1439474000.0,-20397000.0,,-5279000.0,231328000.0,-20342000.0,-20342000.0,210986000,,210986000,-52566000.0,158420000,,153303000,153303000,Y,2017-12-31
449291,USD,2018,Q1,2018-05-03,2018-05-03,15389283.0,15418664.0,1584954000.0,,1584954000.0,-1354819000.0,-7785000.0,,-5264000.0,230135000.0,-21531000.0,-21531000.0,208604000,,208604000,-37422000.0,171182000,,171575000,171575000,Y,2018-03-31
449291,USD,2018,Q2,2018-08-02,2018-08-02,15180075.0,15180075.0,1897664000.0,,1897664000.0,-1503543000.0,-14119000.0,,-5966000.0,394121000.0,-22277000.0,-22277000.0,371844000,,371844000,-73440000.0,298404000,,295116000,295116000,Y,2018-06-30
449291,USD,2018,Q3,2018-11-01,2018-11-01,14937135.0,14937135.0,2177415000.0,,2177415000.0,-1805354000.0,-19094000.0,,-5500000.0,372061000.0,-22189000.0,-22189000.0,349872000,,349872000,-60413000.0,289459000,,284900000,284900000,Y,2018-09-30
449291,USD,2018,Q4,2019-02-20,2019-02-20,14743775.0,14714394.0,1227127000.0,,1227127000.0,-2093128000.0,25266000.0,,-7309000.0,-866001000.0,-24727000.0,-24727000.0,-890728000,,-890728000,186337000.0,-704391000,,-712052000,-712052000,Y,2018-12-31
449291,USD,2019,Q1,2019-05-07,2019-05-07,14481255.0,14485236.0,2321256000.0,,2321256000.0,-1741311000.0,-19369000.0,,-6900000.0,579945000.0,-23531000.0,-23531000.0,556414000,,556414000,-108512000.0,447902000,,440227000,440227000,Y,2019-03-31
449291,USD,2019,Q2,2019-08-06,2019-08-06,14439545.0,14439545.0,2258673000.0,,2258673000.0,-1857355000.0,-25967000.0,,-8795000.0,401318000.0,-25129000.0,-25129000.0,376189000,,376189000,-71356000.0,304833000,,295459000,295459000,Y,2019-06-30
449291,USD,2019,Q3,2019-11-05,2019-11-05,14422581.0,14422581.0,2159957000.0,,2159957000.0,-2004952000.0,-22276000.0,,-8095000.0,155005000.0,-25703000.0,-25703000.0,129302000,,129302000,-28010000.0,101292000,,90432000,90432000,Y,2019-09-30
449291,USD,2019,Q4,2020-02-19,2020-02-19,14384187.0,14426542.0,2300830000.0,,2300830000.0,-2213505000.0,-7218000.0,,-10044000.0,87325000.0,-25594000.0,-25594000.0,61731000,,61731000,-25557000.0,36174000,,31683000,31683000,Y,2019-12-31
449291,USD,2020,Q1,2020-05-05,2021-05-06,14340669.0,14356108.0,1482926000.0,,1482926000.0,-1930762000.0,14307000.0,,-9568000.0,-447836000.0,-18356000.0,-18356000.0,-466192000,,-466192000,104720000.0,-361472000,,-361218000,-361218000,Y,2020-03-31
