SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
795507,USD,2016,Q4,2017-03-03,2018-03-16,31186108.0,31186108.0,35671000.0,-9724000.0,25947000.0,-40213000.0,-35105000.0,-5108000.0,,-14266000.0,-243000.0,-83000.0,-14509000,,-14509000,-64000.0,-14573000,,-14573000,-14573000,YEXT,2017-01-31
795507,USD,2017,Q1,2017-06-02,2018-06-01,40466620.0,40466620.0,37080000.0,-9688000.0,27392000.0,-42786000.0,-37800000.0,-4986000.0,,-15394000.0,-680000.0,-88000.0,-16074000,,-16074000,-32000.0,-16106000,,-16106000,-16106000,YEXT,2017-04-30
795507,USD,2017,Q2,2017-09-08,2018-08-31,90064644.0,90064644.0,40769000.0,-10541000.0,30228000.0,-46735000.0,-40242000.0,-6493000.0,,-16507000.0,297000.0,-82000.0,-16210000,,-16210000,-189000.0,-16399000,,-16399000,-16399000,YEXT,2017-07-31
795507,USD,2017,Q3,2017-12-01,2017-12-01,90353608.0,90353608.0,44332000.0,-11658000.0,32674000.0,-49910000.0,-42952000.0,-6958000.0,,-17236000.0,183000.0,-104000.0,-17053000,,-17053000,-9000.0,-17062000,,-17062000,-17062000,YEXT,2017-10-31
795507,USD,2017,Q4,2018-03-16,2018-03-16,93644920.0,93644920.0,48020000.0,-12208000.0,35812000.0,-53315000.0,-46065000.0,-7250000.0,,-17503000.0,437000.0,-85000.0,-17066000,,-17066000,68000.0,-16998000,,-16998000,-16998000,YEXT,2018-01-31
795507,USD,2018,Q1,2018-06-01,2018-06-01,94942773.0,94942773.0,51095000.0,-12800000.0,38295000.0,-56296000.0,-48567000.0,-7729000.0,,-18001000.0,150000.0,-67000.0,-17851000,,-17851000,-285000.0,-18136000,,-18136000,-18136000,YEXT,2018-04-30
795507,USD,2018,Q2,2018-08-31,2018-08-31,97511660.0,97511660.0,55096000.0,-14086000.0,41010000.0,-62214000.0,-52231000.0,-9983000.0,,-21204000.0,148000.0,-9000.0,-21056000,,-21056000,-40000.0,-21096000,,-21096000,-21096000,YEXT,2018-07-31
795507,USD,2018,Q3,2018-11-30,2018-11-30,99628479.0,99628479.0,58742000.0,-14886000.0,43856000.0,-68694000.0,-59536000.0,-9158000.0,,-24838000.0,230000.0,74000.0,-24608000,,-24608000,-158000.0,-24766000,,-24766000,-24766000,YEXT,2018-10-31
795507,USD,2018,Q4,2019-03-15,2019-03-15,101466552.0,101466552.0,63350000.0,-15641000.0,47709000.0,-59311000.0,-50083000.0,-9228000.0,,-11602000.0,502000.0,1570000.0,-11100000,,-11100000,261000.0,-10839000,,-10839000,-10839000,YEXT,2019-01-31
795507,USD,2019,Q1,2019-05-31,2019-05-31,106453558.0,106453558.0,68708000.0,-16473000.0,52235000.0,-71495000.0,-61589000.0,-9906000.0,,-19260000.0,647000.0,-53000.0,-18613000,,-18613000,-346000.0,-18959000,,-18959000,-18959000,YEXT,2019-04-30
795507,USD,2019,Q2,2019-08-30,2019-08-30,111777703.0,111777703.0,72373000.0,-19269000.0,53104000.0,-83401000.0,-70715000.0,-12686000.0,,-30297000.0,1095000.0,-79000.0,-29202000,,-29202000,-89000.0,-29291000,,-29291000,-29291000,YEXT,2019-07-31
795507,USD,2019,Q3,2019-12-06,2019-12-06,113464608.0,113464608.0,76370000.0,-20366000.0,56004000.0,-98837000.0,-85826000.0,-13011000.0,,-42833000.0,366000.0,-81000.0,-42467000,,-42467000,-250000.0,-42717000,,-42717000,-42717000,YEXT,2019-10-31
795507,USD,2019,Q4,2020-03-20,2020-03-20,115339915.0,115339915.0,81378000.0,-20922000.0,60456000.0,-91019000.0,-77177000.0,-13842000.0,,-30563000.0,398000.0,4004000.0,-30165000,,-30165000,-412000.0,-30577000,,-30577000,-30577000,YEXT,2020-01-31
